Type,Path/Details,Recommendation
Deep Nested Directory,ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/complete_ai_content_creation_masterclass/module_02_mastering_ai_writing_tools,"Consider flattening: ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/complete_ai_content_creation_masterclass/module_02_mastering_ai_writing_tools (depth 39, only 0 files)"
Deep Nested Directory,ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/complete_ai_content_creation_masterclass/module_06_monetizing_ai_content,"Consider flattening: ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/complete_ai_content_creation_masterclass/module_06_monetizing_ai_content (depth 39, only 0 files)"
Deep Nested Directory,ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/digital_marketing_automation_bootcamp/module_02_email_marketing_automation,"Consider flattening: ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/digital_marketing_automation_bootcamp/module_02_email_marketing_automation (depth 39, only 0 files)"
Deep Nested Directory,ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/digital_marketing_automation_bootcamp/module_01_marketing_automation_fundamentals,"Consider flattening: ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/digital_marketing_automation_bootcamp/module_01_marketing_automation_fundamentals (depth 39, only 0 files)"
Deep Nested Directory,ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/digital_marketing_automation_bootcamp/module_05_analytics_&_optimization,"Consider flattening: ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/digital_marketing_automation_bootcamp/module_05_analytics_&_optimization (depth 39, only 0 files)"
Deep Nested Directory,ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/digital_marketing_automation_bootcamp/module_03_social_media_automation,"Consider flattening: ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/digital_marketing_automation_bootcamp/module_03_social_media_automation (depth 39, only 0 files)"
Deep Nested Directory,ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/digital_marketing_automation_bootcamp/module_04_lead_generation_&_nurturing,"Consider flattening: ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/digital_marketing_automation_bootcamp/module_04_lead_generation_&_nurturing (depth 39, only 0 files)"
Deep Nested Directory,ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/digital_marketing_automation_bootcamp/module_06_advanced_automation_strategies,"Consider flattening: ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/retention-products-suite/digital-products/educational-content/generated_courses/digital_marketing_automation_bootcamp/module_06_advanced_automation_strategies (depth 39, only 0 files)"
Deep Nested Directory,ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/steven-chaplinski-website/content/resources/CONTENT_AWARE_CHAT_ANALYSIS/01_Projects/!_us__bi__e_v pytho_3__________AvaTa_A_Ts P_oject ,"Consider flattening: ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/steven-chaplinski-website/content/resources/CONTENT_AWARE_CHAT_ANALYSIS/01_Projects/!_us__bi__e_v pytho_3__________AvaTa_A_Ts P_oject  (depth 39, only 0 files)"
Deep Nested Directory,"ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/steven-chaplinski-website/content/resources/CONTENT_AWARE_CHAT_ANALYSIS/01_Projects/ simila_ comma_ds fo_ 02_Audio, 03_Images, 04_D","Consider flattening: ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/ai-sites/steven-chaplinski-website/content/resources/CONTENT_AWARE_CHAT_ANALYSIS/01_Projects/ simila_ comma_ds fo_ 02_Audio, 03_Images, 04_D (depth 39, only 0 files)"
Many Small Files,josephrosadomd/wp-json/oembed/1.0,Consider consolidating 182 small files in josephrosadomd/wp-json/oembed/1.0
Many Small Files,tools/media/video,Consider consolidating 93 small files in tools/media/video
Many Small Files,tools/devtools/development_utilities,Consider consolidating 81 small files in tools/devtools/development_utilities
Many Small Files,tools/automation/api_integrations,Consider consolidating 62 small files in tools/automation/api_integrations
Many Small Files,tools/media/audio,Consider consolidating 38 small files in tools/media/audio
Many Small Files,tools/data/file_organization,Consider consolidating 37 small files in tools/data/file_organization
Many Small Files,reports,Consider consolidating 33 small files in reports
Many Small Files,tools/automation/web,Consider consolidating 29 small files in tools/automation/web
Many Small Files,archive/system/advanced-systems/ultra-deep-intelligence/reports/folders,Consider consolidating 28 small files in archive/system/advanced-systems/ultra-deep-intelligence/reports/folders
Many Small Files,tools/media/processing,Consider consolidating 21 small files in tools/media/processing
Empty Directories,17454 directories,Remove 17454 empty directories
Nested Projects,119 projects,Consider moving 119 nested projects to root level
