Path,Type,Size,Modified,Category
/Users/steven/clean,directory,1.28K,2026-01-12 16:19:23,directory
/Users/steven/.iterm2,directory,576.00B,2024-08-17 23:25:42,directory
/Users/steven/.mplayer,directory,96.00B,2025-02-08 01:06:54,directory
/Users/steven/.codex,directory,608.00B,2026-01-12 16:04:42,directory
/Users/steven/Public,directory,128.00B,2026-01-12 16:04:42,directory
/Users/steven/.update_logs,directory,320.00B,2025-10-14 21:07:43,directory
/Users/steven/GitHub,directory,1.31K,2026-01-12 16:04:43,directory
/Users/steven/.hyper_plugins,directory,192.00B,2026-01-12 16:04:47,directory
/Users/steven/Miniforge_Mamba_Analysis,directory,288.00B,2025-12-25 02:43:17,directory
/Users/steven/.EasyOCR,directory,96.00B,2025-12-01 04:21:30,directory
/Users/steven/.idlerc,directory,96.00B,2024-12-10 23:48:59,directory
/Users/steven/Cursor_Workspace_Export,directory,224.00B,2026-01-12 16:20:24,directory
/Users/steven/pythons-sort,directory,1.03K,2026-01-12 16:04:47,directory
/Users/steven/Raycast,directory,96.00B,2026-01-12 16:04:47,directory
/Users/steven/scripts,directory,1.91K,2026-01-12 16:04:47,directory
/Users/steven/.spicetify,directory,288.00B,2026-01-12 16:04:47,directory
/Users/steven/.n8n,directory,640.00B,2026-01-12 16:04:47,directory
/Users/steven/.github,directory,128.00B,2026-01-12 16:04:47,directory
/Users/steven/.lh,directory,160.00B,2025-08-04 22:01:32,directory
/Users/steven/.sonarlint,directory,128.00B,2026-01-12 16:04:47,directory
/Users/steven/.rustup,directory,160.00B,2026-01-12 16:04:47,directory
/Users/steven/.ssh,directory,704.00B,2026-01-12 16:04:47,directory
/Users/steven/Movies,directory,3.16K,2026-01-12 16:04:47,directory
/Users/steven/.dotnet,directory,288.00B,2025-12-01 04:21:31,directory
/Users/steven/pythons,directory,7.00K,2026-01-12 16:04:48,directory
/Users/steven/.gradle,directory,192.00B,2026-01-12 16:04:48,directory
/Users/steven/.Trash,directory,64.00B,2026-01-04 23:33:45,directory
/Users/steven/.jupyter,directory,160.00B,2026-01-12 16:04:48,directory
/Users/steven/.keras,directory,96.00B,2024-11-10 11:38:37,directory
/Users/steven/.qodo,directory,128.00B,2025-09-05 01:44:50,directory
/Users/steven/.aider,directory,160.00B,2026-01-12 16:04:48,directory
/Users/steven/AVATARARTS,directory,2.28K,2026-01-12 16:19:23,directory
/Users/steven/.npm,directory,320.00B,2026-01-12 16:04:49,directory
/Users/steven/.x-cmd.root,directory,288.00B,2026-01-12 16:04:51,directory
/Users/steven/Documents,directory,2.88K,2026-01-12 16:04:52,directory
/Users/steven/.package_manager_backup_20251106_070741,directory,256.00B,2025-11-06 07:09:39,directory
/Users/steven/PSD-EXT,directory,256.00B,2026-01-12 16:04:53,directory
/Users/steven/.warp,directory,96.00B,2026-01-12 16:04:53,directory
/Users/steven/analysis_reports,directory,704.00B,2026-01-04 14:06:58,directory
/Users/steven/gol-ia-newq,directory,96.00B,2026-01-12 16:04:53,directory
/Users/steven/.m2,directory,96.00B,2026-01-12 16:04:53,directory
/Users/steven/iCloud,directory,3.75K,2026-01-12 16:04:38,directory
/Users/steven/.gem,directory,128.00B,2026-01-12 16:04:53,directory
/Users/steven/.aspnet,directory,128.00B,2026-01-12 16:04:53,directory
/Users/steven/.oh-my-zsh,directory,768.00B,2026-01-12 16:04:53,directory
/Users/steven/Downloads,directory,5.94K,2026-01-12 16:04:53,directory
/Users/steven/.cache,directory,288.00B,2026-01-12 16:04:54,directory
/Users/steven/.chatgpt,directory,320.00B,2026-01-12 16:04:54,directory
/Users/steven/hyper,directory,1.09K,2026-01-12 16:04:54,directory
/Users/steven/.putty,directory,128.00B,2025-09-03 06:54:35,directory
/Users/steven/.zsh_sessions,directory,160.00B,2025-10-14 17:54:27,directory
/Users/steven/orchestrator,directory,64.00B,2026-01-12 16:04:54,directory
/Users/steven/userscripts,directory,864.00B,2026-01-12 16:04:54,directory
/Users/steven/.conda,directory,96.00B,2026-01-04 13:37:24,directory
/Users/steven/.zsh,directory,96.00B,2025-11-27 10:49:43,directory
/Users/steven/.composer,directory,160.00B,2025-06-06 21:42:00,directory
