File Path,Category,Priority,Confidence,Complexity,Maturity,Description,Destinations
/Users/steven/Music/analysis/in_This_aLLey_Where_i_HiDe_Remastered_x2.mp3315_analysis.txt,Media Content,31.76,54.39%,unknown,unknown,Medium file | Text content | Media Content related | Part of 'YouTube Content' project,~/Documents/CsV/Media/YouTube-Content/Production | ~/Documents/CsV/Media/YouTube-Content/Experimental
/Users/steven/cursor2.txt,AI/ML,31.63,53.94%,unknown,unknown,Medium file | Markdown content | AI/ML related | Part of 'YouTube Content' project,~/Documents/CsV/AI-ML/YouTube-Content/Production | ~/Documents/CsV/AI-ML/YouTube-Content/Experimental
/Users/steven/Music/analysis/Harmonious_Rebels_analysis.txt,Portfolio Work,31.58,53.95%,unknown,unknown,Medium file | Text content | Portfolio Work related | Part of 'Portfolio Projects' project,~/Documents/CsV/Portfolio/Portfolio/Production | ~/Documents/CsV/Portfolio/Portfolio/Experimental
/Users/steven/Music/analysis/Echoes-of-the-Junkyard-analysis.txt,Portfolio Work,31.54,53.85%,unknown,unknown,Medium file | Text content | Portfolio Work related | Part of 'Portfolio Projects' project,~/Documents/CsV/Portfolio/Portfolio/Production | ~/Documents/CsV/Portfolio/Portfolio/Experimental
/Users/steven/cursor.txt,Data Analysis,31.34,38.06%,unknown,unknown,Large file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,~/Documents/CsV/Data-Analysis/YouTube-Content/Production | ~/Documents/CsV/Data-Analysis/YouTube-Content/Experimental
/Users/steven/Music/analysis/in This aLLey Where i HiDe (Remastered x2)_analysis.txt,Media Content,30.75,51.85%,unknown,unknown,Medium file | Text content | Media Content related | Part of 'YouTube Content' project,~/Documents/CsV/Media/YouTube-Content/Production | ~/Documents/CsV/Media/YouTube-Content/Experimental
/Users/steven/merge_pythons.py,AI/ML,30.47,26.06%,medium,medium,Medium file | Python content | AI/ML related | Part of 'YouTube Content' project | 5 functions,~/Documents/CsV/AI-ML/YouTube-Content/Production | ~/Documents/CsV/AI-ML/YouTube-Content/Experimental
/Users/steven/Music/Let Me Love You _ Don_t Wanna Know.mp3,Media Content,30.22,33.09%,unknown,unknown,Large file | Mp3 content | Media Content related | Part of 'YouTube Content' project,~/Documents/CsV/Media/YouTube-Content/Production | ~/Documents/CsV/Media/YouTube-Content/Experimental
/Users/steven/cleanup_home.sh,AI/ML,29.33,48.30%,unknown,unknown,Medium file | Sh content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/2005 Stars Group - Rocket Man.m4r,Documentation,29.32,45.36%,unknown,unknown,Large file | M4R content | Documentation related | Part of 'Portfolio Projects' project,~/Documents/CsV/Documentation/Portfolio/Production | ~/Documents/CsV/Documentation/Portfolio/Experimental
/Users/steven/zshrc.txt,Configuration,29.04,47.58%,unknown,unknown,Medium file | Markdown content | Configuration related | Part of 'Portfolio Projects' project,~/Documents/CsV/Configuration/Portfolio/Production | ~/Documents/CsV/Configuration/Portfolio/Experimental
/Users/steven/Music/analysis/motivational.txt,AI/ML,29.04,45.58%,unknown,unknown,Large file | Text content | AI/ML related | Part of 'As-a-Man-Thinketh' project,~/Documents/CsV/AI-ML/As-a-Man-Thinketh/Production | ~/Documents/CsV/AI-ML/As-a-Man-Thinketh/Experimental
/Users/steven/Music/analysis/thinketh-1_analysis.txt,AI/ML,29.04,47.60%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'As-a-Man-Thinketh' project,~/Documents/CsV/AI-ML/As-a-Man-Thinketh/Production | ~/Documents/CsV/AI-ML/As-a-Man-Thinketh/Experimental
/Users/steven/Music/analysis/in-this--aLLey-where-i-hiDe_analysis.txt,AI/ML,28.92,47.30%,unknown,unknown,Medium file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/Katheria_and_Salome_The_Daughters_of_Di_analysis.txt,Media Content,28.49,46.22%,unknown,unknown,Small file | Markdown content | Media Content related | Part of 'YouTube Content' project,~/Documents/CsV/Media/YouTube-Content/Production | ~/Documents/CsV/Media/YouTube-Content/Experimental
/Users/steven/Music/analysis/Love_is_rubbish_Let_s_Get_Trashy_BanjoBandit_308_Remix_Edit_analysis.txt,Media Content,28.49,46.22%,unknown,unknown,Small file | Markdown content | Media Content related | Part of 'YouTube Content' project,~/Documents/CsV/Media/YouTube-Content/Production | ~/Documents/CsV/Media/YouTube-Content/Experimental
/Users/steven/Music/analysis/The_Digital_Mirror_Your_Online_Reflecti_analysis.txt,Media Content,28.49,46.22%,unknown,unknown,Small file | Markdown content | Media Content related | Part of 'YouTube Content' project,~/Documents/CsV/Media/YouTube-Content/Production | ~/Documents/CsV/Media/YouTube-Content/Experimental
/Users/steven/Music/analysis/How_350_Years_of_Royal_Drama_Forged_Engl_analysis.txt,Media Content,28.49,46.22%,unknown,unknown,Small file | Markdown content | Media Content related | Part of 'YouTube Content' project,~/Documents/CsV/Media/YouTube-Content/Production | ~/Documents/CsV/Media/YouTube-Content/Experimental
/Users/steven/Music/analysis/Dumpster_Fire_Happy_Hour_A_TrashCat_Tal_analysis.txt,Media Content,28.49,46.22%,unknown,unknown,Small file | Markdown content | Media Content related | Part of 'YouTube Content' project,~/Documents/CsV/Media/YouTube-Content/Production | ~/Documents/CsV/Media/YouTube-Content/Experimental
/Users/steven/Music/analysis/The_Chalice_of_Reflection_A_Tale_of_Des_analysis.txt,Media Content,28.49,46.22%,unknown,unknown,Small file | Markdown content | Media Content related | Part of 'YouTube Content' project,~/Documents/CsV/Media/YouTube-Content/Production | ~/Documents/CsV/Media/YouTube-Content/Experimental
/Users/steven/Music/analysis/Phi_Fibonacchi_and_Love_of_Self_analysis.txt,Media Content,28.49,46.22%,unknown,unknown,Small file | Markdown content | Media Content related | Part of 'YouTube Content' project,~/Documents/CsV/Media/YouTube-Content/Production | ~/Documents/CsV/Media/YouTube-Content/Experimental
/Users/steven/Music/Shuki_Levy_&_Haim_Saban_-_X_Men.ogg,AI/ML,28.40,41.03%,unknown,unknown,Large file | Ogg content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/in This aLLey Where i HiDe-oG (Remix)322 (1)_analysis.txt,Media Content,28.33,45.80%,unknown,unknown,Medium file | Text content | Media Content related | Part of 'Portfolio Projects' project,~/Documents/CsV/Media/Portfolio/Production | ~/Documents/CsV/Media/Portfolio/Experimental
/Users/steven/Music/analysis/The_Heartland_Doesnt_Speak_doesn’t_speak349_(remastered)_analysis.txt,AI/ML,27.84,44.59%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/The_Heartland_Doesnt_Speak_-tears_and_time352_-duo_analysis.txt,AI/ML,27.84,44.59%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/The_Heartland_Doesnt_Speak_Remastered_dup1_analysis.txt,AI/ML,27.84,44.59%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/The_Heartland_Doesnt_Speak349_Remastered_analysis.txt,AI/ML,27.84,44.59%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/Heartbeats_in_the_Dark2_Remastered_alt1_analysis.txt,AI/ML,27.84,44.59%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/Heartbeats in the Dark _ [Remastered]_2_analysis.txt,AI/ML,27.84,44.59%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/Heartbeats_in_the_Dark_Remastered_alt1_analysis.txt,AI/ML,27.84,44.59%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/Heartbeats in the Dark_359_analysis.txt,AI/ML,27.84,44.59%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/The_Heartland_Doesnt_Speak_dup1_analysis.txt,AI/ML,27.84,44.59%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/Bite_in_the_Night_Lady_Heart310_analysis.txt,AI/ML,27.84,44.59%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/bite_in_the_night319_lady_heart_analysis.txt,AI/ML,27.84,44.59%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/Heartbeats in the Dark 7_359_analysis.txt,AI/ML,27.84,44.59%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/Heart Songs - [Remastered]_1_analysis.txt,AI/ML,27.84,44.59%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/The_Heartland_Doesnt_Speak_analysis.txt,AI/ML,27.84,44.59%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/Heartbeats in the Dark_400_analysis.txt,AI/ML,27.84,44.59%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/Heart Songs - [Remastered]_analysis.txt,AI/ML,27.84,44.59%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/Heartbeats in the Dark_1_analysis.txt,AI/ML,27.84,44.59%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/Heartbeats in the Dark_7_analysis.txt,AI/ML,27.84,44.59%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/Heartbeats in the Dark_6_analysis.txt,AI/ML,27.84,44.59%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/Heartbeats in the Dark_analysis.txt,AI/ML,27.84,44.59%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/Heart Songs_analysis.txt,AI/ML,27.84,44.59%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/DescriptiveOrigins_(Remix)_analysis.txt,Automation Scripts,27.35,43.37%,unknown,unknown,Medium file | Markdown content | Automation Scripts related | Part of 'YouTube Content' project,~/Documents/CsV/Automation/YouTube-Content/Production | ~/Documents/CsV/Automation/YouTube-Content/Experimental
/Users/steven/Music/analysis/Moonly_Alley_(1)_analysis.txt,Portfolio Work,27.19,42.97%,unknown,unknown,Medium file | Text content | Portfolio Work related | Part of 'Portfolio Projects' project,~/Documents/CsV/Portfolio/Portfolio/Production | ~/Documents/CsV/Portfolio/Portfolio/Experimental
/Users/steven/Music/絢香 - THIS IS ME.mp3,Web Development,27.17,25.75%,unknown,unknown,Large file | Mp3 content | Web Development related | Part of 'YouTube Content' project,~/Documents/CsV/Web-Development/YouTube-Content/Production | ~/Documents/CsV/Web-Development/YouTube-Content/Experimental
/Users/steven/Music/analysis/The_Alley_King_Remastered239_v2239_analysis.txt,AI/ML,27.08,42.68%,unknown,unknown,Medium file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/Heartbeats_in_the_Dark2_(Remastered)_(1)_359_analysis.txt,AI/ML,27.07,42.67%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/Heartbeats_in_the_Dark2_v_359_analysis.txt,AI/ML,27.07,42.67%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/Junkyard symphony from hearts_354_analysis.txt,AI/ML,27.07,42.67%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/Heartbeats_in_the_Dark_v4_311_analysis.txt,AI/ML,27.07,42.67%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/Heartbeats_in_the_Dark_v_2_analysis.txt,AI/ML,27.07,42.67%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/Echoes-of-Moonlight-analysis.txt,Portfolio Work,26.99,42.47%,unknown,unknown,Medium file | Text content | Portfolio Work related | Part of 'Portfolio Projects' project,~/Documents/CsV/Portfolio/Portfolio/Production | ~/Documents/CsV/Portfolio/Portfolio/Experimental
/Users/steven/Music/analysis/in_this_alley.mp3235_analysis.txt,AI/ML,26.87,42.17%,unknown,unknown,Medium file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/The_Heartland_Doesnt_Speak_Edit_dup1_analysis.txt,AI/ML,26.78,41.95%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/Heart Songs - [Edit]_1_analysis.txt,AI/ML,26.78,41.95%,unknown,unknown,Small file | Text content | AI/ML related | Part of 'Portfolio Projects' project,~/Documents/CsV/AI-ML/Portfolio/Production | ~/Documents/CsV/AI-ML/Portfolio/Experimental
/Users/steven/Music/analysis/in This aLLey Where i HiDe-oG (Remix)530_analysis.txt,Portfolio Work,26.72,41.77%,unknown,unknown,Medium file | Markdown content | Portfolio Work related | Part of 'YouTube Content' project,~/Documents/CsV/Portfolio/YouTube-Content/Production | ~/Documents/CsV/Portfolio/YouTube-Content/Experimental
/Users/steven/Music/analysis/Love_is_rubbishAnd_rubbish_is_love-259-folk-pluck_analysis.txt,Data Analysis,26.33,40.82%,unknown,unknown,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,~/Documents/CsV/Data-Analysis/YouTube-Content/Production | ~/Documents/CsV/Data-Analysis/YouTube-Content/Experimental
/Users/steven/Music/analysis/rubbish-love-disarray-indie-folk-309_analysis.txt,Data Analysis,26.33,40.82%,unknown,unknown,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,~/Documents/CsV/Data-Analysis/YouTube-Content/Production | ~/Documents/CsV/Data-Analysis/YouTube-Content/Experimental
/Users/steven/Music/analysis/Love_is_rubbish_Let_s_Get_Trashy_BanjoBandit_308_Remix_4_analysis.txt,Data Analysis,26.33,40.82%,unknown,unknown,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,~/Documents/CsV/Data-Analysis/YouTube-Content/Production | ~/Documents/CsV/Data-Analysis/YouTube-Content/Experimental
/Users/steven/Music/analysis/Love_is_rubbish_Let_s_Get_Trashy_BanjoBandit_308_Remix_2_analysis.txt,Data Analysis,26.33,40.82%,unknown,unknown,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,~/Documents/CsV/Data-Analysis/YouTube-Content/Production | ~/Documents/CsV/Data-Analysis/YouTube-Content/Experimental
/Users/steven/Music/analysis/Folk_Song_of_a_Dark_Traveler234_analysis.txt,Data Analysis,26.33,40.82%,unknown,unknown,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,~/Documents/CsV/Data-Analysis/YouTube-Content/Production | ~/Documents/CsV/Data-Analysis/YouTube-Content/Experimental
/Users/steven/Music/analysis/Folk_Song_of_a_Dark_Traveler202_analysis.txt,Data Analysis,26.33,40.82%,unknown,unknown,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,~/Documents/CsV/Data-Analysis/YouTube-Content/Production | ~/Documents/CsV/Data-Analysis/YouTube-Content/Experimental
/Users/steven/Music/analysis/Love_is_rubbish_Let_s_Get_Trashy_BanjoBandit_219-indie_analysis.txt,Data Analysis,26.33,40.82%,unknown,unknown,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,~/Documents/CsV/Data-Analysis/YouTube-Content/Production | ~/Documents/CsV/Data-Analysis/YouTube-Content/Experimental
/Users/steven/Music/analysis/Love_is_rubbish_Let_s_Get_Trashy_BanjoBandit_348-duo_analysis.txt,Data Analysis,26.33,40.82%,unknown,unknown,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,~/Documents/CsV/Data-Analysis/YouTube-Content/Production | ~/Documents/CsV/Data-Analysis/YouTube-Content/Experimental
/Users/steven/Music/analysis/Love_is_rubbish_Let_s_Get_Trashy_FastBanjoBandit_312_analysis.txt,Data Analysis,26.33,40.82%,unknown,unknown,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,~/Documents/CsV/Data-Analysis/YouTube-Content/Production | ~/Documents/CsV/Data-Analysis/YouTube-Content/Experimental
/Users/steven/Music/analysis/LoVe_is_RuBBisH_and_RuBBiSh_Violin-is_LoVe2_47_analysis.txt,Data Analysis,26.33,40.82%,unknown,unknown,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,~/Documents/CsV/Data-Analysis/YouTube-Content/Production | ~/Documents/CsV/Data-Analysis/YouTube-Content/Experimental
/Users/steven/Music/analysis/Love_is_rubbish_Lets_Get_Trashy_Remastered349_analysis.txt,Data Analysis,26.33,40.82%,unknown,unknown,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,~/Documents/CsV/Data-Analysis/YouTube-Content/Production | ~/Documents/CsV/Data-Analysis/YouTube-Content/Experimental
/Users/steven/Music/analysis/blues_in_moon252_analysis.txt,Data Analysis,26.33,40.82%,unknown,unknown,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,~/Documents/CsV/Data-Analysis/YouTube-Content/Production | ~/Documents/CsV/Data-Analysis/YouTube-Content/Experimental
/Users/steven/Music/analysis/Love_is_Rubbish_and_Rubbish_is_Love-239_1_analysis.txt,Data Analysis,26.33,40.82%,unknown,unknown,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,~/Documents/CsV/Data-Analysis/YouTube-Content/Production | ~/Documents/CsV/Data-Analysis/YouTube-Content/Experimental
/Users/steven/Music/analysis/No_More_Love_Songs_Encore_Remastered339_analysis.txt,Data Analysis,26.33,40.82%,unknown,unknown,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,~/Documents/CsV/Data-Analysis/YouTube-Content/Production | ~/Documents/CsV/Data-Analysis/YouTube-Content/Experimental
/Users/steven/Music/analysis/No_More_Love_Songs_-_Encore_Remastered_1_analysis.txt,Data Analysis,26.33,40.82%,unknown,unknown,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,~/Documents/CsV/Data-Analysis/YouTube-Content/Production | ~/Documents/CsV/Data-Analysis/YouTube-Content/Experimental
/Users/steven/Music/analysis/No_More_Love_Songs_Encore339_analysis.txt,Data Analysis,26.33,40.82%,unknown,unknown,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,~/Documents/CsV/Data-Analysis/YouTube-Content/Production | ~/Documents/CsV/Data-Analysis/YouTube-Content/Experimental
/Users/steven/Music/analysis/Love_is_rubbishAnd_rubbish_is_love-259-pluck_analysis.txt,Data Analysis,26.33,40.82%,unknown,unknown,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,~/Documents/CsV/Data-Analysis/YouTube-Content/Production | ~/Documents/CsV/Data-Analysis/YouTube-Content/Experimental
/Users/steven/Music/analysis/Love_is_Rubbish_and_Rubbish_is_Love239_analysis 2.txt,Data Analysis,26.33,40.82%,unknown,unknown,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,~/Documents/CsV/Data-Analysis/YouTube-Content/Production | ~/Documents/CsV/Data-Analysis/YouTube-Content/Experimental
/Users/steven/Music/analysis/LoVe_is_RuBBisH_and_RuBBiSh_is_LoVe2_47_analysis.txt,Data Analysis,26.33,40.82%,unknown,unknown,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,~/Documents/CsV/Data-Analysis/YouTube-Content/Production | ~/Documents/CsV/Data-Analysis/YouTube-Content/Experimental
/Users/steven/Music/analysis/in-this-alley-hide-309_fiddler_guitar_analysis.txt,Data Analysis,26.33,40.82%,unknown,unknown,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,~/Documents/CsV/Data-Analysis/YouTube-Content/Production | ~/Documents/CsV/Data-Analysis/YouTube-Content/Experimental
/Users/steven/Music/analysis/Stacie_the_Wind_Don_t_Ask_Why332_2_analysis.txt,Data Analysis,26.33,40.82%,unknown,unknown,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,~/Documents/CsV/Data-Analysis/YouTube-Content/Production | ~/Documents/CsV/Data-Analysis/YouTube-Content/Experimental
