Path,Type,Size,Modified,Category
/Users/steven/merge_conflicts.py,file,5.27K,2026-01-04 14:25:11,python-script
/Users/steven/.apify,directory,160.00B,2025-04-04 21:46:58,directory
/Users/steven/.DS_Store,file,126.00K,2026-01-12 16:21:22,file
/Users/steven/.boltai,directory,96.00B,2025-12-25 23:00:42,directory
/Users/steven/merge_directories.py,file,7.29K,2026-01-04 14:14:12,python-script
/Users/steven/.gnupg,directory,224.00B,2026-01-12 16:04:20,directory
/Users/steven/.pdf-filler-profiles,directory,64.00B,2025-12-29 08:21:48,directory
/Users/steven/.insights_database.json,file,3.40K,2025-10-28 06:42:53,file
/Users/steven/.envd,file,1.60K,2025-10-27 17:38:07,file
/Users/steven/analysis,directory,352.00B,2026-01-01 13:47:24,project
/Users/steven/.env 2.d.zip,file,296.65K,2025-11-05 14:24:59,archive
/Users/steven/cleanup_home.sh,file,7.08K,2025-12-04 06:40:10,file
/Users/steven/DEEPINDEX_QUICKSTART.md,file,8.15K,2026-01-12 15:27:07,documentation
/Users/steven/.yarnrc,file,116.00B,2025-10-26 12:33:10,file
/Users/steven/.CFUserTextEncoding,file,7.00B,2024-08-17 22:11:23,file
/Users/steven/.carbon-config.json,file,1.38K,2025-09-06 14:55:33,file
/Users/steven/.pixi,directory,128.00B,2026-01-12 16:04:20,directory
/Users/steven/.angular-config.json,file,168.00B,2025-02-28 17:50:12,file
/Users/steven/.wget-hsts,file,257.00B,2025-09-11 21:24:17,file
/Users/steven/.zshrcd,file,16.64K,2025-11-25 16:30:46,file
/Users/steven/pythons-merged-backup,directory,960.00B,2026-01-12 16:04:20,git-project
/Users/steven/.zshrc.backup_20251127_fix,file,34.50K,2025-11-27 10:49:16,file
/Users/steven/zsh-autocomplete,directory,416.00B,2026-01-12 16:04:20,git-project
/Users/steven/create_notion_from_csv.py,file,1.98K,2026-01-04 13:55:25,python-script
/Users/steven/deepindex.py,file,17.17K,2026-01-12 14:56:03,python-script
/Users/steven/.bashrc,file,359.00B,2025-11-27 21:04:12,file
/Users/steven/.zshrc_fixes_applied.md,file,3.06K,2026-01-05 03:17:21,documentation
/Users/steven/.zshrc,file,56.98K,2026-01-12 15:54:48,file
/Users/steven/.aider.conf.yml,file,355.00B,2025-12-04 12:00:19,file
/Users/steven/cursor.txt,file,3.06M,2025-11-25 20:34:47,documentation
/Users/steven/hahnclifford_gmail.com.txt,file,3.82K,2025-08-01 01:10:15,documentation
/Users/steven/tools_analysis_report.json,file,5.27K,2026-01-04 15:12:16,file
/Users/steven/vids-all.txt,file,125.84K,2025-12-28 04:31:24,documentation
/Users/steven/.ServiceHub,directory,96.00B,2025-04-04 15:38:58,directory
/Users/steven/.zshrc_issues_report.md,file,2.59K,2026-01-05 03:15:01,documentation
/Users/steven/.u2net,directory,96.00B,2024-08-22 10:23:44,directory
/Users/steven/.postman,directory,128.00B,2024-09-12 05:53:19,directory
/Users/steven/.streamlit,directory,128.00B,2025-06-07 04:28:37,directory
/Users/steven/.local,directory,288.00B,2026-01-12 16:04:20,directory
/Users/steven/cursor2.txt,file,28.46K,2025-11-25 20:57:51,documentation
/Users/steven/auto_merge_directories_advanced.py,file,18.55K,2026-01-04 14:31:05,python-script
/Users/steven/Pictures,directory,4.38K,2026-01-12 16:04:20,media-content
/Users/steven/.bun,directory,160.00B,2026-01-12 16:04:22,directory
/Users/steven/.zshrc_IMPROVEMENTS_SUMMARY.md,file,4.50K,2025-11-26 22:24:19,documentation
/Users/steven/zsh-completions,directory,384.00B,2026-01-12 16:04:22,git-project
/Users/steven/.fontconfig,directory,224.00B,2025-12-27 22:47:30,directory
/Users/steven/scattered_python_files_scan.csv,file,744.23K,2026-01-04 14:17:02,file
/Users/steven/.zprofile,file,154.00B,2025-10-26 12:47:09,file
/Users/steven/.env.d,directory,2.22K,2026-01-12 16:04:22,directory
/Users/steven/.cfg,directory,384.00B,2026-01-12 16:04:22,directory
/Users/steven/.nvm,directory,1.00K,2026-01-12 16:04:22,git-project
/Users/steven/.bundle,directory,96.00B,2025-10-16 19:22:29,directory
/Users/steven/deepindex_compare.py,file,12.08K,2026-01-12 15:25:48,python-script
/Users/steven/.zshrc_path_updates.md,file,2.82K,2026-01-05 03:24:04,documentation
/Users/steven/.zshrc_archive,directory,128.00B,2025-11-26 22:22:56,directory
/Users/steven/.zapierrc,file,53.00B,2025-10-30 05:06:37,file
/Users/steven/.zsh_usage.csv,file,994.00B,2025-12-04 12:32:40,file
/Users/steven/ADVANCED_ANALYZER_README.md,file,6.75K,2026-01-04 13:28:14,documentation
/Users/steven/.ai-shell,file,176.00B,2025-10-17 02:38:49,file
/Users/steven/.secrets,directory,160.00B,2025-10-24 04:36:43,directory
/Users/steven/.quicklook_plugins_backup,directory,96.00B,2025-12-01 03:46:42,directory
/Users/steven/.file_intelligence.db,file,1.44M,2026-01-01 15:12:55,file
/Users/steven/analyze_70_directories.py,file,5.83K,2026-01-04 14:27:40,python-script
/Users/steven/.nuget,directory,96.00B,2025-04-04 15:38:45,directory
/Users/steven/.boto,file,20.98K,2025-10-30 13:57:53,file
/Users/steven/RightFont,directory,96.00B,2026-01-12 16:04:28,directory
/Users/steven/.claude,directory,768.00B,2026-01-12 16:21:00,directory
/Users/steven/.zcompdump-newCho-5.9,file,49.12K,2026-01-12 15:46:45,file
/Users/steven/.zsh_history,file,134.00K,2026-01-12 16:09:28,file
/Users/steven/analyze_csv_insights.py,file,10.74K,2026-01-04 13:42:02,python-script
/Users/steven/.ipython,directory,96.00B,2025-12-01 04:21:13,directory
/Users/steven/.iterm2_shell_integration.zsh,file,7.55K,2024-08-17 23:25:43,file
/Users/steven/Desktop,directory,96.00B,2026-01-01 08:59:36,directory
/Users/steven/update-log-20260105-030708.log,file,2.01K,2026-01-05 03:09:41,file
/Users/steven/Library,directory,3.72K,2026-01-12 16:04:34,directory
/Users/steven/.matplotlib,directory,128.00B,2025-08-09 22:35:19,directory
/Users/steven/organizational_recommendations.md,file,9.88K,2026-01-04 13:44:10,documentation
/Users/steven/organize_70_directories.py,file,8.83K,2026-01-04 14:34:28,python-script
/Users/steven/pydocs,directory,416.00B,2026-01-12 16:04:42,directory
/Users/steven/merge_pythons.py,file,22.76K,2026-01-04 13:24:08,python-script
/Users/steven/__pycache__,directory,192.00B,2026-01-04 13:39:09,directory
/Users/steven/claude-Convos,directory,416.00B,2026-01-12 16:19:23,directory
/Users/steven/scan_misplaced_items.py,file,6.75K,2026-01-04 14:38:19,python-script
/Users/steven/.oracle_jre_usage,directory,96.00B,2025-11-28 08:15:57,directory
/Users/steven/.history,directory,544.00B,2026-01-12 16:04:42,directory
/Users/steven/Zotero,directory,192.00B,2026-01-12 16:04:42,directory
/Users/steven/.dotfiles,directory,96.00B,2025-09-06 13:03:00,directory
/Users/steven/.spotdl,directory,128.00B,2025-10-24 06:22:06,directory
/Users/steven/.carbon-now.json,file,1.25K,2025-10-30 17:56:36,file
/Users/steven/.node_repl_history,file,109.00B,2024-10-10 07:08:23,file
/Users/steven/.lpass,directory,64.00B,2026-01-03 17:42:34,directory
/Users/steven/.raycast,directory,96.00B,2025-12-01 04:21:28,directory
/Users/steven/.aider.input.history,file,106.00B,2025-12-04 12:03:13,file
/Users/steven/.gitignore_global,file,444.00B,2025-11-25 20:51:05,file
/Users/steven/.cups,directory,96.00B,2024-08-17 22:19:25,directory
/Users/steven/clean,directory,1.28K,2026-01-12 16:19:23,directory
/Users/steven/update-log-20260103-201409.log,file,3.61K,2026-01-03 20:16:26,file
/Users/steven/.fzf.zsh,file,150.00B,2025-11-05 14:28:51,file
/Users/steven/.iterm2,directory,576.00B,2024-08-17 23:25:42,directory
/Users/steven/remove_git_dirs.py,file,2.16K,2026-01-04 15:13:43,python-script
/Users/steven/.mplayer,directory,96.00B,2025-02-08 01:06:54,directory
/Users/steven/.codex,directory,608.00B,2026-01-12 16:04:42,directory
/Users/steven/Public,directory,128.00B,2026-01-12 16:04:42,directory
/Users/steven/.update_logs,directory,320.00B,2025-10-14 21:07:43,directory
/Users/steven/GitHub,directory,1.31K,2026-01-12 16:04:43,git-project
/Users/steven/.hyper_plugins,directory,192.00B,2026-01-12 16:04:47,directory
/Users/steven/Miniforge_Mamba_Analysis,directory,288.00B,2025-12-25 02:43:17,directory
/Users/steven/.gitignore,file,3.17K,2025-10-28 11:19:25,file
/Users/steven/scattered_python_files_scan.json,file,978.64K,2026-01-04 14:15:24,file
/Users/steven/.zshenv,file,142.00B,2025-10-25 03:49:48,file
/Users/steven/.EasyOCR,directory,96.00B,2025-12-01 04:21:30,directory
/Users/steven/.idlerc,directory,96.00B,2024-12-10 23:48:59,directory
/Users/steven/Cursor_Workspace_Export,directory,224.00B,2026-01-12 16:20:24,directory
/Users/steven/.tcshrc,file,125.00B,2025-06-07 03:54:59,file
/Users/steven/pythons-sort,directory,1.03K,2026-01-12 16:04:47,git-project
/Users/steven/seo-workspace.txt,file,233.29K,2025-12-28 14:17:14,documentation
/Users/steven/merge_recommendations.json,file,9.75K,2026-01-04 14:28:56,file
/Users/steven/Raycast,directory,96.00B,2026-01-12 16:04:47,directory
/Users/steven/.env.docker,file,265.00B,2025-10-27 02:11:59,file
/Users/steven/scripts,directory,1.91K,2026-01-12 16:04:47,project
/Users/steven/.spicetify,directory,288.00B,2026-01-12 16:04:47,directory
/Users/steven/.n8n,directory,640.00B,2026-01-12 16:04:47,directory
/Users/steven/.github,directory,128.00B,2026-01-12 16:04:47,directory
/Users/steven/.lh,directory,160.00B,2025-08-04 22:01:32,directory
/Users/steven/.sonarlint,directory,128.00B,2026-01-12 16:04:47,directory
/Users/steven/.rustup,directory,160.00B,2026-01-12 16:04:47,directory
/Users/steven/misplaced_items_scan.json,file,6.10K,2026-01-04 14:38:23,file
/Users/steven/.ssh,directory,704.00B,2026-01-12 16:04:47,directory
/Users/steven/Movies,directory,3.16K,2026-01-12 16:04:47,media-content
/Users/steven/.dotnet,directory,288.00B,2025-12-01 04:21:31,directory
/Users/steven/pythons,directory,7.00K,2026-01-12 16:04:48,project
/Users/steven/.python-version,file,5.00B,2025-11-26 21:55:43,file
/Users/steven/DEEPINDEX_NOTION_GUIDE.md,file,49.43K,2026-01-12 15:33:06,documentation
/Users/steven/.profile,file,19.00B,2025-12-04 12:47:08,file
/Users/steven/.gradle,directory,192.00B,2026-01-12 16:04:48,directory
/Users/steven/.iterm2_shell_integration.zsh.zwc,file,10.11K,2025-09-12 18:44:09,file
/Users/steven/.envs,file,126.00B,2025-10-25 06:33:37,file
/Users/steven/home-scan-2026-01-12.csv,file,141.47M,2026-01-12 16:01:19,file
/Users/steven/home_directory_analysis.csv,file,7.81K,2026-01-12 16:21:04,file
/Users/steven/.env.d.zip,file,342.86K,2025-10-31 21:04:16,archive
/Users/steven/.Trash,directory,64.00B,2026-01-04 23:33:45,directory
/Users/steven/zshrc2.txt,file,4.70K,2025-10-27 00:26:42,documentation
/Users/steven/.jupyter,directory,160.00B,2026-01-12 16:04:48,directory
/Users/steven/.zcompdump,file,48.44K,2026-01-12 16:19:28,file
/Users/steven/scan_scattered_pythons.py,file,5.61K,2026-01-04 14:16:31,python-script
/Users/steven/.keras,directory,96.00B,2024-11-10 11:38:37,directory
/Users/steven/update-log-20260103-201735.log,file,1.80K,2026-01-03 20:19:00,file
/Users/steven/.qodo,directory,128.00B,2025-09-05 01:44:50,directory
/Users/steven/.aider,directory,160.00B,2026-01-12 16:04:48,directory
/Users/steven/AVATARARTS,directory,2.28K,2026-01-12 16:19:23,git-project
/Users/steven/.npm,directory,320.00B,2026-01-12 16:04:49,directory
/Users/steven/.x-cmd.root,directory,288.00B,2026-01-12 16:04:51,directory
/Users/steven/Documents,directory,2.88K,2026-01-12 16:04:52,media-content
/Users/steven/.package_manager_backup_20251106_070741,directory,256.00B,2025-11-06 07:09:39,directory
/Users/steven/PSD-EXT,directory,256.00B,2026-01-12 16:04:53,directory
/Users/steven/.warp,directory,96.00B,2026-01-12 16:04:53,directory
/Users/steven/comprehensive_organize_70.py,file,8.61K,2026-01-04 14:36:13,python-script
/Users/steven/analysis_reports,directory,704.00B,2026-01-04 14:06:58,directory
/Users/steven/gol-ia-newq,directory,96.00B,2026-01-12 16:04:53,directory
/Users/steven/Bangkit2023-SunSavvy-master.zip,file,17.10M,2025-12-29 09:37:56,archive
/Users/steven/.claude.json,file,93.93K,2026-01-12 16:21:00,file
/Users/steven/.hyper.js,file,10.02K,2025-10-14 18:14:29,file
/Users/steven/.m2,directory,96.00B,2026-01-12 16:04:53,directory
/Users/steven/format-me.md,file,179.98K,2026-01-12 15:43:54,documentation
/Users/steven/.bash_profile,file,741.00B,2026-01-05 03:16:53,file
/Users/steven/iCloud,directory,3.75K,2026-01-12 16:04:38,directory
/Users/steven/.gem,directory,128.00B,2026-01-12 16:04:53,directory
/Users/steven/merge_avatarts.py,file,6.53K,2026-01-04 14:20:22,python-script
/Users/steven/SCAN_SUGGESTIONS.md,file,5.35K,2026-01-12 16:04:04,documentation
/Users/steven/reorganize_pythons.py,file,5.62K,2026-01-04 14:23:50,python-script
/Users/steven/open_in_googlesheets.md,file,2.01K,2026-01-04 13:51:07,documentation
/Users/steven/.aspnet,directory,128.00B,2026-01-12 16:04:53,directory
/Users/steven/.oh-my-zsh,directory,768.00B,2026-01-12 16:04:53,git-project
/Users/steven/continue_from_csv_analysis.py,file,8.17K,2026-01-04 13:42:02,python-script
/Users/steven/flat_organization_options.md,file,6.10K,2026-01-04 13:45:54,documentation
/Users/steven/audio-all.m4a,file,185.47K,2025-12-28 04:25:52,file
/Users/steven/Downloads,directory,5.94K,2026-01-12 16:04:53,media-content
/Users/steven/.python_history,file,21.00B,2025-09-13 03:18:30,file
/Users/steven/.cache,directory,288.00B,2026-01-12 16:04:54,directory
/Users/steven/.chatgpt,directory,320.00B,2026-01-12 16:04:54,directory
/Users/steven/.gitconfig,file,590.00B,2025-11-25 20:50:40,file
/Users/steven/hyper,directory,1.09K,2026-01-12 16:04:54,git-project
/Users/steven/generate_migration_maps.py,file,9.73K,2026-01-04 13:49:49,python-script
/Users/steven/llm-env-temp.txt,file,5.18K,2025-09-12 19:19:08,documentation
/Users/steven/.shinit,file,75.00B,2025-06-03 23:25:01,file
/Users/steven/drive_scan_report.txt,file,7.76K,2026-01-05 03:12:42,documentation
/Users/steven/.zshrc_env_perm_check,file,9.00B,2026-01-12 14:52:27,file
/Users/steven/.putty,directory,128.00B,2025-09-03 06:54:35,directory
/Users/steven/.zsh_sessions,directory,160.00B,2025-10-14 17:54:27,directory
/Users/steven/.vector_database.pkl,file,5.00B,2025-10-28 06:42:53,file
/Users/steven/orchestrator,directory,64.00B,2026-01-12 16:04:54,directory
/Users/steven/userscripts,directory,864.00B,2026-01-12 16:04:54,directory
/Users/steven/ADVANCED_CONTENT_AWARE_ANALYZER.py,file,45.08K,2026-01-04 13:39:34,python-script
/Users/steven/deepindex_examples.sh,file,5.37K,2026-01-12 14:57:14,file
/Users/steven/deepindex_README.md,file,7.59K,2026-01-12 14:54:54,documentation
/Users/steven/.conda,directory,96.00B,2026-01-04 13:37:24,directory
/Users/steven/.htaccess,file,253.00B,2025-09-09 22:25:21,file
/Users/steven/.zcompdump-newCho-5.9.zwc,file,115.92K,2026-01-12 15:46:45,file
/Users/steven/dedupe_after_merge.py,file,5.85K,2026-01-04 14:33:06,python-script
/Users/steven/.zsh,directory,96.00B,2025-11-27 10:49:43,directory
/Users/steven/zshrc.txt,file,5.49K,2025-10-27 00:26:23,documentation
/Users/steven/.composer,directory,160.00B,2025-06-06 21:42:00,directory
