file_to_remove,filename,reason,keep_file,similarity,duplicate_type,confidence,size_saved
/Users/steven/.claude-worktrees/pythons/busy-liskov/organize-youtube-root.py,organize-youtube-root.py,"Similar functionality (imports: 3, functions: 1)",/Users/steven/.claude-worktrees/pythons/busy-liskov/instagram-directory-organizer.py,85%,Functional Duplicate,Medium,9988
/Users/steven/.claude-worktrees/pythons/busy-liskov/pip-build-environment.py,pip-build-environment.py,"Similar functionality (imports: 5, functions: 19)",/Users/steven/.claude-worktrees/pythons/busy-liskov/database.py,85%,Functional Duplicate,Medium,9222
/Users/steven/.claude-worktrees/pythons/busy-liskov/mp3-batch-timestamp.py,mp3-batch-timestamp.py,"Similar functionality (imports: 10, functions: 7)",/Users/steven/.claude-worktrees/pythons/busy-liskov/parse-api.py,85%,Functional Duplicate,Medium,8924
/Users/steven/.claude-worktrees/pythons/busy-liskov/giphy-downloader.py,giphy-downloader.py,"Similar functionality (imports: 5, functions: 6)",/Users/steven/.claude-worktrees/pythons/busy-liskov/whisper-transcriber.py,85%,Functional Duplicate,Medium,7457
/Users/steven/.claude-worktrees/pythons/busy-liskov/story-trans.py,story-trans.py,"Similar functionality (imports: 5, functions: 4)",/Users/steven/.claude-worktrees/pythons/busy-liskov/storykeytrans.py,85%,Functional Duplicate,Medium,6880
/Users/steven/.claude-worktrees/pythons/busy-liskov/instagram-root-scripts.py,instagram-root-scripts.py,"Similar functionality (imports: 3, functions: 1)",/Users/steven/.claude-worktrees/pythons/busy-liskov/instagram-directory-organizer.py,85%,Functional Duplicate,Medium,6766
/Users/steven/.claude-worktrees/pythons/busy-liskov/docs.py,docs.py,"Similar functionality (imports: 4, functions: 7)",/Users/steven/.claude-worktrees/pythons/busy-liskov/other.py,85%,Functional Duplicate,Medium,6575
/Users/steven/.claude-worktrees/pythons/busy-liskov/extract-image-metadata.py,extract-image-metadata.py,Identical content - exact duplicate,/Users/steven/.claude-worktrees/pythons/busy-liskov/analyze-metadata.py,100%,Identical Content,High,6277
/Users/steven/.claude-worktrees/pythons/busy-liskov/extract-image-metadata.py,extract-image-metadata.py,"Similar functionality (imports: 10, functions: 6)",/Users/steven/.claude-worktrees/pythons/busy-liskov/analyze-metadata.py,85%,Functional Duplicate,Medium,6277
/Users/steven/.claude-worktrees/pythons/busy-liskov/scraping-download-news-api-fetcher.py,scraping-download-news-api-fetcher.py,"Similar functionality (imports: 7, functions: 11)",/Users/steven/.claude-worktrees/pythons/busy-liskov/image-resize-aspect-ratios.py,85%,Functional Duplicate,Medium,6086
/Users/steven/.claude-worktrees/pythons/busy-liskov/file-diff-viewer.py,file-diff-viewer.py,Identical content - exact duplicate,/Users/steven/.claude-worktrees/pythons/busy-liskov/compare-versions.py,100%,Identical Content,High,5929
/Users/steven/.claude-worktrees/pythons/busy-liskov/file-diff-viewer.py,file-diff-viewer.py,"Similar functionality (imports: 3, functions: 4)",/Users/steven/.claude-worktrees/pythons/busy-liskov/compare-versions.py,85%,Functional Duplicate,Medium,5929
/Users/steven/.claude-worktrees/pythons/busy-liskov/python-namer.py,python-namer.py,"Similar functionality (imports: 5, functions: 3)",/Users/steven/.claude-worktrees/pythons/busy-liskov/batch-info.py,85%,Functional Duplicate,Medium,5278
/Users/steven/.claude-worktrees/pythons/busy-liskov/rename.py,rename.py,Identical content - exact duplicate,/Users/steven/.claude-worktrees/pythons/busy-liskov/batch-image-renamer.py,100%,Identical Content,High,5092
/Users/steven/.claude-worktrees/pythons/busy-liskov/batch-image-renamer.py,batch-image-renamer.py,"Similar functionality (imports: 7, functions: 0)",/Users/steven/.claude-worktrees/pythons/busy-liskov/rename.py,85%,Functional Duplicate,Medium,5092
/Users/steven/.claude-worktrees/pythons/busy-liskov/setuptools.py,setuptools.py,Identical content - exact duplicate,/Users/steven/.claude-worktrees/pythons/busy-liskov/setuptools-bootstrap.py,100%,Identical Content,High,4499
/Users/steven/.claude-worktrees/pythons/busy-liskov/setuptools-bootstrap.py,setuptools-bootstrap.py,"Similar functionality (imports: 4, functions: 5)",/Users/steven/.claude-worktrees/pythons/busy-liskov/setuptools.py,85%,Functional Duplicate,Medium,4499
/Users/steven/.harbor/boost/src/custom_modules/pdsv.py,pdsv.py,"Similar functionality (imports: 6, functions: 0)",/Users/steven/.harbor/boost/src/custom_modules/cssv.py,85%,Functional Duplicate,Medium,4341
/Users/steven/.claude-worktrees/pythons/busy-liskov/batch-transcript-finder.py,batch-transcript-finder.py,"Similar functionality (imports: 3, functions: 1)",/Users/steven/.claude-worktrees/pythons/busy-liskov/rename-only-analyzer.py,85%,Functional Duplicate,Medium,4210
/Users/steven/.harbor/boost/src/modules/g1.py,g1.py,"Similar functionality (imports: 5, functions: 0)",/Users/steven/.harbor/boost/src/modules/supersummer.py,85%,Functional Duplicate,Medium,3778
/Users/steven/.harbor/boost/src/modules/rcn.py,rcn.py,"Similar functionality (imports: 5, functions: 0)",/Users/steven/.harbor/boost/src/modules/supersummer.py,85%,Functional Duplicate,Medium,3588
/Users/steven/.claude-worktrees/pythons/busy-liskov/upscale-and-upload.py,upscale-and-upload.py,"Similar functionality (imports: 4, functions: 0)",/Users/steven/.claude-worktrees/pythons/busy-liskov/upload-products.py,85%,Functional Duplicate,Medium,3099
/Users/steven/.claude-worktrees/pythons/busy-liskov/pyorganize.py,pyorganize.py,Identical content - exact duplicate,/Users/steven/.claude-worktrees/pythons/busy-liskov/extract-python-structure.py,100%,Identical Content,High,2470
/Users/steven/.claude-worktrees/pythons/busy-liskov/extract-python-structure.py,extract-python-structure.py,"Similar functionality (imports: 5, functions: 3)",/Users/steven/.claude-worktrees/pythons/busy-liskov/pyorganize.py,85%,Functional Duplicate,Medium,2470
/Users/steven/.harbor/boost/src/custom_modules/tmsv.py,tmsv.py,"Similar functionality (imports: 6, functions: 0)",/Users/steven/.harbor/boost/src/custom_modules/cssv.py,85%,Functional Duplicate,Medium,2326
/Users/steven/.claude-worktrees/pythons/busy-liskov/tools.py,tools.py,"Similar functionality (imports: 4, functions: 4)",/Users/steven/.claude-worktrees/pythons/busy-liskov/pythoncatorize.py,85%,Functional Duplicate,Medium,2295
/Users/steven/.claude-worktrees/pythons/busy-liskov/image-to-image-converter.py,image-to-image-converter.py,"Similar functionality (imports: 3, functions: 2)",/Users/steven/.claude-worktrees/pythons/busy-liskov/batch-convert-upscale.py,85%,Functional Duplicate,Medium,2252
/Users/steven/.harbor/boost/src/custom_modules/usv.py,usv.py,"Similar functionality (imports: 6, functions: 0)",/Users/steven/.harbor/boost/src/custom_modules/cssv.py,85%,Functional Duplicate,Medium,2229
/Users/steven/.harbor/boost/src/modules/eli5.py,eli5.py,"Similar functionality (imports: 5, functions: 0)",/Users/steven/.harbor/boost/src/modules/supersummer.py,85%,Functional Duplicate,Medium,2222
/Users/steven/.harbor/agent/src/chat_node.py,chat_node.py,"Similar functionality (imports: 3, functions: 0)",/Users/steven/.harbor/boost/src/chat_node.py,85%,Functional Duplicate,Medium,2038
/Users/steven/.claude-worktrees/pythons/busy-liskov/image-convert-upscale.py,image-convert-upscale.py,"Similar functionality (imports: 3, functions: 2)",/Users/steven/.claude-worktrees/pythons/busy-liskov/batch-convert-upscale.py,85%,Functional Duplicate,Medium,2019
/Users/steven/.claude-worktrees/pythons/busy-liskov/convertupscale.py,convertupscale.py,Identical content - exact duplicate,/Users/steven/.claude-worktrees/pythons/busy-liskov/convert-upscale-single.py,100%,Identical Content,High,2017
/Users/steven/.claude-worktrees/pythons/busy-liskov/convert-upscale-single.py,convert-upscale-single.py,"Similar functionality (imports: 3, functions: 2)",/Users/steven/.claude-worktrees/pythons/busy-liskov/batch-convert-upscale.py,85%,Functional Duplicate,Medium,2017
/Users/steven/.claude-worktrees/pythons/busy-liskov/convertupscale.py,convertupscale.py,"Similar functionality (imports: 3, functions: 2)",/Users/steven/.claude-worktrees/pythons/busy-liskov/batch-convert-upscale.py,85%,Functional Duplicate,Medium,2017
/Users/steven/.claude-worktrees/pythons/busy-liskov/vision.py,vision.py,Identical content - exact duplicate,/Users/steven/.claude-worktrees/pythons/busy-liskov/gpt-vision-image-describer.py,100%,Identical Content,High,1953
/Users/steven/.claude-worktrees/pythons/busy-liskov/vision.py,vision.py,"Similar functionality (imports: 3, functions: 1)",/Users/steven/.claude-worktrees/pythons/busy-liskov/gpt-vision-image-describer.py,85%,Functional Duplicate,Medium,1953
/Users/steven/.harbor/boost/src/custom_modules/cex.py,cex.py,"Similar functionality (imports: 4, functions: 0)",/Users/steven/.harbor/boost/src/custom_modules/example.py,85%,Functional Duplicate,Medium,1811
/Users/steven/.claude-worktrees/pythons/busy-liskov/download-images-from-csv.py,download-images-from-csv.py,Identical content - exact duplicate,/Users/steven/.claude-worktrees/pythons/busy-liskov/csvsort.py,100%,Identical Content,High,1808
/Users/steven/.claude-worktrees/pythons/busy-liskov/csvsort.py,csvsort.py,"Similar functionality (imports: 4, functions: 2)",/Users/steven/.claude-worktrees/pythons/busy-liskov/download-images-from-csv.py,85%,Functional Duplicate,Medium,1808
/Users/steven/.claude-worktrees/pythons/busy-liskov/generate-typography-covers.py,generate-typography-covers.py,Identical content - exact duplicate,/Users/steven/.claude-worktrees/pythons/busy-liskov/cover.py,100%,Identical Content,High,1759
