path,full_path,size_bytes,size_mb,modified,extension,name
dedup.txt,Documents/HTML/dedup.txt,1932534,1.843,2025-12-03T06:19:55.400686,.txt,dedup.txt
HTML_ORGANIZATION_LOG_20251127_094636.csv,Documents/HTML/HTML_ORGANIZATION_LOG_20251127_094636.csv,618473,0.5898,2025-11-27T09:46:40.136875,.csv,HTML_ORGANIZATION_LOG_20251127_094636.csv
test_sample.html,Documents/HTML/test_sample.html,802,0.0008,2025-12-03T03:36:43.042471,.html,test_sample.html
fancy.html,Documents/HTML/fancy.html,1623826,1.5486,2025-12-02T23:24:46.675262,.html,fancy.html
discography 1.html,Documents/HTML/discography 1.html,6620,0.0063,2024-10-07T02:24:46,.html,discography 1.html
New Apostolic Reformation.html,Documents/HTML/New Apostolic Reformation.html,22332,0.0213,2025-10-08T06:11:32,.html,New Apostolic Reformation.html
.DS_Store,Documents/HTML/.DS_Store,14340,0.0137,2026-01-01T12:57:54.094315,,.DS_Store
discography-test 1.html,Documents/HTML/discography-test 1.html,12590,0.012,2025-04-06T02:09:23,.html,discography-test 1.html
Finalize_artist_identity.html,Documents/HTML/Finalize_artist_identity.html,585886,0.5587,2025-11-26T15:15:07.995046,.html,Finalize_artist_identity.html
Funny Sarcastic Mug Sublimation Bundle Graphic by  36f981b342f149bcaa00a1cd6c48f62c.html,Documents/HTML/Funny Sarcastic Mug Sublimation Bundle Graphic by  36f981b342f149bcaa00a1cd6c48f62c.html,33085,0.0316,2025-01-02T01:51:58,.html,Funny Sarcastic Mug Sublimation Bundle Graphic by  36f981b342f149bcaa00a1cd6c48f62c.html
DighitalDiVe.zip,Documents/HTML/DighitalDiVe.zip,710369,0.6775,2025-01-30T21:38:58.767391,.zip,DighitalDiVe.zip
gallery 4.html,Documents/HTML/gallery 4.html,1401,0.0013,2022-09-24T14:59:50,.html,gallery 4.html
YouTube Shorts Content GeneratorTrashCat Origin 17036221d8b281eb9bd8f91deb651988.html,Documents/HTML/YouTube Shorts Content GeneratorTrashCat Origin 17036221d8b281eb9bd8f91deb651988.html,48282,0.046,2025-01-30T23:49:26,.html,YouTube Shorts Content GeneratorTrashCat Origin 17036221d8b281eb9bd8f91deb651988.html
Funny Gingerbread Nurse Christmas PNG Graphic by T 95cfecd23cef437285d717242e660937.html,Documents/HTML/Funny Gingerbread Nurse Christmas PNG Graphic by T 95cfecd23cef437285d717242e660937.html,28108,0.0268,2025-01-02T01:52:40,.html,Funny Gingerbread Nurse Christmas PNG Graphic by T 95cfecd23cef437285d717242e660937.html
Organizing and improving AI directories list.html,Documents/HTML/Organizing and improving AI directories list.html,208945,0.1993,2025-11-27T20:50:51.073309,.html,Organizing and improving AI directories list.html
DiGiTaL DiVe Prompt Layout\.html,Documents/HTML/DiGiTaL DiVe Prompt Layout\.html,15083,0.0144,2025-09-03T02:04:53,.html,DiGiTaL DiVe Prompt Layout\.html
Video Tools 15936221d8b2817b8074e69cd969f4c7.html,Documents/HTML/Video Tools 15936221d8b2817b8074e69cd969f4c7.html,28908,0.0276,2025-01-02T01:45:34,.html,Video Tools 15936221d8b2817b8074e69cd969f4c7.html
Anti-Valentine's_Raccoon_Designs2 2.html,Documents/HTML/Anti-Valentine's_Raccoon_Designs2 2.html,14947,0.0143,2025-09-03T02:04:53,.html,Anti-Valentine's_Raccoon_Designs2 2.html
FFmpeg_MP4_to_MP3_Conversion.html,Documents/HTML/FFmpeg_MP4_to_MP3_Conversion.html,35318,0.0337,2025-01-29T23:38:02,.html,FFmpeg_MP4_to_MP3_Conversion.html
1001.html,Documents/HTML/1001.html,6992282,6.6684,2025-12-02T23:37:06.714030,.html,1001.html
Image Tools 15936221d8b281ba8732fffc846ae604.html,Documents/HTML/Image Tools 15936221d8b281ba8732fffc846ae604.html,31930,0.0305,2025-01-02T01:45:38,.html,Image Tools 15936221d8b281ba8732fffc846ae604.html
popup.html,Documents/HTML/popup.html,456,0.0004,2025-05-31T00:17:04.640778,.html,popup.html
Awesome_Prompts.html,Documents/HTML/Awesome_Prompts.html,95913,0.0915,2024-06-21T15:38:34,.html,Awesome_Prompts.html
gall.html,Documents/HTML/gall.html,3142,0.003,2023-06-27T15:55:14,.html,gall.html
Home Ornaments for Decoration Printify 293342d6a95545aa94313e9acda9bfae.html,Documents/HTML/Home Ornaments for Decoration Printify 293342d6a95545aa94313e9acda9bfae.html,35080,0.0335,2025-01-02T01:51:24,.html,Home Ornaments for Decoration Printify 293342d6a95545aa94313e9acda9bfae.html
Narrative_Image_Generation_Guide_for_DALL-E_Usage_(YouTube_Shorts_Version)_In_each_image_generation_request_using_D 1.html,Documents/HTML/Narrative_Image_Generation_Guide_for_DALL-E_Usage_(YouTube_Shorts_Version)_In_each_image_generation_request_using_D 1.html,10597,0.0101,2025-09-03T02:04:52,.html,Narrative_Image_Generation_Guide_for_DALL-E_Usage_(YouTube_Shorts_Version)_In_each_image_generation_request_using_D 1.html
leo-archive.html,Documents/HTML/leo-archive.html,2424579,2.3123,2025-08-06T13:36:08,.html,leo-archive.html
ANALYZE_TOPICS.py,Documents/HTML/ANALYZE_TOPICS.py,3174,0.003,2025-11-27T10:02:01.193393,.py,ANALYZE_TOPICS.py
leo1.html,Documents/HTML/leo1.html,43952,0.0419,2024-04-24T07:10:04,.html,leo1.html
Title_Art_Prompts_Summary.html,Documents/HTML/Title_Art_Prompts_Summary.html,98062,0.0935,2024-06-19T10:16:24,.html,Title_Art_Prompts_Summary.html
Domain Deployment Guide.html,Documents/HTML/Domain Deployment Guide.html,235558,0.2246,2025-10-15T19:54:25,.html,Domain Deployment Guide.html
layout.html,Documents/HTML/layout.html,5746,0.0055,2025-05-31T00:16:34.808758,.html,layout.html
Image Generator bed0f44d07454df1ac703f3a3b987f59.html,Documents/HTML/Image Generator bed0f44d07454df1ac703f3a3b987f59.html,68943,0.0657,2025-01-02T02:04:24,.html,Image Generator bed0f44d07454df1ac703f3a3b987f59.html
iterm2.txt,Documents/HTML/iterm2.txt,200756,0.1915,2025-11-27T10:17:58.027351,.txt,iterm2.txt
Debunking the Mayan Calendar Myths A comprehensi 15336221d8b281ad99e3cc6dc2e09ecf.html,Documents/HTML/Debunking the Mayan Calendar Myths A comprehensi 15336221d8b281ad99e3cc6dc2e09ecf.html,41259,0.0393,2025-01-02T01:45:14,.html,Debunking the Mayan Calendar Myths A comprehensi 15336221d8b281ad99e3cc6dc2e09ecf.html
glitch.html,Documents/HTML/glitch.html,61234,0.0584,2025-10-26T23:32:25.946571,.html,glitch.html
Catchy_YouTube_#Shorts_Titles-2025-05-01 1.html,Documents/HTML/Catchy_YouTube_#Shorts_Titles-2025-05-01 1.html,116891,0.1115,2025-05-01T00:25:49,.html,Catchy_YouTube_#Shorts_Titles-2025-05-01 1.html
Design Assistant 53c27f5899f248458bc8ccbceb594692.html,Documents/HTML/Design Assistant 53c27f5899f248458bc8ccbceb594692.html,57104,0.0545,2025-01-02T02:04:04,.html,Design Assistant 53c27f5899f248458bc8ccbceb594692.html
"I Do It for the Ho's,Retro Santa Png Graphic by Ma 9abf2ac559894754b9e0136f8de78789.html","Documents/HTML/I Do It for the Ho's,Retro Santa Png Graphic by Ma 9abf2ac559894754b9e0136f8de78789.html",61910,0.059,2025-01-02T01:52:40,.html,"I Do It for the Ho's,Retro Santa Png Graphic by Ma 9abf2ac559894754b9e0136f8de78789.html"
hovercard 1.html,Documents/HTML/hovercard 1.html,3224,0.0031,2022-09-30T18:20:59,.html,hovercard 1.html
DiGiTaL DiVe Instructions.html,Documents/HTML/DiGiTaL DiVe Instructions.html,12208,0.0116,2025-09-03T02:04:53,.html,DiGiTaL DiVe Instructions.html
grid.html,Documents/HTML/grid.html,3953,0.0038,2025-05-31T00:14:36.453481,.html,grid.html
interactive-search.html,Documents/HTML/interactive-search.html,21662,0.0207,2025-11-05T16:54:25.337219,.html,interactive-search.html
content_automation_dashboard.html,Documents/HTML/content_automation_dashboard.html,25621,0.0244,2025-10-17T02:29:34,.html,content_automation_dashboard.html
card.html,Documents/HTML/card.html,3542,0.0034,2023-03-23T11:19:19,.html,card.html
HTML_ROOT_MERGE_LOG_20251127_100030.csv,Documents/HTML/HTML_ROOT_MERGE_LOG_20251127_100030.csv,137346,0.131,2025-11-27T10:00:42.964487,.csv,HTML_ROOT_MERGE_LOG_20251127_100030.csv
interactive-search-standalone.html,Documents/HTML/interactive-search-standalone.html,77570,0.074,2025-11-05T16:57:05.215930,.html,interactive-search-standalone.html
Alley_Animal_Artistic_Descriptions.html,Documents/HTML/Alley_Animal_Artistic_Descriptions.html,102526,0.0978,2025-01-02T21:01:39,.html,Alley_Animal_Artistic_Descriptions.html
contact 1.html,Documents/HTML/contact 1.html,14058,0.0134,2025-10-14T13:32:14,.html,contact 1.html
YouTube Shorts Content GeneratorTrashCat Origin 17036221d8b281de84c8d555fd5decc5.html,Documents/HTML/YouTube Shorts Content GeneratorTrashCat Origin 17036221d8b281de84c8d555fd5decc5.html,63125,0.0602,2025-01-30T23:49:26,.html,YouTube Shorts Content GeneratorTrashCat Origin 17036221d8b281de84c8d555fd5decc5.html
interactive-search-v2.html,Documents/HTML/interactive-search-v2.html,10875,0.0104,2025-11-05T16:56:24.455650,.html,interactive-search-v2.html
DiGiTaL_DiVe 2.html,Documents/HTML/DiGiTaL_DiVe 2.html,5896,0.0056,2025-09-03T02:04:53,.html,DiGiTaL_DiVe 2.html
Inflated Christmas Tumbler Bundle Graphic by Chris ca7c20dab2d54e1d9ef2c389803244d2.html,Documents/HTML/Inflated Christmas Tumbler Bundle Graphic by Chris ca7c20dab2d54e1d9ef2c389803244d2.html,55318,0.0528,2025-01-02T01:53:42,.html,Inflated Christmas Tumbler Bundle Graphic by Chris ca7c20dab2d54e1d9ef2c389803244d2.html
Video Editing 240fc9561f78429b98d924816a075964 1.html,Documents/HTML/Video Editing 240fc9561f78429b98d924816a075964 1.html,47398,0.0452,2025-01-02T02:04:00,.html,Video Editing 240fc9561f78429b98d924816a075964 1.html
Memento_mori_-mythic_Images-2025-05-01.html,Documents/HTML/Memento_mori_-mythic_Images-2025-05-01.html,72819,0.0694,2025-05-01T00:03:40,.html,Memento_mori_-mythic_Images-2025-05-01.html
leo3.html,Documents/HTML/leo3.html,44129,0.0421,2024-04-24T07:09:58,.html,leo3.html
Image Generation Concepts.html,Documents/HTML/Image Generation Concepts.html,27111,0.0259,2025-09-03T02:04:52,.html,Image Generation Concepts.html
SongPrompt 2.html,Documents/HTML/SongPrompt 2.html,6801,0.0065,2025-09-03T02:04:53,.html,SongPrompt 2.html
HTML_ANALYSIS_SUMMARY.md,Documents/HTML/HTML_ANALYSIS_SUMMARY.md,7295,0.007,2025-10-28T04:09:32.279789,.md,HTML_ANALYSIS_SUMMARY.md
YouTube Shorts Content GeneratorTrashCat Origin 17036221d8b281428eddc4476d3cae1b.html,Documents/HTML/YouTube Shorts Content GeneratorTrashCat Origin 17036221d8b281428eddc4476d3cae1b.html,36849,0.0351,2025-01-30T23:49:26,.html,YouTube Shorts Content GeneratorTrashCat Origin 17036221d8b281428eddc4476d3cae1b.html
ANALYZE_AND_ORGANIZE_HTML.py,Documents/HTML/ANALYZE_AND_ORGANIZE_HTML.py,7412,0.0071,2025-11-26T02:01:02.053262,.py,ANALYZE_AND_ORGANIZE_HTML.py
Raccoon Image Prompts (5) 16f36221d8b281a3b796fcadf7af3040 1.html,Documents/HTML/Raccoon Image Prompts (5) 16f36221d8b281a3b796fcadf7af3040 1.html,38322,0.0365,2025-01-02T02:04:58,.html,Raccoon Image Prompts (5) 16f36221d8b281a3b796fcadf7af3040 1.html
Add_Jump_Up_Button.html,Documents/HTML/Add_Jump_Up_Button.html,55831,0.0532,2025-01-29T23:38:00,.html,Add_Jump_Up_Button.html
ANALYZE_DUPLICATES_AND_ROOT.py,Documents/HTML/ANALYZE_DUPLICATES_AND_ROOT.py,3800,0.0036,2025-11-27T09:54:39.881659,.py,ANALYZE_DUPLICATES_AND_ROOT.py
typo-dalle_20250309204229.html,Documents/HTML/typo-dalle_20250309204229.html,33572,0.032,2025-03-09T20:42:29,.html,typo-dalle_20250309204229.html
Image_Series_Beautiful_Mess 2.html,Documents/HTML/Image_Series_Beautiful_Mess 2.html,12449,0.0119,2025-09-03T02:04:53,.html,Image_Series_Beautiful_Mess 2.html
Image Tools 15936221d8b28149be92f1b400137243.html,Documents/HTML/Image Tools 15936221d8b28149be92f1b400137243.html,31823,0.0303,2025-01-02T01:45:34,.html,Image Tools 15936221d8b28149be92f1b400137243.html
DiGiTaL_DiVe_Image_Generation_Instructions 2.html,Documents/HTML/DiGiTaL_DiVe_Image_Generation_Instructions 2.html,13923,0.0133,2025-09-03T02:04:52,.html,DiGiTaL_DiVe_Image_Generation_Instructions 2.html
now_create_a_'generic'_prompt_that_i_can_use_on_ma 2.html,Documents/HTML/now_create_a_'generic'_prompt_that_i_can_use_on_ma 2.html,11081,0.0106,2025-09-03T02:04:52,.html,now_create_a_'generic'_prompt_that_i_can_use_on_ma 2.html
test_20250102115142.html,Documents/HTML/test_20250102115142.html,4246,0.004,2025-05-31T00:15:00.804114,.html,test_20250102115142.html
Updated_Narrative_Script_with_New_Section 2.html,Documents/HTML/Updated_Narrative_Script_with_New_Section 2.html,14264,0.0136,2025-09-03T02:04:53,.html,Updated_Narrative_Script_with_New_Section 2.html
Art_Prompts_Summary.html,Documents/HTML/Art_Prompts_Summary.html,54574,0.052,2025-09-03T02:04:52,.html,Art_Prompts_Summary.html
Hilarious Christmas Puns Bundle PNG Graphic by Ell 558cdd0e824c4605b2e3198797eaa058.html,Documents/HTML/Hilarious Christmas Puns Bundle PNG Graphic by Ell 558cdd0e824c4605b2e3198797eaa058.html,54005,0.0515,2025-01-02T01:52:14,.html,Hilarious Christmas Puns Bundle PNG Graphic by Ell 558cdd0e824c4605b2e3198797eaa058.html
Video Tools 15936221d8b2819fbf4acc001889d694.html,Documents/HTML/Video Tools 15936221d8b2819fbf4acc001889d694.html,29015,0.0277,2025-01-02T01:45:38,.html,Video Tools 15936221d8b2819fbf4acc001889d694.html
Compelling-narrative 2.html,Documents/HTML/Compelling-narrative 2.html,12613,0.012,2025-09-03T02:04:52,.html,Compelling-narrative 2.html
Prompt Structure.html,Documents/HTML/Prompt Structure.html,5941,0.0057,2025-09-03T02:04:52,.html,Prompt Structure.html
python-script-for-image-renaming-and-copying-6c58f096.html,Documents/HTML/python-script-for-image-renaming-and-copying-6c58f096.html,15082,0.0144,2025-10-08T06:11:26,.html,python-script-for-image-renaming-and-copying-6c58f096.html
SEO_branding_analysis.html,Documents/HTML/SEO_branding_analysis.html,932780,0.8896,2025-11-26T15:16:43.167888,.html,SEO_branding_analysis.html
ORGANIZE_ROOT_AND_MERGE.py,Documents/HTML/ORGANIZE_ROOT_AND_MERGE.py,3839,0.0037,2025-11-27T10:00:25.851832,.py,ORGANIZE_ROOT_AND_MERGE.py
Printify Drop Shipping Print on Demand for Ecommer 5c51ed2e710c4dbe9990b082b0781eac.html,Documents/HTML/Printify Drop Shipping Print on Demand for Ecommer 5c51ed2e710c4dbe9990b082b0781eac.html,42776,0.0408,2025-01-02T01:52:26,.html,Printify Drop Shipping Print on Demand for Ecommer 5c51ed2e710c4dbe9990b082b0781eac.html
PromptLy 16e36221d8b280e98a60c525a50453ad.html,Documents/HTML/PromptLy 16e36221d8b280e98a60c525a50453ad.html,20609,0.0197,2025-01-02T01:44:42,.html,PromptLy 16e36221d8b280e98a60c525a50453ad.html
Automation-Sora-epic.html,Documents/HTML/Automation-Sora-epic.html,109474502,104.403,2025-10-09T03:40:34.247164,.html,Automation-Sora-epic.html
waLL-art.md,Documents/HTML/waLL-art.md,18468,0.0176,2025-10-15T17:31:44,.md,waLL-art.md
Discography Auto-Grid Gallery 15936221d8b280ac8145f2eb80ff73ee.html,Documents/HTML/Discography Auto-Grid Gallery 15936221d8b280ac8145f2eb80ff73ee.html,25866,0.0247,2025-01-02T01:44:40,.html,Discography Auto-Grid Gallery 15936221d8b280ac8145f2eb80ff73ee.html
Converting_markdown_to_PDFs_with_pandoc_on_macOS 2.html,Documents/HTML/Converting_markdown_to_PDFs_with_pandoc_on_macOS 2.html,4575,0.0044,2025-09-03T02:04:52,.html,Converting_markdown_to_PDFs_with_pandoc_on_macOS 2.html
dallemod 3.html,Documents/HTML/dallemod 3.html,6498,0.0062,2025-04-04T03:23:02,.html,dallemod 3.html
MiXeD 2.html,Documents/HTML/MiXeD 2.html,10846,0.0103,2025-09-03T02:04:52,.html,MiXeD 2.html
leo2.html,Documents/HTML/leo2.html,44129,0.0421,2024-04-24T07:10:00,.html,leo2.html
covers 1.html,Documents/HTML/covers 1.html,1567,0.0015,2024-10-06T11:36:59,.html,covers 1.html
grouped_gallery.html,Documents/HTML/grouped_gallery.html,2381139,2.2708,2025-01-02T12:46:30,.html,grouped_gallery.html
Alfred_Image_Processing_Workflow.html,Documents/HTML/Alfred_Image_Processing_Workflow.html,146833,0.14,2024-06-18T13:55:44,.html,Alfred_Image_Processing_Workflow.html
3D_Cracked_Wall_Designs.html,Documents/HTML/3D_Cracked_Wall_Designs.html,66601,0.0635,2024-08-12T03:01:24,.html,3D_Cracked_Wall_Designs.html
FuzzyTime_Form.html,Documents/HTML/FuzzyTime_Form.html,115608,0.1103,2024-08-12T03:01:26,.html,FuzzyTime_Form.html
Creating_a_shortcut_in_vscode_to_switch_between_the_terminal_and_editor 2.html,Documents/HTML/Creating_a_shortcut_in_vscode_to_switch_between_the_terminal_and_editor 2.html,6650,0.0063,2025-09-03T02:04:52,.html,Creating_a_shortcut_in_vscode_to_switch_between_the_terminal_and_editor 2.html
Epic History of the Inca Empire A Journey Throug 15336221d8b281669d24e079941f729d.html,Documents/HTML/Epic History of the Inca Empire A Journey Throug 15336221d8b281669d24e079941f729d.html,44226,0.0422,2025-01-02T01:45:12,.html,Epic History of the Inca Empire A Journey Throug 15336221d8b281669d24e079941f729d.html
code_gallery 2.html,Documents/HTML/code_gallery 2.html,3562762,3.3977,2025-10-09T07:02:33,.html,code_gallery 2.html
Aspect Ratios for Greeting Cards – Redbubble 2b99ef6bae8847c583d525bf9efb723b.html,Documents/HTML/Aspect Ratios for Greeting Cards – Redbubble 2b99ef6bae8847c583d525bf9efb723b.html,32205,0.0307,2025-01-02T01:51:24,.html,Aspect Ratios for Greeting Cards – Redbubble 2b99ef6bae8847c583d525bf9efb723b.html
AutoUploadShorts.html,Documents/HTML/AutoUploadShorts.html,201936,0.1926,2025-09-03T02:04:53,.html,AutoUploadShorts.html
YouTube Shorts Content GeneratorTrashCat Origin 17036221d8b2818388baddd0fb528e12.html,Documents/HTML/YouTube Shorts Content GeneratorTrashCat Origin 17036221d8b2818388baddd0fb528e12.html,40588,0.0387,2025-01-30T23:49:26,.html,YouTube Shorts Content GeneratorTrashCat Origin 17036221d8b2818388baddd0fb528e12.html
SEO_keyword_trends_analysis.html,Documents/HTML/SEO_keyword_trends_analysis.html,314228,0.2997,2025-11-26T15:25:00.263725,.html,SEO_keyword_trends_analysis.html
character_portraits-lore-driven.html,Documents/HTML/character_portraits-lore-driven.html,46300,0.0442,2025-09-03T02:04:53,.html,character_portraits-lore-driven.html
script-search.html,Documents/HTML/script-search.html,10854,0.0104,2025-11-05T16:58:26.573020,.html,script-search.html
Raccoon Image Prompts (6) 16f36221d8b28178bb21f6956f397796.html,Documents/HTML/Raccoon Image Prompts (6) 16f36221d8b28178bb21f6956f397796.html,39631,0.0378,2025-01-02T02:04:58,.html,Raccoon Image Prompts (6) 16f36221d8b28178bb21f6956f397796.html
saved_resource.html,Documents/HTML/saved_resource.html,905,0.0009,2025-05-31T00:13:22.774187,.html,saved_resource.html
disco25-black.html,Documents/HTML/disco25-black.html,417226,0.3979,2025-08-07T19:36:41,.html,disco25-black.html
Split_Large_HTML_File.html,Documents/HTML/Split_Large_HTML_File.html,172162,0.1642,2025-01-03T00:03:41,.html,Split_Large_HTML_File.html
Best_Prompt_Camera_2025-03-29_14_24_13 1.html,Documents/HTML/Best_Prompt_Camera_2025-03-29_14_24_13 1.html,144772,0.1381,2025-09-03T02:04:52,.html,Best_Prompt_Camera_2025-03-29_14_24_13 1.html
HTML_ORGANIZATION_REPORT.md,Documents/HTML/HTML_ORGANIZATION_REPORT.md,6275,0.006,2025-11-26T02:02:33.836835,.md,HTML_ORGANIZATION_REPORT.md
Home Ornaments for Decoration Printify b7b89c71ecb340398615373fb0c9cf2f.html,Documents/HTML/Home Ornaments for Decoration Printify b7b89c71ecb340398615373fb0c9cf2f.html,35080,0.0335,2025-01-02T01:53:40,.html,Home Ornaments for Decoration Printify b7b89c71ecb340398615373fb0c9cf2f.html
TrashCaTs 2.html,Documents/HTML/TrashCaTs 2.html,8487,0.0081,2025-09-03T02:04:53,.html,TrashCaTs 2.html
DiGiTaL_DiVe_Prompt_Layout 2.html,Documents/HTML/DiGiTaL_DiVe_Prompt_Layout 2.html,7907,0.0075,2025-09-03T02:04:53,.html,DiGiTaL_DiVe_Prompt_Layout 2.html
REORGANIZE_HTML_BY_TOPIC.py,Documents/HTML/REORGANIZE_HTML_BY_TOPIC.py,4569,0.0044,2025-11-27T10:02:58.436056,.py,REORGANIZE_HTML_BY_TOPIC.py
Ai-Search Engine.html,Documents/HTML/Ai-Search Engine.html,87873,0.0838,2025-01-02T02:04:20,.html,Ai-Search Engine.html
sun3 1.html,Documents/HTML/sun3 1.html,3817,0.0036,2024-10-06T12:38:39,.html,sun3 1.html
qf-labs 2.html,Documents/HTML/qf-labs 2.html,3288,0.0031,2025-08-09T23:49:00,.html,qf-labs 2.html
Leonardo Ai f844c620a036427ba7916c9366599a99.html,Documents/HTML/Leonardo Ai f844c620a036427ba7916c9366599a99.html,51396,0.049,2024-04-24T07:10:16,.html,Leonardo Ai f844c620a036427ba7916c9366599a99.html
Grinch Svg Design Bundle Graphic by DollarSmart ·  23e4b03bbb3947a0aaf5b64ad65cc368.html,Documents/HTML/Grinch Svg Design Bundle Graphic by DollarSmart ·  23e4b03bbb3947a0aaf5b64ad65cc368.html,43890,0.0419,2025-01-02T01:51:22,.html,Grinch Svg Design Bundle Graphic by DollarSmart ·  23e4b03bbb3947a0aaf5b64ad65cc368.html
ultimate_analysis_20251026_022230.json,Documents/HTML/ultimate_analysis_20251026_022230.json,357185,0.3406,2025-10-26T02:22:30.053930,.json,ultimate_analysis_20251026_022230.json
What is Phi (The Basics of the Golden Ratio) 0e3775ace2e146828dbcc9c7b21bab47.html,Documents/HTML/What is Phi (The Basics of the Golden Ratio) 0e3775ace2e146828dbcc9c7b21bab47.html,29728,0.0284,2025-01-02T01:50:58,.html,What is Phi (The Basics of the Golden Ratio) 0e3775ace2e146828dbcc9c7b21bab47.html
"Prompt_Layout_Title_{Randomly_Generated_Youtube_Trendy,_Catchy,_and_seo_optimized_Title} 2.html","Documents/HTML/Prompt_Layout_Title_{Randomly_Generated_Youtube_Trendy,_Catchy,_and_seo_optimized_Title} 2.html",9911,0.0095,2025-09-03T02:04:52,.html,"Prompt_Layout_Title_{Randomly_Generated_Youtube_Trendy,_Catchy,_and_seo_optimized_Title} 2.html"
code_browser_modern 2.html,Documents/HTML/code_browser_modern 2.html,37075,0.0354,2025-10-09T06:59:06,.html,code_browser_modern 2.html
sites-navigator/index.html,Documents/HTML/sites-navigator/index.html,863891,0.8239,2025-11-27T10:36:04.508638,.html,index.html
responsive-slideshow-carousel-with-only-html5-css3/responsive-slideshow-carousel-with-only-html5-css3.markdown,Documents/HTML/responsive-slideshow-carousel-with-only-html5-css3/responsive-slideshow-carousel-with-only-html5-css3.markdown,383,0.0004,2022-10-28T05:46:23,.markdown,responsive-slideshow-carousel-with-only-html5-css3.markdown
responsive-slideshow-carousel-with-only-html5-css3/script.js,Documents/HTML/responsive-slideshow-carousel-with-only-html5-css3/script.js,200,0.0002,2022-10-28T05:46:23,.js,script.js
responsive-slideshow-carousel-with-only-html5-css3/styles,Documents/HTML/responsive-slideshow-carousel-with-only-html5-css3/styles,109,0.0001,2022-10-28T05:46:23,,styles
