Group_ID,File_Name,Full_Path,Parent_Directory,Size_Bytes,Size_Human,File_Count_In_Group,Total_Group_Size_Bytes,Total_Group_Size_Human,Potential_Savings_Bytes,Potential_Savings_Human,Keep_File,Action
5,Winning_the_SEO_Game_2025.mp4,/Users/steven/Downloads/Winning_the_SEO_Game_2025.mp4,/Users/steven/Downloads,47305975,45.11MB,2,94611950,90.23MB,47305975,45.11MB,NO,DELETE (if identical)
6,AquaTouch v3.6.10.bttpresetzip.zip,/Users/steven/Downloads/02_Conversations/AquaTouch v3.6.10.bttpresetzip.zip,/Users/steven/Downloads/02_Conversations,32118718,30.63MB,2,64237436,61.26MB,0,0B,YES,KEEP
6,AquaTouch v3.6.10.bttpresetzip.zip,/Users/steven/Pictures/ideo-xmas-T/AquaTouch v3.6.10.bttpresetzip.zip,/Users/steven/Pictures/ideo-xmas-T,32118718,30.63MB,2,64237436,61.26MB,32118718,30.63MB,NO,DELETE (if identical)
7,AquaTouch v3.6.10.bttpresetzip,/Users/steven/Pictures/ideo-xmas-T/AquaTouch v3.6.10.bttpresetzip,/Users/steven/Pictures/ideo-xmas-T,31919721,30.44MB,2,63839442,60.88MB,0,0B,YES,KEEP
7,AquaTouch v3.6.10.bttpresetzip 2,/Users/steven/Pictures/ideo-xmas-T/AquaTouch v3.6.10.bttpresetzip 2,/Users/steven/Pictures/ideo-xmas-T,31919721,30.44MB,2,63839442,60.88MB,31919721,30.44MB,NO,DELETE (if identical)
8,Bangkit2023-SunSavvy-master (1).zip,/Users/steven/Pictures/ideo-xmas-T/Bangkit2023-SunSavvy-master (1).zip,/Users/steven/Pictures/ideo-xmas-T,17930690,17.10MB,3,53792070,51.30MB,0,0B,YES,KEEP
8,Bangkit2023-SunSavvy-master (2).zip,/Users/steven/Pictures/ideo-xmas-T/Bangkit2023-SunSavvy-master (2).zip,/Users/steven/Pictures/ideo-xmas-T,17930690,17.10MB,3,53792070,51.30MB,35861380,34.20MB,NO,DELETE (if identical)
8,Bangkit2023-SunSavvy-master (3).zip,/Users/steven/Pictures/ideo-xmas-T/Bangkit2023-SunSavvy-master (3).zip,/Users/steven/Pictures/ideo-xmas-T,17930690,17.10MB,3,53792070,51.30MB,35861380,34.20MB,NO,DELETE (if identical)
9,ChatGPT_-_DiGiTaL_DiVe.pdf,/Users/steven/Music/nocTurneMeLoDieS/ChatGPT_-_DiGiTaL_DiVe.pdf,/Users/steven/Music/nocTurneMeLoDieS,23981848,22.87MB,2,47963696,45.74MB,0,0B,YES,KEEP
9,TrashCaTs-origin-bith-DiGiTaL_DiVe.pdf,/Users/steven/Music/nocTurneMeLoDieS/pdf/TrashCaTs-origin-bith-DiGiTaL_DiVe.pdf,/Users/steven/Music/nocTurneMeLoDieS/pdf,23981848,22.87MB,2,47963696,45.74MB,23981848,22.87MB,NO,DELETE (if identical)
10,Unifying_Authority_and_Hardening_AI_Systems.m4a,/Users/steven/AVATARARTS/Ai-Empire/Unifying_Authority_and_Hardening_AI_Systems.m4a,/Users/steven/AVATARARTS/Ai-Empire,21313335,20.33MB,2,42626670,40.65MB,0,0B,YES,KEEP
10,Unifying_Authority_and_Hardening_AI_Systems.m4a,/Users/steven/Downloads/Unifying_Authority_and_Hardening_AI_Systems.m4a,/Users/steven/Downloads,21313335,20.33MB,2,42626670,40.65MB,21313335,20.33MB,NO,DELETE (if identical)
11,geckodriver,/Users/steven/AVATARARTS/ai-sites/ORGANIZED/other/geckodriver,/Users/steven/AVATARARTS/ai-sites/ORGANIZED/other,5978544,5.70MB,4,23914176,22.81MB,0,0B,YES,KEEP
11,geckodriver,/Users/steven/pythons/simplegallery/bin/geckodriver,/Users/steven/pythons/simplegallery/bin,5978544,5.70MB,4,23914176,22.81MB,17935632,17.10MB,NO,DELETE (if identical)
11,geckodriver,/Users/steven/pythons/simplrgallery-code/simplegallery1/bin/geckodriver,/Users/steven/pythons/simplrgallery-code/simplegallery1/bin,5978544,5.70MB,4,23914176,22.81MB,17935632,17.10MB,NO,DELETE (if identical)
11,geckodriver,/Users/steven/pythons/simplrgallery-code/simplegallery2/bin/geckodriver,/Users/steven/pythons/simplrgallery-code/simplegallery2/bin,5978544,5.70MB,4,23914176,22.81MB,17935632,17.10MB,NO,DELETE (if identical)
12,tampermonkey-backup-chrome-2025-12-28T22-17-01-840Z.txt,/Users/steven/Pictures/ideo-xmas-T/tampermonkey-backup-chrome-2025-12-28T22-17-01-840Z.txt,/Users/steven/Pictures/ideo-xmas-T,11508578,10.98MB,2,23017156,21.95MB,0,0B,YES,KEEP
12,tampermonkey-backup-chrome-2025-12-28T22-30-53-837Z.txt,/Users/steven/Pictures/ideo-xmas-T/tampermonkey-backup-chrome-2025-12-28T22-30-53-837Z.txt,/Users/steven/Pictures/ideo-xmas-T,11508578,10.98MB,2,23017156,21.95MB,11508578,10.98MB,NO,DELETE (if identical)
13,1001.html,/Users/steven/Documents/HTML/1001.html,/Users/steven/Documents/HTML,6992282,6.67MB,2,13984564,13.34MB,0,0B,YES,KEEP
13,1001_20251202233706.html,/Users/steven/Music/nocTurneMeLoDieS/.history/1001_20251202233706.html,/Users/steven/Music/nocTurneMeLoDieS/.history,6992282,6.67MB,2,13984564,13.34MB,6992282,6.67MB,NO,DELETE (if identical)
14,WhisperTranscribe Content Optimization.txt,/Users/steven/Documents/WhisperTranscribe Content Optimization.txt,/Users/steven/Documents,6500403,6.20MB,2,13000806,12.40MB,0,0B,YES,KEEP
14,WhisperTranscribe Content Optimization_20251228051131.txt,/Users/steven/pythons/AI_CONTENT/.history/WhisperTranscribe Content Optimization_20251228051131.txt,/Users/steven/pythons/AI_CONTENT/.history,6500403,6.20MB,2,13000806,12.40MB,6500403,6.20MB,NO,DELETE (if identical)
15,WhisperTranscribe Content Optimization_20251228051310.txt,/Users/steven/pythons/AI_CONTENT/.history/WhisperTranscribe Content Optimization_20251228051310.txt,/Users/steven/pythons/AI_CONTENT/.history,6494262,6.19MB,2,12988524,12.39MB,0,0B,YES,KEEP
15,WhisperTranscribe Content Optimization.txt,/Users/steven/pythons/AI_CONTENT/WhisperTranscribe Content Optimization.txt,/Users/steven/pythons/AI_CONTENT,6494262,6.19MB,2,12988524,12.39MB,6494262,6.19MB,NO,DELETE (if identical)
16,unnamed.png,/Users/steven/AVATARARTS/Ai-Empire/unnamed.png,/Users/steven/AVATARARTS/Ai-Empire,6388447,6.09MB,2,12776894,12.18MB,0,0B,YES,KEEP
16,unnamed.png,/Users/steven/Downloads/unnamed.png,/Users/steven/Downloads,6388447,6.09MB,2,12776894,12.18MB,6388447,6.09MB,NO,DELETE (if identical)
17,ai-powered-multimedia-analysis-system_set_212_copy_1051.txt,/Users/steven/AVATARARTS/Dr_Adu_GainesvillePFS_SEO_Project/01_Project_Files/ai-powered-multimedia-analysis-system_set_212_copy_1051.txt,/Users/steven/AVATARARTS/Dr_Adu_GainesvillePFS_SEO_Project/01_Project_Files,4104927,3.91MB,3,12314781,11.74MB,0,0B,YES,KEEP
17,Acapela Box - Create Your Text to Speech Messages_analyze text for YouTube Shorts using OpenAI GPT.txt,/Users/steven/Music/nocTurneMeLoDieS/Discorgraphy_archive/OTHER/Acapela Box - Create Your Text to Speech Messages_analyze text for YouTube Shorts using OpenAI GPT.txt,/Users/steven/Music/nocTurneMeLoDieS/Discorgraphy_archive/OTHER,4104927,3.91MB,3,12314781,11.74MB,8209854,7.83MB,NO,DELETE (if identical)
17,analyze text for YouTube Shorts using OpenAI GPT.txt,/Users/steven/pythons/txt/analyze text for YouTube Shorts using OpenAI GPT.txt,/Users/steven/pythons/txt,4104927,3.91MB,3,12314781,11.74MB,8209854,7.83MB,NO,DELETE (if identical)
18,unnamed (1).png,/Users/steven/AVATARARTS/Ai-Empire/unnamed (1).png,/Users/steven/AVATARARTS/Ai-Empire,5973514,5.70MB,2,11947028,11.39MB,0,0B,YES,KEEP
18,Activating Your Digital Empire Blueprint.png,/Users/steven/Downloads/Activating Your Digital Empire Blueprint.png,/Users/steven/Downloads,5973514,5.70MB,2,11947028,11.39MB,5973514,5.70MB,NO,DELETE (if identical)
19,CONTENT_AWARE_MERGE_REPORT.txt,/Users/steven/AVATARARTS/ai-sites/CONTENT_AWARE_MERGE_REPORT.txt,/Users/steven/AVATARARTS/ai-sites,5788453,5.52MB,2,11576906,11.04MB,0,0B,YES,KEEP
19,CONTENT_AWARE_MERGE_REPORT.txt,/Users/steven/Music/nocTurneMeLoDieS/Discorgraphy_archive/OTHER/CONTENT_AWARE_MERGE_REPORT.txt,/Users/steven/Music/nocTurneMeLoDieS/Discorgraphy_archive/OTHER,5788453,5.52MB,2,11576906,11.04MB,5788453,5.52MB,NO,DELETE (if identical)
20,simplegallery-MY-TEMPLATE.zip,/Users/steven/pythons/MEDIA_PROCESSING/galleries/simplegallery-bin/simplegallery-MY-TEMPLATE.zip,/Users/steven/pythons/MEDIA_PROCESSING/galleries/simplegallery-bin,5364623,5.12MB,2,10729246,10.23MB,0,0B,YES,KEEP
20,simplegallery_template.zip,/Users/steven/pythons/simplrgallery-code/simplegallery_template.zip,/Users/steven/pythons/simplrgallery-code,5364623,5.12MB,2,10729246,10.23MB,5364623,5.12MB,NO,DELETE (if identical)
21,2025-4-3__20-1-2__file_00000000655051f7bc26f37ec2b18919.webp,/Users/steven/Downloads/Superpower-ChatGPT-Gallery/67ef212e-b484-8010-9ea7-03c76fd2bf8d/2025-4-3__20-1-2__file_00000000655051f7bc26f37ec2b18919.webp,/Users/steven/Downloads/Superpower-ChatGPT-Gallery/67ef212e-b484-8010-9ea7-03c76fd2bf8d,4012750,3.83MB,2,8025500,7.65MB,0,0B,YES,KEEP
21,SammysBlues.png,/Users/steven/Music/nocTurneMeLoDieS/IMAGES/SammysBlues.png,/Users/steven/Music/nocTurneMeLoDieS/IMAGES,4012750,3.83MB,2,8025500,7.65MB,4012750,3.83MB,NO,DELETE (if identical)
22,backup-chrome-2025-12-28T22-43-42-478Z (1).zip,/Users/steven/Downloads/backup-chrome-2025-12-28T22-43-42-478Z (1).zip,/Users/steven/Downloads,2456759,2.34MB,3,7370277,7.03MB,0,0B,YES,KEEP
22,backup-chrome-2025-12-28T22-43-42-478Z (2).zip,/Users/steven/Downloads/backup-chrome-2025-12-28T22-43-42-478Z (2).zip,/Users/steven/Downloads,2456759,2.34MB,3,7370277,7.03MB,4913518,4.69MB,NO,DELETE (if identical)
22,backup-chrome-2025-12-28T22-43-42-478Z.zip,/Users/steven/Downloads/backup-chrome-2025-12-28T22-43-42-478Z.zip,/Users/steven/Downloads,2456759,2.34MB,3,7370277,7.03MB,4913518,4.69MB,NO,DELETE (if identical)
23,sora1_20250505123029.html,/Users/steven/Pictures/sora/.history/sora1_20250505123029.html,/Users/steven/Pictures/sora/.history,3135157,2.99MB,2,6270314,5.98MB,0,0B,YES,KEEP
23,sora1_20250505123036.html,/Users/steven/Pictures/sora/.history/sora1_20250505123036.html,/Users/steven/Pictures/sora/.history,3135157,2.99MB,2,6270314,5.98MB,3135157,2.99MB,NO,DELETE (if identical)
24,leo-archive.html,/Users/steven/AVATARARTS/ai-sites/New_Folder_With_Items_3_ORGANIZED/html_files/leo-archive.html,/Users/steven/AVATARARTS/ai-sites/New_Folder_With_Items_3_ORGANIZED/html_files,2424579,2.31MB,2,4849158,4.62MB,0,0B,YES,KEEP
24,leo-archive.html,/Users/steven/Documents/HTML/leo-archive.html,/Users/steven/Documents/HTML,2424579,2.31MB,2,4849158,4.62MB,2424579,2.31MB,NO,DELETE (if identical)
25,SUNO_ULTIMATE_MASTER_20251226_101830.csv,/Users/steven/Downloads/Misc/SUNO_ULTIMATE_MASTER_20251226_101830.csv,/Users/steven/Downloads/Misc,2224927,2.12MB,2,4449854,4.24MB,0,0B,YES,KEEP
25,SUNO_ULTIMATE_MASTER_20251226_101830.csv,/Users/steven/Music/nocTurneMeLoDieS/suno-csv/SUNO_ULTIMATE_MASTER_20251226_101830.csv,/Users/steven/Music/nocTurneMeLoDieS/suno-csv,2224927,2.12MB,2,4449854,4.24MB,2224927,2.12MB,NO,DELETE (if identical)
26,creating_dark.md,/Users/steven/AVATARARTS/ai-ml-notes/creating_dark.md,/Users/steven/AVATARARTS/ai-ml-notes,2188140,2.09MB,2,4376280,4.17MB,0,0B,YES,KEEP
26,creating-dark-themed-avatar-arts-gallery.md,/Users/steven/pythons/DATA_UTILITIES/doc-generator/content/creating-dark-themed-avatar-arts-gallery.md,/Users/steven/pythons/DATA_UTILITIES/doc-generator/content,2188140,2.09MB,2,4376280,4.17MB,2188140,2.09MB,NO,DELETE (if identical)
27,album_cover_dalle_20251201_022919.png,/Users/steven/Music/nocTurneMeLoDieS/IMAGES/album_cover_dalle_20251201_022919.png,/Users/steven/Music/nocTurneMeLoDieS/IMAGES,2150067,2.05MB,2,4300134,4.10MB,0,0B,YES,KEEP
27,album_cover_dalle_generated 1.png,/Users/steven/Music/nocTurneMeLoDieS/IMAGES/album_cover_dalle_generated 1.png,/Users/steven/Music/nocTurneMeLoDieS/IMAGES,2150067,2.05MB,2,4300134,4.10MB,2150067,2.05MB,NO,DELETE (if identical)
28,ChatGPT Exporter.user.js,/Users/steven/Downloads/02_Conversations/chat-export/ChatGPT Exporter.user.js,/Users/steven/Downloads/02_Conversations/chat-export,842083,822.35KB,5,4210415,4.02MB,0,0B,YES,KEEP
28,ChatGPT Exporter.user.js,/Users/steven/Downloads/backup-chrome-2025-10-27T10-32-31-839Z/ChatGPT Exporter.user.js,/Users/steven/Downloads/backup-chrome-2025-10-27T10-32-31-839Z,842083,822.35KB,5,4210415,4.02MB,3368332,3.21MB,NO,DELETE (if identical)
28,ChatGPT Exporter.user.js,/Users/steven/Downloads/backup-chrome-2025-12-28T22-15-17-030Z/ChatGPT Exporter.user.js,/Users/steven/Downloads/backup-chrome-2025-12-28T22-15-17-030Z,842083,822.35KB,5,4210415,4.02MB,3368332,3.21MB,NO,DELETE (if identical)
28,ChatGPT Exporter-2.29.1.user.js,/Users/steven/scripts/ChatGPT Exporter-2.29.1.user.js,/Users/steven/scripts,842083,822.35KB,5,4210415,4.02MB,3368332,3.21MB,NO,DELETE (if identical)
28,ChatGPT_Exporter-2.29.1.user.js,/Users/steven/scripts/ChatGPT_Exporter-2.29.1.user.js,/Users/steven/scripts,842083,822.35KB,5,4210415,4.02MB,3368332,3.21MB,NO,DELETE (if identical)
29,dalle_20241108082646.html,/Users/steven/Pictures/DaLLe/.history/dalle_20241108082646.html,/Users/steven/Pictures/DaLLe/.history,2104886,2.01MB,2,4209772,4.01MB,0,0B,YES,KEEP
29,dalle_20241211123142.html,/Users/steven/Pictures/DaLLe/.history/dalle_20241211123142.html,/Users/steven/Pictures/DaLLe/.history,2104886,2.01MB,2,4209772,4.01MB,2104886,2.01MB,NO,DELETE (if identical)
30,suno4_20251226142927.html,/Users/steven/Music/nocTurneMeLoDieS/csv/.history/suno4_20251226142927.html,/Users/steven/Music/nocTurneMeLoDieS/csv/.history,1981748,1.89MB,2,3963496,3.78MB,0,0B,YES,KEEP
30,suno4.html,/Users/steven/Music/nocTurneMeLoDieS/suno-htmll/suno4.html,/Users/steven/Music/nocTurneMeLoDieS/suno-htmll,1981748,1.89MB,2,3963496,3.78MB,1981748,1.89MB,NO,DELETE (if identical)
31,build.crx,/Users/steven/AVATARARTS/marketplace/products/hookmark-pro/build.crx,/Users/steven/AVATARARTS/marketplace/products/hookmark-pro,1917143,1.83MB,2,3834286,3.66MB,0,0B,YES,KEEP
31,build.crx,/Users/steven/GitHub/hookmark/build.crx,/Users/steven/GitHub/hookmark,1917143,1.83MB,2,3834286,3.66MB,1917143,1.83MB,NO,DELETE (if identical)
32,dir2md-logo.png,/Users/steven/Downloads/Compressed/Dir2md-main/docs/dir2md-logo.png,/Users/steven/Downloads/Compressed/Dir2md-main/docs,1772923,1.69MB,2,3545846,3.38MB,0,0B,YES,KEEP
32,dir2md-logo.png,/Users/steven/GitHub/Dir2md-main/docs/dir2md-logo.png,/Users/steven/GitHub/Dir2md-main/docs,1772923,1.69MB,2,3545846,3.38MB,1772923,1.69MB,NO,DELETE (if identical)
33,07 - Elion's Divine Quest Unveiling Secrets - Elion His Voice.wav,/Users/steven/Music/Aeo-Seo-Podcast-Stories/Elion's Divine Quest Unveiling Secrets/07 - Elion's Divine Quest Unveiling Secrets - Elion His Voice.wav,/Users/steven/Music/Aeo-Seo-Podcast-Stories/Elion's Divine Quest Unveiling Secrets,1646626,1.57MB,2,3293252,3.14MB,0,0B,YES,KEEP
33,Elion's Divine Quest Unveiling Secrets - Elion His Voice.wav,/Users/steven/Music/Aeo-Seo-Podcast-Stories/Elion's Divine Quest Unveiling Secrets/Elion's Divine Quest Unveiling Secrets - Elion His Voice.wav,/Users/steven/Music/Aeo-Seo-Podcast-Stories/Elion's Divine Quest Unveiling Secrets,1646626,1.57MB,2,3293252,3.14MB,1646626,1.57MB,NO,DELETE (if identical)
34,fancy.html,/Users/steven/Documents/HTML/fancy.html,/Users/steven/Documents/HTML,1623826,1.55MB,2,3247652,3.10MB,0,0B,YES,KEEP
34,fancy_20251202232446.html,/Users/steven/Music/nocTurneMeLoDieS/.history/fancy_20251202232446.html,/Users/steven/Music/nocTurneMeLoDieS/.history,1623826,1.55MB,2,3247652,3.10MB,1623826,1.55MB,NO,DELETE (if identical)
35,04 - Elion's Divine Quest Unveiling Secrets - One Twilight As.wav,/Users/steven/Music/Aeo-Seo-Podcast-Stories/Elion's Divine Quest Unveiling Secrets/04 - Elion's Divine Quest Unveiling Secrets - One Twilight As.wav,/Users/steven/Music/Aeo-Seo-Podcast-Stories/Elion's Divine Quest Unveiling Secrets,1535522,1.46MB,2,3071044,2.93MB,0,0B,YES,KEEP
35,Elion's Divine Quest Unveiling Secrets - One Twilight As.wav,/Users/steven/Music/Aeo-Seo-Podcast-Stories/Elion's Divine Quest Unveiling Secrets/Elion's Divine Quest Unveiling Secrets - One Twilight As.wav,/Users/steven/Music/Aeo-Seo-Podcast-Stories/Elion's Divine Quest Unveiling Secrets,1535522,1.46MB,2,3071044,2.93MB,1535522,1.46MB,NO,DELETE (if identical)
36,album_cover_option1_vaporwave.png,/Users/steven/Music/nocTurneMeLoDieS/IMAGES/album_cover_option1_vaporwave.png,/Users/steven/Music/nocTurneMeLoDieS/IMAGES,1491567,1.42MB,2,2983134,2.84MB,0,0B,YES,KEEP
36,a-striking-biomechanical-vaporwave-album_FUn0YO7MSUufmLfkIFE4Sw_1JUwclh5QQSlwTf4jd2cnA.png,/Users/steven/Pictures/petals/a-striking-biomechanical-vaporwave-album_FUn0YO7MSUufmLfkIFE4Sw_1JUwclh5QQSlwTf4jd2cnA.png,/Users/steven/Pictures/petals,1491567,1.42MB,2,2983134,2.84MB,1491567,1.42MB,NO,DELETE (if identical)
37,HoeingEasy.png,/Users/steven/Pictures/HoeingEasy.png,/Users/steven/Pictures,1480417,1.41MB,2,2960834,2.82MB,0,0B,YES,KEEP
37,HoeingAintEasyTypography.jpeg,/Users/steven/Pictures/etsy/09_mockups_templates/HoeingAintEasyTypography.jpeg,/Users/steven/Pictures/etsy/09_mockups_templates,1480417,1.41MB,2,2960834,2.82MB,1480417,1.41MB,NO,DELETE (if identical)
38,stn-gnFq2MYZCspeihEuthAFhmBacGBpNf6K8xXNZRfO.png,/Users/steven/AVATARARTS/ai-sites/ORGANIZED/images/stn-gnFq2MYZCspeihEuthAFhmBacGBpNf6K8xXNZRfO.png,/Users/steven/AVATARARTS/ai-sites/ORGANIZED/images,1419814,1.35MB,2,2839628,2.71MB,0,0B,YES,KEEP
38,stn-gnFq2MYZCspeihEuthAFhmBacGBpNf6K8xXNZRfO.png,/Users/steven/Pictures/zombot-avatararts/stn-gnFq2MYZCspeihEuthAFhmBacGBpNf6K8xXNZRfO.png,/Users/steven/Pictures/zombot-avatararts,1419814,1.35MB,2,2839628,2.71MB,1419814,1.35MB,NO,DELETE (if identical)
39,music-empire.txt,/Users/steven/Music/nocTurneMeLoDieS/Discorgraphy_archive/OTHER/music-empire.txt,/Users/steven/Music/nocTurneMeLoDieS/Discorgraphy_archive/OTHER,1325465,1.26MB,2,2650930,2.53MB,0,0B,YES,KEEP
39,music-empire.txt,/Users/steven/Music/python/music-empire.txt,/Users/steven/Music/python,1325465,1.26MB,2,2650930,2.53MB,1325465,1.26MB,NO,DELETE (if identical)
40,08 - Elion's Divine Quest Unveiling Secrets - The Journey Was.wav,/Users/steven/Music/Aeo-Seo-Podcast-Stories/Elion's Divine Quest Unveiling Secrets/08 - Elion's Divine Quest Unveiling Secrets - The Journey Was.wav,/Users/steven/Music/Aeo-Seo-Podcast-Stories/Elion's Divine Quest Unveiling Secrets,1306658,1.25MB,2,2613316,2.49MB,0,0B,YES,KEEP
40,Elion's Divine Quest Unveiling Secrets - The Journey Was.wav,/Users/steven/Music/Aeo-Seo-Podcast-Stories/Elion's Divine Quest Unveiling Secrets/Elion's Divine Quest Unveiling Secrets - The Journey Was.wav,/Users/steven/Music/Aeo-Seo-Podcast-Stories/Elion's Divine Quest Unveiling Secrets,1306658,1.25MB,2,2613316,2.49MB,1306658,1.25MB,NO,DELETE (if identical)
41,C7BC597F-4D01-4447-9E8C-BE67642673A7.PNG,/Users/steven/Downloads/C7BC597F-4D01-4447-9E8C-BE67642673A7.PNG,/Users/steven/Downloads,1221957,1.17MB,2,2443914,2.33MB,0,0B,YES,KEEP
41,2.png,/Users/steven/Pictures/meh/2.png,/Users/steven/Pictures/meh,1221957,1.17MB,2,2443914,2.33MB,1221957,1.17MB,NO,DELETE (if identical)
42,creative-resize-prompt-setup.pdf,/Users/steven/AVATARARTS/ai-sites/New_Folder_With_Items_3_ORGANIZED/documents/creative-resize-prompt-setup.pdf,/Users/steven/AVATARARTS/ai-sites/New_Folder_With_Items_3_ORGANIZED/documents,1208321,1.15MB,2,2416642,2.30MB,0,0B,YES,KEEP
42,creative-resize-prompt-setup.pdf,/Users/steven/GitHub/AvaTarArTs-Suite/docs/guides/creative-resize-prompt-setup.pdf,/Users/steven/GitHub/AvaTarArTs-Suite/docs/guides,1208321,1.15MB,2,2416642,2.30MB,1208321,1.15MB,NO,DELETE (if identical)
43,03 - Elion's Divine Quest Unveiling Secrets - Elion Born to a 2.wav,/Users/steven/Music/Aeo-Seo-Podcast-Stories/Elion's Divine Quest Unveiling Secrets/03 - Elion's Divine Quest Unveiling Secrets - Elion Born to a 2.wav,/Users/steven/Music/Aeo-Seo-Podcast-Stories/Elion's Divine Quest Unveiling Secrets,1192486,1.14MB,2,2384972,2.27MB,0,0B,YES,KEEP
43,Elion's Divine Quest Unveiling Secrets - Elion Born to a 2.wav,/Users/steven/Music/Aeo-Seo-Podcast-Stories/Elion's Divine Quest Unveiling Secrets/Elion's Divine Quest Unveiling Secrets - Elion Born to a 2.wav,/Users/steven/Music/Aeo-Seo-Podcast-Stories/Elion's Divine Quest Unveiling Secrets,1192486,1.14MB,2,2384972,2.27MB,1192486,1.14MB,NO,DELETE (if identical)
44,punk_raccoon_character.png,/Users/steven/Music/nocTurneMeLoDieS/IMAGES/punk_raccoon_character.png,/Users/steven/Music/nocTurneMeLoDieS/IMAGES,1192422,1.14MB,2,2384844,2.27MB,0,0B,YES,KEEP
44,punk_raccoon_character.png,/Users/steven/Pictures/etsy/05_raccoon_designs/punk_raccoon_character.png,/Users/steven/Pictures/etsy/05_raccoon_designs,1192422,1.14MB,2,2384844,2.27MB,1192422,1.14MB,NO,DELETE (if identical)
45,10 - Elion's Divine Quest Unveiling Secrets - As He Embraced T.wav,/Users/steven/Music/Aeo-Seo-Podcast-Stories/Elion's Divine Quest Unveiling Secrets/10 - Elion's Divine Quest Unveiling Secrets - As He Embraced T.wav,/Users/steven/Music/Aeo-Seo-Podcast-Stories/Elion's Divine Quest Unveiling Secrets,1170472,1.12MB,2,2340944,2.23MB,0,0B,YES,KEEP
45,Elion's Divine Quest Unveiling Secrets - As He Embraced T.wav,/Users/steven/Music/Aeo-Seo-Podcast-Stories/Elion's Divine Quest Unveiling Secrets/Elion's Divine Quest Unveiling Secrets - As He Embraced T.wav,/Users/steven/Music/Aeo-Seo-Podcast-Stories/Elion's Divine Quest Unveiling Secrets,1170472,1.12MB,2,2340944,2.23MB,1170472,1.12MB,NO,DELETE (if identical)
46,Elion's Divine Quest Unveiling Secrets - In the Ethereal 2.wav,/Users/steven/Music/Aeo-Seo-Podcast-Stories/Elion's Divine Quest Unveiling Secrets/Elion's Divine Quest Unveiling Secrets - In the Ethereal 2.wav,/Users/steven/Music/Aeo-Seo-Podcast-Stories/Elion's Divine Quest Unveiling Secrets,1154598,1.10MB,2,2309196,2.20MB,0,0B,YES,KEEP
