old_path,action,reason,size_mb,similarity
DEVELOPMENT/ai-tools/AI_TOOLS/ai-voice-agents/analysis_visualizations,MERGE_REMOVE,Similar to BUSINESS/monetization/monetization/ai-voice-agents/analysis_visualizations (100.0% similar),9.234375,100.0%
ai-sites/monetization/ai-voice-agents/analysis_visualizations,MERGE_REMOVE,Similar to BUSINESS/monetization/monetization/ai-voice-agents/analysis_visualizations (100.0% similar),9.234375,100.0%
ai-sites/disco/mp3/Willow_whispers-v4-2,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Willow_whispers-v4-2 (100.0% similar),8.55078125,100.0%
ai-sites/disco/mp3/Willow_whispers-feelers-chill (Remastered x2),MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Willow_whispers-feelers-chill (Remastered x2) (100.0% similar),8.5390625,100.0%
CONTENT_ASSETS/ai-sites/ai-sites/AvaTarArTs/avatararts-portfolio,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/avatararts/avatararts-portfolio (96.5% similar),7.703125,96.5%
ai-sites/AvaTarArTs/avatararts-portfolio,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/avatararts/avatararts-portfolio (96.5% similar),7.703125,96.5%
CONTENT_ASSETS/ai-sites/AvaTarArTs/avatararts-portfolio,REMOVE,Duplicate of ai-sites/AvaTarArTs/avatararts-portfolio,7.4296875,96.5%
CONTENT_ASSETS/ai-sites/AvaTarArTs/avatararts-portfolio,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/avatararts/avatararts-portfolio (96.5% similar),7.4296875,96.5%
ai-sites/disco/mp3/neon_night_melody-L6V0QvcfGl,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/neon_night_melody-L6V0QvcfGl (100.0% similar),7.34765625,100.0%
ai-sites/disco/mp3/urban_melody_night_vibes,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/urban_melody_night_vibes (100.0% similar),7.34375,100.0%
ai-sites/disco/mp3/urban_melody_night,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/urban_melody_night (100.0% similar),7.23046875,100.0%
ai-sites/disco/mp3/urban_melody_night-4SeRpmCyQB,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/urban_melody_night-4SeRpmCyQB (100.0% similar),7.23046875,100.0%
ai-sites/disco/mp3/rockin_raccoon_rebellion,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/rockin_raccoon_rebellion (100.0% similar),7.109375,100.0%
ai-sites/disco/mp3/Kings and Queens of Litter,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Kings and Queens of Litter (100.0% similar),6.671875,100.0%
ai-sites/disco/mp3/Heartbeats in the Dark2,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Heartbeats in the Dark2 (100.0% similar),6.62109375,100.0%
ai-sites/disco/mp3/neon_night_melody-8anIbsyfrI,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/neon_night_melody-8anIbsyfrI (100.0% similar),6.4140625,100.0%
ai-sites/disco/mp3/neon_night_melody,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/neon_night_melody (100.0% similar),6.4140625,100.0%
ai-sites/disco/mp3/Junkyard symphony from hearts,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Junkyard symphony from hearts (100.0% similar),6.40625,100.0%
ai-sites/disco/mp3/Sammy's Serenade-og,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Sammy's Serenade-og (100.0% similar),6.3828125,100.0%
ai-sites/disco/mp3/Junkyard Kings,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Junkyard Kings (100.0% similar),6.37890625,100.0%
ai-sites/disco/mp3/Raccoon_Rock_Alley_Jam,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Raccoon_Rock_Alley_Jam (100.0% similar),6.35546875,100.0%
ai-sites/disco/mp3/Raccoon_Rockstar_Jam,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Raccoon_Rockstar_Jam (100.0% similar),6.35546875,100.0%
ai-sites/disco/mp3/Junkyard Moon Symphony4,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Junkyard Moon Symphony4 (100.0% similar),6.34375,100.0%
ai-sites/disco/mp3/Royalty of Refuse,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Royalty of Refuse (100.0% similar),6.2578125,100.0%
ai-sites/disco/mp3/Willow_whispers-folk,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Willow_whispers-folk (100.0% similar),6.19921875,100.0%
ai-sites/disco/mp3/Moonlit Reverie,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Moonlit Reverie (100.0% similar),6.1875,100.0%
ai-sites/disco/mp3/Kings and Queens of Litter (Remastered),MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Kings and Queens of Litter (Remastered) (100.0% similar),6.18359375,100.0%
ai-sites/disco/mp3/Kings and Queens of Litter (Remastered)1 (4),MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Kings and Queens of Litter (Remastered)1 (4) (100.0% similar),6.140625,100.0%
ai-sites/disco/mp3/Bite in the Night (Remastered),MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Bite in the Night (Remastered) (100.0% similar),6.13671875,100.0%
ai-sites/disco/mp3/Heartbeats in the Dark2 (Remastered),MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Heartbeats in the Dark2 (Remastered) (100.0% similar),6.125,100.0%
ai-sites/disco/mp3/JunkYard Destiny,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/JunkYard Destiny (100.0% similar),6.12109375,100.0%
ai-sites/disco/mp3/Sammy's Serenade (Remastered) LadyGroup,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Sammy's Serenade (Remastered) LadyGroup (100.0% similar),6.09765625,100.0%
ai-sites/disco/mp3/Sammy's Serenade (Remastered)2,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Sammy's Serenade (Remastered)2 (100.0% similar),6.07421875,100.0%
ai-sites/disco/mp3/Willow_whispers-v4-2-1,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Willow_whispers-v4-2-1 (100.0% similar),6.06640625,100.0%
ai-sites/disco/mp3/Love in Imperfection,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Love in Imperfection (100.0% similar),6.05078125,100.0%
ai-sites/disco/mp3/Willow_whispers(Remastered)1,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Willow_whispers(Remastered)1 (100.0% similar),6.03515625,100.0%
ai-sites/disco/mp3/Willow_whispers-v4,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Willow_whispers-v4 (100.0% similar),6.01171875,100.0%
ai-sites/disco/mp3/Concrete Jungle Rumble,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Concrete Jungle Rumble (100.0% similar),5.953125,100.0%
ai-sites/disco/mp3/Live fast Eat Trash,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Live fast Eat Trash (100.0% similar),5.9453125,100.0%
ai-sites/disco/mp3/No More Love Songs - Encore,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/No More Love Songs - Encore (100.0% similar),5.75,100.0%
ai-sites/disco/mp3/Enchanted Woods2,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Enchanted Woods2 (100.0% similar),5.72265625,100.0%
ai-sites/disco/mp3/Love in Imperfection (Remastered),MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Love in Imperfection (Remastered) (100.0% similar),5.69140625,100.0%
ai-sites/disco/mp3/Kings and Queens of Litter (Remastered)1 (2),MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Kings and Queens of Litter (Remastered)1 (2) (100.0% similar),5.54296875,100.0%
"ai-sites/disco/mp3/Love is Rubbish, and Rubbish is Love",MERGE_REMOVE,"Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Love is Rubbish, and Rubbish is Love (100.0% similar)",5.453125,100.0%
ai-sites/disco/mp3/in_This_aLLey_Where_i_HiDe,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/in_This_aLLey_Where_i_HiDe (100.0% similar),5.24609375,100.0%
ai-sites/disco/mp3/No More Love Songs No More Lies v4,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/No More Love Songs No More Lies v4 (100.0% similar),5.24609375,100.0%
ai-sites/disco/mp3/Heartbeats in the Dark,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Heartbeats in the Dark (100.0% similar),5.23828125,100.0%
ai-sites/disco/mp3/Echoes of Yesterday (Remastered),MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Echoes of Yesterday (Remastered) (100.0% similar),5.234375,100.0%
ai-sites/disco/mp3/Junkyard Symphony Scraps,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Junkyard Symphony Scraps (100.0% similar),5.21875,100.0%
ai-sites/disco/mp3/in-this-Alley,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/in-this-Alley (100.0% similar),5.1953125,100.0%
ai-sites/disco/mp3/Echoes of Moonlight-in-this-alley,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Echoes of Moonlight-in-this-alley (100.0% similar),5.1875,100.0%
ai-sites/disco/mp3/in This aLLey Where i HiDe-oG,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/in This aLLey Where i HiDe-oG (100.0% similar),5.171875,100.0%
CONTENT_ASSETS/ai-sites/ai-sites/AvaTarArTs/avatararts-hub,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/avatararts/avatararts-hub (99.8% similar),5.140625,99.8%
ai-sites/AvaTarArTs/avatararts-hub,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/avatararts/avatararts-hub (99.8% similar),5.140625,99.8%
CONTENT_ASSETS/ai-sites/AvaTarArTs/avatararts-hub,REMOVE,Duplicate of ai-sites/AvaTarArTs/avatararts-hub,5.1328125,99.8%
CONTENT_ASSETS/ai-sites/AvaTarArTs/avatararts-hub,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/avatararts/avatararts-hub (99.8% similar),5.1328125,99.8%
ai-sites/disco/mp3/Kings and Queens of Litter (Remastered)1 (3),MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Kings and Queens of Litter (Remastered)1 (3) (100.0% similar),5.02734375,100.0%
ai-sites/disco/mp3/My Junkyard Symphony,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/My Junkyard Symphony (100.0% similar),5.02734375,100.0%
ai-sites/disco/mp3/Echoes of Moonlight (Remastered)-2-in-this-alley,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Echoes of Moonlight (Remastered)-2-in-this-alley (100.0% similar),5.01171875,100.0%
ai-sites/disco/mp3/Echoes of Moonlight (Remastered)-in-this-alley,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Echoes of Moonlight (Remastered)-in-this-alley (100.0% similar),5.00390625,100.0%
ai-sites/disco/mp3/Recycled Symphony,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Recycled Symphony (100.0% similar),4.98046875,100.0%
ai-sites/disco/mp3/Heartbeats in the Dark (Remastered),MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Heartbeats in the Dark (Remastered) (100.0% similar),4.95703125,100.0%
ai-sites/disco/mp3/in This aLLey Where i HiDe (Remastered),MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/in This aLLey Where i HiDe (Remastered) (100.0% similar),4.9453125,100.0%
ai-sites/quantumforgelabs,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/quantumforgelabs (100.0% similar),4.9453125,100.0%
ai-sites/disco/mp3/Junkyard Dream Symphony5,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Junkyard Dream Symphony5 (100.0% similar),4.90625,100.0%
ai-sites/disco/mp3/Echoes of the Junkyard2,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Echoes of the Junkyard2 (100.0% similar),4.76953125,100.0%
ai-sites/disco/mp3/witched_Road,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/witched_Road (100.0% similar),4.69921875,100.0%
ai-sites/disco/mp3/Moonly Alley Serenade,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Moonly Alley Serenade (100.0% similar),4.6640625,100.0%
ai-sites/disco/mp3/in_this_alley_where_i_Hide_-_LIVE-broken,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/in_this_alley_where_i_Hide_-_LIVE-broken (100.0% similar),4.66015625,100.0%
ai-sites/disco/mp3/Sora,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Sora (100.0% similar),4.6484375,100.0%
ai-sites/disco/mp3/Recycled_Symphony2.1_(Remastered),MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Recycled_Symphony2.1_(Remastered) (100.0% similar),4.6171875,100.0%
ai-sites/disco/mp3/Howligritty Nights,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Howligritty Nights (100.0% similar),4.6171875,100.0%
ai-sites/disco/mp3/Moonlight's Promise,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Moonlight's Promise (100.0% similar),4.45703125,100.0%
ai-sites/disco/mp3/Willow_whispers-duo-v4,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Willow_whispers-duo-v4 (100.0% similar),4.4296875,100.0%
ai-sites/disco/mp3/The Alley King,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/The Alley King (100.0% similar),4.42578125,100.0%
ai-sites/disco/mp3/In_the_Junkyard_I_find,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/In_the_Junkyard_I_find (100.0% similar),4.38671875,100.0%
ai-sites/disco/mp3/Cannon Blastin,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Cannon Blastin (100.0% similar),4.3828125,100.0%
ai-sites/disco/mp3/in_this_alley_where_i_Hide_-_LIVE_-_CuT-og,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/in_this_alley_where_i_Hide_-_LIVE_-_CuT-og (100.0% similar),4.3203125,100.0%
ai-sites/disco/mp3/No more love songs,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/No more love songs (100.0% similar),4.26953125,100.0%
ai-sites/disco/mp3/The Alley King (Remastered),MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/The Alley King (Remastered) (100.0% similar),4.0703125,100.0%
ai-sites/disco/mp3/in_This_aLLey_Where_i_HiDe2_(Remastered),MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/in_This_aLLey_Where_i_HiDe2_(Remastered) (100.0% similar),4.0390625,100.0%
ai-sites/disco/mp3/No More Love Songs (Remastered) (2),MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/No More Love Songs (Remastered) (2) (100.0% similar),3.94140625,100.0%
ai-sites/disco/mp3/No More Love Songs (Remastered),MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/No More Love Songs (Remastered) (100.0% similar),3.94140625,100.0%
ai-sites/disco/mp3/No More Love Songs (Remastered)232,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/No More Love Songs (Remastered)232 (100.0% similar),3.94140625,100.0%
ai-sites/disco/mp3/No More Love Songs No More Lies v4-2,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/No More Love Songs No More Lies v4-2 (100.0% similar),3.90234375,100.0%
ai-sites/disco/mp3/in_the_Alley_where_Hope_Flies,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/in_the_Alley_where_Hope_Flies (100.0% similar),3.87109375,100.0%
ai-sites/disco/mp3/in This aLLey Where i HiDe-reflective,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/in This aLLey Where i HiDe-reflective (100.0% similar),3.80859375,100.0%
ai-sites/disco/mp3/The Sound of Ancestors,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/The Sound of Ancestors (100.0% similar),3.6953125,100.0%
ai-sites/disco/mp3/Willow_whispers-v4-crop,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Willow_whispers-v4-crop (100.0% similar),3.671875,100.0%
ai-sites/disco/mp3/Willow_whispers-feelers-chill (5),MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Willow_whispers-feelers-chill (5) (100.0% similar),3.6171875,100.0%
ai-sites/disco/mp3/Dance Like Nobody's Watching (Remastered),MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Dance Like Nobody's Watching (Remastered) (100.0% similar),3.609375,100.0%
ai-sites/disco/mp3/The Sound of Ancestors (Remastered)2,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/The Sound of Ancestors (Remastered)2 (100.0% similar),3.4453125,100.0%
ai-sites/disco/mp3/The Sound of Ancestors (Remastered),MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/The Sound of Ancestors (Remastered) (100.0% similar),3.42578125,100.0%
ai-sites/disco/mp3/Heroes Rise  - Villains Overthrow,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Heroes Rise  - Villains Overthrow (100.0% similar),3.37890625,100.0%
ai-sites/disco/mp3/Heroes Rise  - Villains Overthrow (Remastered),MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Heroes Rise  - Villains Overthrow (Remastered) (100.0% similar),3.1171875,100.0%
ai-sites/disco/mp3/Willow_whispers-feelers-chill (4),MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Willow_whispers-feelers-chill (4) (100.0% similar),3.0390625,100.0%
ai-sites/disco/mp3/Willow_whispers-feelers-chill (3),MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Willow_whispers-feelers-chill (3) (100.0% similar),2.9375,100.0%
ai-sites/disco/mp3/No More Love Songs (Remastered)-p2,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/No More Love Songs (Remastered)-p2 (100.0% similar),2.53515625,100.0%
ai-sites/disco/mp3/Moonly Alley3,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Moonly Alley3 (100.0% similar),2.34765625,100.0%
ai-sites/disco/mp3/Moonly Alley4,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Moonly Alley4 (100.0% similar),2.2734375,100.0%
ai-sites/disco/mp3/Moonly Alley2,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Moonly Alley2 (100.0% similar),2.1328125,100.0%
CONTENT_ASSETS/ai-sites/AvaTarArTs/avatararts-portfolio/.next/static/chunks,REMOVE,Duplicate of ai-sites/AvaTarArTs/avatararts-portfolio/.next/static/chunks,1.76171875,99.8%
CONTENT_ASSETS/ai-sites/ai-sites/AvaTarArTs/avatararts-portfolio/.next/static/chunks,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/avatararts/avatararts-portfolio/.next/static/chunks (99.8% similar),1.76171875,99.8%
CONTENT_ASSETS/ai-sites/AvaTarArTs/avatararts-portfolio/.next/static/chunks,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/avatararts/avatararts-portfolio/.next/static/chunks (99.8% similar),1.76171875,99.8%
ai-sites/AvaTarArTs/avatararts-portfolio/.next/static/chunks,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/avatararts/avatararts-portfolio/.next/static/chunks (99.8% similar),1.76171875,99.8%
ai-sites/AvaTarArTs/avatararts.org/.next/static/chunks,REMOVE,Duplicate of ai-sites/AvaTarArTs/avatararts-portfolio/.next/static/chunks,1.7578125,99.8%
CONTENT_ASSETS/ai-sites/AvaTarArTs/avatararts.org/.next/static/chunks,REMOVE,Duplicate of ai-sites/AvaTarArTs/avatararts-portfolio/.next/static/chunks,1.7578125,99.8%
ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/avatararts/avatararts.org/.next/static/chunks,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/avatararts/avatararts-portfolio/.next/static/chunks (99.8% similar),1.7578125,99.8%
CONTENT_ASSETS/ai-sites/ai-sites/AvaTarArTs/avatararts.org/.next/static/chunks,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/avatararts/avatararts-portfolio/.next/static/chunks (99.8% similar),1.7578125,99.8%
CONTENT_ASSETS/ai-sites/AvaTarArTs/avatararts.org/.next/static/chunks,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/avatararts/avatararts-portfolio/.next/static/chunks (99.8% similar),1.7578125,99.8%
ai-sites/AvaTarArTs/avatararts.org/.next/static/chunks,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/avatararts/avatararts-portfolio/.next/static/chunks (99.8% similar),1.7578125,99.8%
ai-sites/disco/mp3/Moonly_Alley,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Moonly_Alley (100.0% similar),1.74609375,100.0%
ai-sites/disco/mp3/No More Love Songs (Remastered)107,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/No More Love Songs (Remastered)107 (100.0% similar),1.6484375,100.0%
ai-sites/disco/mp3/Willow_whispers-feelers-chill (2),MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Willow_whispers-feelers-chill (2) (100.0% similar),1.60546875,100.0%
ai-sites/disco/mp3/No More Love Songs (Remastered)-58,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/No More Love Songs (Remastered)-58 (100.0% similar),1.4375,100.0%
ai-sites/disco/mp3/Punk_Raccoon_Rebel,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Punk_Raccoon_Rebel (100.0% similar),0.64453125,100.0%
ai-sites/disco/txt/transcript,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/txt/transcript (100.0% similar),0.3984375,100.0%
