old_path,new_path,action,category,size_mb,file_count
ai-sites/disco/mp3/Kings and Queens of Litter,,REMOVE_DUPLICATE,,6.671875,3
ai-sites/disco/mp3/Heartbeats in the Dark2,,REMOVE_DUPLICATE,,6.62109375,1
ai-sites/disco/mp3/neon_night_melody-8anIbsyfrI,,REMOVE_DUPLICATE,,6.4140625,1
ai-sites/disco/mp3/neon_night_melody,,REMOVE_DUPLICATE,,6.4140625,1
ai-sites/disco/mp3/Junkyard symphony from hearts,,REMOVE_DUPLICATE,,6.40625,1
ai-sites/disco/mp3/Sammy's Serenade-og,,REMOVE_DUPLICATE,,6.3828125,1
ai-sites/disco/mp3/Junkyard Kings,,REMOVE_DUPLICATE,,6.37890625,1
ai-sites/disco/mp3/Raccoon_Rock_Alley_Jam,,REMOVE_DUPLICATE,,6.35546875,1
ai-sites/disco/mp3/Raccoon_Rockstar_Jam,,REMOVE_DUPLICATE,,6.35546875,1
ai-sites/disco/mp3/Junkyard Moon Symphony4,,REMOVE_DUPLICATE,,6.34375,1
ai-sites/disco/mp3/Royalty of Refuse,,REMOVE_DUPLICATE,,6.2578125,3
ai-sites/disco/mp3/Willow_whispers-folk,,REMOVE_DUPLICATE,,6.19921875,1
ai-sites/disco/mp3/Moonlit Reverie,,REMOVE_DUPLICATE,,6.1875,1
ai-sites/disco/mp3/Kings and Queens of Litter (Remastered),,REMOVE_DUPLICATE,,6.18359375,1
ai-sites/disco/mp3/Kings and Queens of Litter (Remastered)1 (4),,REMOVE_DUPLICATE,,6.140625,1
ai-sites/disco/mp3/Bite in the Night (Remastered),,REMOVE_DUPLICATE,,6.13671875,1
ai-sites/disco/mp3/Heartbeats in the Dark2 (Remastered),,REMOVE_DUPLICATE,,6.125,1
ai-sites/disco/mp3/JunkYard Destiny,,REMOVE_DUPLICATE,,6.12109375,1
ai-sites/disco/mp3/Sammy's Serenade (Remastered) LadyGroup,,REMOVE_DUPLICATE,,6.09765625,1
ai-sites/disco/mp3/Sammy's Serenade (Remastered)2,,REMOVE_DUPLICATE,,6.07421875,1
ai-sites/disco/mp3/Willow_whispers-v4-2-1,,REMOVE_DUPLICATE,,6.06640625,1
ai-sites/disco/mp3/Love in Imperfection,,REMOVE_DUPLICATE,,6.05078125,1
ai-sites/disco/mp3/Willow_whispers(Remastered)1,,REMOVE_DUPLICATE,,6.03515625,1
ai-sites/disco/mp3/Willow_whispers-v4,,REMOVE_DUPLICATE,,6.01171875,1
ai-sites/disco/mp3/Concrete Jungle Rumble,,REMOVE_DUPLICATE,,5.953125,1
ai-sites/disco/mp3/Live fast Eat Trash,,REMOVE_DUPLICATE,,5.9453125,1
ai-sites/disco/mp3/No More Love Songs - Encore,,REMOVE_DUPLICATE,,5.75,1
ai-sites/disco/mp3/Enchanted Woods2,,REMOVE_DUPLICATE,,5.72265625,3
ai-sites/disco/mp3/Love in Imperfection (Remastered),,REMOVE_DUPLICATE,,5.69140625,1
ai-sites/disco/mp3/Kings and Queens of Litter (Remastered)1 (2),,REMOVE_DUPLICATE,,5.54296875,1
"ai-sites/disco/mp3/Love is Rubbish, and Rubbish is Love",,REMOVE_DUPLICATE,,5.453125,1
ai-sites/disco/mp3/in_This_aLLey_Where_i_HiDe,,REMOVE_DUPLICATE,,5.24609375,1
ai-sites/disco/mp3/No More Love Songs No More Lies v4,,REMOVE_DUPLICATE,,5.24609375,1
ai-sites/disco/mp3/Heartbeats in the Dark,,REMOVE_DUPLICATE,,5.23828125,1
ai-sites/disco/mp3/Echoes of Yesterday (Remastered),,REMOVE_DUPLICATE,,5.234375,1
ai-sites/disco/mp3/Junkyard Symphony Scraps,,REMOVE_DUPLICATE,,5.21875,1
ai-sites/disco/mp3/in-this-Alley,,REMOVE_DUPLICATE,,5.1953125,1
ai-sites/disco/mp3/Echoes of Moonlight-in-this-alley,,REMOVE_DUPLICATE,,5.1875,1
ai-sites/disco/mp3/in This aLLey Where i HiDe-oG,,REMOVE_DUPLICATE,,5.171875,1
CONTENT_ASSETS/ai-sites/ai-sites/AvaTarArTs/avatararts-hub,,REMOVE_DUPLICATE,,5.140625,0
ai-sites/AvaTarArTs/avatararts-hub,,REMOVE_DUPLICATE,,5.140625,0
CONTENT_ASSETS/ai-sites/AvaTarArTs/avatararts-hub,,REMOVE_DUPLICATE,,5.1328125,0
ai-sites/disco/mp3/Kings and Queens of Litter (Remastered)1 (3),,REMOVE_DUPLICATE,,5.02734375,1
ai-sites/disco/mp3/My Junkyard Symphony,,REMOVE_DUPLICATE,,5.02734375,1
ai-sites/disco/mp3/Echoes of Moonlight (Remastered)-2-in-this-alley,,REMOVE_DUPLICATE,,5.01171875,1
ai-sites/disco/mp3/Echoes of Moonlight (Remastered)-in-this-alley,,REMOVE_DUPLICATE,,5.00390625,1
ai-sites/disco/mp3/Recycled Symphony,,REMOVE_DUPLICATE,,4.98046875,1
ai-sites/disco/mp3/Heartbeats in the Dark (Remastered),,REMOVE_DUPLICATE,,4.95703125,1
ai-sites/disco/mp3/in This aLLey Where i HiDe (Remastered),,REMOVE_DUPLICATE,,4.9453125,1
ai-sites/quantumforgelabs,,REMOVE_DUPLICATE,,4.9453125,4
ai-sites/disco/mp3/Junkyard Dream Symphony5,,REMOVE_DUPLICATE,,4.90625,3
ai-sites/disco/mp3/Echoes of the Junkyard2,,REMOVE_DUPLICATE,,4.76953125,1
ai-sites/disco/mp3/witched_Road,,REMOVE_DUPLICATE,,4.69921875,1
ai-sites/disco/mp3/Moonly Alley Serenade,,REMOVE_DUPLICATE,,4.6640625,3
ai-sites/disco/mp3/in_this_alley_where_i_Hide_-_LIVE-broken,,REMOVE_DUPLICATE,,4.66015625,5
ai-sites/disco/mp3/Sora,,REMOVE_DUPLICATE,,4.6484375,1
ai-sites/disco/mp3/Recycled_Symphony2.1_(Remastered),,REMOVE_DUPLICATE,,4.6171875,1
ai-sites/disco/mp3/Howligritty Nights,,REMOVE_DUPLICATE,,4.6171875,1
ai-sites/disco/mp3/Moonlight's Promise,,REMOVE_DUPLICATE,,4.45703125,1
ai-sites/disco/mp3/Willow_whispers-duo-v4,,REMOVE_DUPLICATE,,4.4296875,1
ai-sites/disco/mp3/The Alley King,,REMOVE_DUPLICATE,,4.42578125,1
ai-sites/disco/mp3/In_the_Junkyard_I_find,,REMOVE_DUPLICATE,,4.38671875,1
ai-sites/disco/mp3/Cannon Blastin,,REMOVE_DUPLICATE,,4.3828125,1
ai-sites/disco/mp3/in_this_alley_where_i_Hide_-_LIVE_-_CuT-og,,REMOVE_DUPLICATE,,4.3203125,1
ai-sites/disco/mp3/No more love songs,,REMOVE_DUPLICATE,,4.26953125,4
ai-sites/disco/mp3/The Alley King (Remastered),,REMOVE_DUPLICATE,,4.0703125,1
ai-sites/disco/mp3/in_This_aLLey_Where_i_HiDe2_(Remastered),,REMOVE_DUPLICATE,,4.0390625,1
ai-sites/disco/mp3/No More Love Songs (Remastered) (2),,REMOVE_DUPLICATE,,3.94140625,1
ai-sites/disco/mp3/No More Love Songs (Remastered),,REMOVE_DUPLICATE,,3.94140625,1
ai-sites/disco/mp3/No More Love Songs (Remastered)232,,REMOVE_DUPLICATE,,3.94140625,1
ai-sites/disco/mp3/No More Love Songs No More Lies v4-2,,REMOVE_DUPLICATE,,3.90234375,1
ai-sites/disco/mp3/in_the_Alley_where_Hope_Flies,,REMOVE_DUPLICATE,,3.87109375,1
ai-sites/disco/mp3/in This aLLey Where i HiDe-reflective,,REMOVE_DUPLICATE,,3.80859375,1
ai-sites/disco/mp3/The Sound of Ancestors,,REMOVE_DUPLICATE,,3.6953125,4
ai-sites/disco/mp3/Willow_whispers-v4-crop,,REMOVE_DUPLICATE,,3.671875,1
ai-sites/disco/mp3/Willow_whispers-feelers-chill (5),,REMOVE_DUPLICATE,,3.6171875,1
ai-sites/disco/mp3/Dance Like Nobody's Watching (Remastered),,REMOVE_DUPLICATE,,3.609375,1
ai-sites/disco/mp3/The Sound of Ancestors (Remastered)2,,REMOVE_DUPLICATE,,3.4453125,1
ai-sites/disco/mp3/The Sound of Ancestors (Remastered),,REMOVE_DUPLICATE,,3.42578125,1
ai-sites/disco/mp3/Heroes Rise  - Villains Overthrow,,REMOVE_DUPLICATE,,3.37890625,1
ai-sites/disco/mp3/Heroes Rise  - Villains Overthrow (Remastered),,REMOVE_DUPLICATE,,3.1171875,1
ai-sites/disco/mp3/Willow_whispers-feelers-chill (4),,REMOVE_DUPLICATE,,3.0390625,1
ai-sites/disco/mp3/Willow_whispers-feelers-chill (3),,REMOVE_DUPLICATE,,2.9375,1
ai-sites/disco/mp3/No More Love Songs (Remastered)-p2,,REMOVE_DUPLICATE,,2.53515625,1
ai-sites/disco/mp3/Moonly Alley3,,REMOVE_DUPLICATE,,2.34765625,1
ai-sites/disco/mp3/Moonly Alley4,,REMOVE_DUPLICATE,,2.2734375,1
ai-sites/disco/mp3/Moonly Alley2,,REMOVE_DUPLICATE,,2.1328125,1
CONTENT_ASSETS/ai-sites/ai-sites/AvaTarArTs/avatararts-portfolio/.next/static/chunks,,REMOVE_DUPLICATE,,1.76171875,0
CONTENT_ASSETS/ai-sites/AvaTarArTs/avatararts-portfolio/.next/static/chunks,,REMOVE_DUPLICATE,,1.76171875,0
ai-sites/AvaTarArTs/avatararts-portfolio/.next/static/chunks,,REMOVE_DUPLICATE,,1.76171875,0
ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/avatararts/avatararts.org/.next/static/chunks,,REMOVE_DUPLICATE,,1.7578125,0
CONTENT_ASSETS/ai-sites/ai-sites/AvaTarArTs/avatararts.org/.next/static/chunks,,REMOVE_DUPLICATE,,1.7578125,0
CONTENT_ASSETS/ai-sites/AvaTarArTs/avatararts.org/.next/static/chunks,,REMOVE_DUPLICATE,,1.7578125,0
ai-sites/AvaTarArTs/avatararts.org/.next/static/chunks,,REMOVE_DUPLICATE,,1.7578125,0
ai-sites/disco/mp3/Moonly_Alley,,REMOVE_DUPLICATE,,1.74609375,5
ai-sites/disco/mp3/No More Love Songs (Remastered)107,,REMOVE_DUPLICATE,,1.6484375,1
ai-sites/disco/mp3/Willow_whispers-feelers-chill (2),,REMOVE_DUPLICATE,,1.60546875,1
ai-sites/disco/mp3/No More Love Songs (Remastered)-58,,REMOVE_DUPLICATE,,1.4375,1
ai-sites/disco/mp3/Punk_Raccoon_Rebel,,REMOVE_DUPLICATE,,0.64453125,1
ai-sites/disco/txt/transcript,,REMOVE_DUPLICATE,,0.3984375,94
CLIENT_PROJECTS/josephrosadomd/category/ketamine/page/4,,REMOVE_DUPLICATE,,0.390625,1
CLIENT_PROJECTS/josephrosadomd/blog/4,,REMOVE_DUPLICATE,,0.390625,1
CLIENT_PROJECTS/josephrosadomd/blog/3,,REMOVE_DUPLICATE,,0.390625,1
CLIENT_PROJECTS/josephrosadomd/blog/2,,REMOVE_DUPLICATE,,0.390625,1
CLIENT_PROJECTS/josephrosadomd/category/anxiety-depression/page/2,,REMOVE_DUPLICATE,,0.38671875,1
CLIENT_PROJECTS/josephrosadomd/category/health-tips/page/2,,REMOVE_DUPLICATE,,0.37890625,1
CLIENT_PROJECTS/josephrosadomd/category/medical-marijuana/page/2,,REMOVE_DUPLICATE,,0.37890625,1
DEVELOPMENT/dna-cold-case-ai/DNA_COLD_CASE_AI,,REMOVE_DUPLICATE,,0.3671875,17
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/community-platforms,,REMOVE_DUPLICATE,,0.11328125,3
ai-sites/retention-products-suite/community-platforms,,REMOVE_DUPLICATE,,0.11328125,3
ai-sites/n8n/n8n_workflows,,REMOVE_DUPLICATE,,0.1015625,9
ai-sites/content-management/retention-hub,,REMOVE_DUPLICATE,,0.09375,3
BUSINESS/passive-income/passive-income-empire/ai-recipe-generator,,REMOVE_DUPLICATE,,0.08984375,7
BUSINESS/projects/retention-suite-complete/community-platforms,,REMOVE_DUPLICATE,,0.08984375,2
CONTENT_ASSETS/ai-sites/ai-sites/passive-income-empire/ai-recipe-generator,,REMOVE_DUPLICATE,,0.08984375,7
ai-sites/passive-income-empire/ai-recipe-generator,,REMOVE_DUPLICATE,,0.08984375,7
BUSINESS/passive-income/passive-income-empire/ai-receptionist,,REMOVE_DUPLICATE,,0.07421875,6
CONTENT_ASSETS/ai-sites/ai-sites/passive-income-empire/ai-receptionist,,REMOVE_DUPLICATE,,0.07421875,6
ai-sites/passive-income-empire/ai-receptionist,,REMOVE_DUPLICATE,,0.07421875,6
ai-sites/environments,,REMOVE_DUPLICATE,,0.0625,11
BUSINESS/passive-income/passive-income-empire/databases,,REMOVE_DUPLICATE,,0.05859375,2
CONTENT_ASSETS/ai-sites/ai-sites/passive-income-empire/databases,,REMOVE_DUPLICATE,,0.05859375,2
ai-sites/passive-income-empire/databases,,REMOVE_DUPLICATE,,0.05859375,2
ai-sites/10k-web,,REMOVE_DUPLICATE,,0.046875,1
ai-sites/seo-optimized-content,,REMOVE_DUPLICATE,,0.04296875,2
ai-sites/automation/api-powered,,REMOVE_DUPLICATE,,0.04296875,6
ai-sites/ORGANIZED/css_files,,REMOVE_DUPLICATE,,0.03515625,6
ai-sites/Unified Creative Automation Workspace - Professional Analysis,,REMOVE_DUPLICATE,,0.03125,4
ai-sites/content-management/retention-hub/digital-dive,,REMOVE_DUPLICATE,,0.02734375,0
ai-sites/automation/cross-pollination,,REMOVE_DUPLICATE,,0.02734375,3
ai-sites/n8n/n8n-macos-docker-starter/mac,,REMOVE_DUPLICATE,,0.0234375,6
ai-sites/n8n/n8n-docker-starter,,REMOVE_DUPLICATE,,0.0234375,6
ai-sites/gptjunkie_quantumforgelabs_landings,,REMOVE_DUPLICATE,,0.0234375,3
ai-sites/Song Lyrics Visual Storytelling Framework,,REMOVE_DUPLICATE,,0.0234375,5
ai-sites/setup-script,,REMOVE_DUPLICATE,,0.0234375,2
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/website_templates_business_011,,REMOVE_DUPLICATE,,0.01953125,5
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/website_templates_portfolio_008,,REMOVE_DUPLICATE,,0.01953125,5
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/website_templates_landing_010,,REMOVE_DUPLICATE,,0.01953125,5
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/print_templates_flyers_002,,REMOVE_DUPLICATE,,0.01953125,5
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/website_templates_blog_002,,REMOVE_DUPLICATE,,0.01953125,5
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/website_templates_business_014,,REMOVE_DUPLICATE,,0.01953125,5
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/website_templates_business_001,,REMOVE_DUPLICATE,,0.01953125,5
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/website_templates_blog_006,,REMOVE_DUPLICATE,,0.01953125,5
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/print_templates_business_cards_001,,REMOVE_DUPLICATE,,0.01953125,5
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/email_templates_newsletter_005,,REMOVE_DUPLICATE,,0.01953125,5
BUSINESS/agency/creative-ai-agency/core/client_management,,REMOVE_DUPLICATE,,0.01953125,1
CONTENT_ASSETS/ai-sites/ai-sites/creative-ai-agency/core/client_management,,REMOVE_DUPLICATE,,0.01953125,1
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_business_011,,REMOVE_DUPLICATE,,0.01953125,5
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_portfolio_008,,REMOVE_DUPLICATE,,0.01953125,5
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_landing_010,,REMOVE_DUPLICATE,,0.01953125,5
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/print_templates_flyers_002,,REMOVE_DUPLICATE,,0.01953125,5
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/social_media_templates_linkedin_001,,REMOVE_DUPLICATE,,0.01953125,5
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_blog_002,,REMOVE_DUPLICATE,,0.01953125,5
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_business_003,,REMOVE_DUPLICATE,,0.01953125,5
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_blog_004,,REMOVE_DUPLICATE,,0.01953125,5
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/email_templates_promotional_003,,REMOVE_DUPLICATE,,0.01953125,5
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_business_014,,REMOVE_DUPLICATE,,0.01953125,5
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_portfolio_005,,REMOVE_DUPLICATE,,0.01953125,5
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_business_001,,REMOVE_DUPLICATE,,0.01953125,5
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_blog_006,,REMOVE_DUPLICATE,,0.01953125,5
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/print_templates_business_cards_001,,REMOVE_DUPLICATE,,0.01953125,5
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/email_templates_newsletter_005,,REMOVE_DUPLICATE,,0.01953125,5
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/email_templates_followup_002,,REMOVE_DUPLICATE,,0.01953125,5
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/email_templates_welcome_001,,REMOVE_DUPLICATE,,0.01953125,5
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/print_templates_posters_003,,REMOVE_DUPLICATE,,0.01953125,5
CONTENT_ASSETS/ai-sites/ai-sites/creative-ai-education/core/course_generator,,REMOVE_DUPLICATE,,0.01953125,1
ai-sites/disco/mp3/Willow_whispers-322,,REMOVE_DUPLICATE,,0.01953125,5
ai-sites/creative-ai-agency/core/client_management,,REMOVE_DUPLICATE,,0.01953125,1
ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_business_011,,REMOVE_DUPLICATE,,0.01953125,5
ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_portfolio_008,,REMOVE_DUPLICATE,,0.01953125,5
ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_landing_010,,REMOVE_DUPLICATE,,0.01953125,5
ai-sites/retention-products-suite/templates-marketplace/generated_templates/print_templates_flyers_002,,REMOVE_DUPLICATE,,0.01953125,5
ai-sites/retention-products-suite/templates-marketplace/generated_templates/social_media_templates_linkedin_001,,REMOVE_DUPLICATE,,0.01953125,5
ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_blog_002,,REMOVE_DUPLICATE,,0.01953125,5
ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_business_003,,REMOVE_DUPLICATE,,0.01953125,5
ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_blog_004,,REMOVE_DUPLICATE,,0.01953125,5
ai-sites/retention-products-suite/templates-marketplace/generated_templates/email_templates_promotional_003,,REMOVE_DUPLICATE,,0.01953125,5
ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_business_014,,REMOVE_DUPLICATE,,0.01953125,5
ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_portfolio_005,,REMOVE_DUPLICATE,,0.01953125,5
ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_business_001,,REMOVE_DUPLICATE,,0.01953125,5
ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_blog_006,,REMOVE_DUPLICATE,,0.01953125,5
ai-sites/retention-products-suite/templates-marketplace/generated_templates/print_templates_business_cards_001,,REMOVE_DUPLICATE,,0.01953125,5
ai-sites/retention-products-suite/templates-marketplace/generated_templates/email_templates_newsletter_005,,REMOVE_DUPLICATE,,0.01953125,5
ai-sites/retention-products-suite/templates-marketplace/generated_templates/email_templates_followup_002,,REMOVE_DUPLICATE,,0.01953125,5
ai-sites/retention-products-suite/templates-marketplace/generated_templates/email_templates_welcome_001,,REMOVE_DUPLICATE,,0.01953125,5
ai-sites/retention-products-suite/templates-marketplace/generated_templates/print_templates_posters_003,,REMOVE_DUPLICATE,,0.01953125,5
ai-sites/creative-ai-education/core/course_generator,,REMOVE_DUPLICATE,,0.01953125,1
BUSINESS/passive-income/passive-income-empire/marketing/onpage,,REMOVE_DUPLICATE,,0.015625,4
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/social_media_templates_linkedin_001,,REMOVE_DUPLICATE,,0.015625,4
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/website_templates_business_003,,REMOVE_DUPLICATE,,0.015625,4
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/website_templates_blog_004,,REMOVE_DUPLICATE,,0.015625,4
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/email_templates_promotional_003,,REMOVE_DUPLICATE,,0.015625,4
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/website_templates_portfolio_005,,REMOVE_DUPLICATE,,0.015625,4
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/email_templates_followup_002,,REMOVE_DUPLICATE,,0.015625,4
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/email_templates_welcome_001,,REMOVE_DUPLICATE,,0.015625,4
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/print_templates_posters_003,,REMOVE_DUPLICATE,,0.015625,4
BUSINESS/marketplace/creative-ai-marketplace/core/nft_generator,,REMOVE_DUPLICATE,,0.015625,1
CONTENT_ASSETS/ai-sites/ai-sites/creative-ai-marketplace/core/nft_generator,,REMOVE_DUPLICATE,,0.015625,1
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/mobile-apps/creative_ai_mobile_studio,,REMOVE_DUPLICATE,,0.015625,1
CONTENT_ASSETS/ai-sites/ai-sites/passive-income-empire/marketing/onpage,,REMOVE_DUPLICATE,,0.015625,4
CONTENT_ASSETS/ai-sites/ai-sites/marketing/onpage,,REMOVE_DUPLICATE,,0.015625,4
ai-sites/creative-ai-marketplace/core/nft_generator,,REMOVE_DUPLICATE,,0.015625,1
ai-sites/disco/mp3/NoteGPT_AI_Podcast_1748818760741,,REMOVE_DUPLICATE,,0.015625,2
ai-sites/disco/mp3/html-grid,,REMOVE_DUPLICATE,,0.015625,3
ai-sites/disco/mp3/NoteGPT_AI_Podcast_1748823388204,,REMOVE_DUPLICATE,,0.015625,2
ai-sites/disco/mp3/theVoidAsPrimoridslSource-Podcast,,REMOVE_DUPLICATE,,0.015625,2
ai-sites/retention-products-suite/mobile-apps/creative_ai_mobile_studio,,REMOVE_DUPLICATE,,0.015625,1
ai-sites/steven-chaplinski-website/content/resources/CONTENT_AWARE_CHAT_ANALYSIS/01_Projects/!_us__bi__e_v pytho_3__________AvaTa_A_Ts P_oject ,,REMOVE_DUPLICATE,,0.015625,2
"ai-sites/steven-chaplinski-website/content/resources/CONTENT_AWARE_CHAT_ANALYSIS/01_Projects/ simila_ comma_ds fo_ 02_Audio, 03_Images, 04_D",,REMOVE_DUPLICATE,,0.015625,2
"ai-sites/steven-chaplinski-website/content/resources/CONTENT_AWARE_CHAT_ANALYSIS/01_Projects/SEO optimizatio_ a_d ma_keti_g st_ategies__,__    ",,REMOVE_DUPLICATE,,0.015625,2
ai-sites/ai-content-studio/core/ai_integrations,,REMOVE_DUPLICATE,,0.015625,1
ai-sites/passive-income-empire/marketing/onpage,,REMOVE_DUPLICATE,,0.015625,4
ai-sites/marketing/onpage,,REMOVE_DUPLICATE,,0.015625,4
ai-sites/content-management/retention-hub/publish,,REMOVE_DUPLICATE,,0.015625,4
ai-sites/automation/quick-wins,,REMOVE_DUPLICATE,,0.015625,4
ARCHIVES_BACKUPS/archive/system/advanced-systems/content_intelligence/utils,,REMOVE_DUPLICATE,,0.01171875,1
BUSINESS/projects/marketplace/products/hookmark-pro/utils,,REMOVE_DUPLICATE,,0.01171875,3
CONTENT_ASSETS/ai-sites/ai-sites/heavenlyHands copy/cleanconnect-leads,,REMOVE_DUPLICATE,,0.01171875,1
CONTENT_ASSETS/ai-sites/ai-sites/heavenlyHands/cleanconnect-leads,,REMOVE_DUPLICATE,,0.01171875,1
ai-sites/disco/mp3/NoteGPT_AI_Podcast_1748819998017,,REMOVE_DUPLICATE,,0.01171875,2
ai-sites/disco/mp3/Beautiful_Mess_v4,,REMOVE_DUPLICATE,,0.01171875,3
ai-sites/heavenlyHands copy/cleanconnect-leads,,REMOVE_DUPLICATE,,0.01171875,1
ai-sites/heavenlyHands/cleanconnect-leads,,REMOVE_DUPLICATE,,0.01171875,1
ai-sites/content-management/retention-hub/recipes,,REMOVE_DUPLICATE,,0.01171875,1
ai-sites/content-management/retention-hub/exporter,,REMOVE_DUPLICATE,,0.01171875,1
ai-sites/automation/performance,,REMOVE_DUPLICATE,,0.01171875,1
