path,type,name,size_bytes,modified_date,description
/Volumes/2T-Xx/,file,hello_world.py,,,"Simple Python script"
/Volumes/2T-Xx/,file,image_data-05-30-22-21.csv,,,"Image metadata"
/Volumes/2T-Xx/,file,image_data.txt,,,"Image data text format"
/Volumes/2T-Xx/,file,images-2025-12-03.csv,,,"Image data CSV"
/Volumes/2T-Xx/,file,img.txt,,,"Image data text file"
/Volumes/2T-Xx/,file,img2.html,,,"HTML file"
/Volumes/2T-Xx/,file,QWEN.md,,,"Current index file"
/Volumes/2T-Xx/,file,raycast-extension.json,,,"Raycast extension configuration"
/Volumes/2T-Xx/,file,README.md,,,"Workspace overview"
/Volumes/2T-Xx/,file,requirements.txt,,,"Python dependencies"
/Volumes/2T-Xx/,file,sort-iterm.txt,,,"iTerm sorting configuration"
/Volumes/2T-Xx/,file,sort-while-move.py,,,"Image organization by EXIF date"
/Volumes/2T-Xx/,file,zshrc_cleaned,,,"Cleaned shell configuration"
/Volumes/2T-Xx/,file,zshrc_minimal,,,"Minimal shell configuration"
