path,name,type,location,size_mb
/Users/steven/Music/nocTurneMeLoDieS/suno-analytics-seo/suno-scraper-typescript,suno-scraper-typescript,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/suno-analytics-seo/suno-api,suno-api,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/suno-analytics-seo/suno-analytics-jupyter,suno-analytics-jupyter,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/suno-analytics-seo/suno-to-google-sheets,suno-to-google-sheets,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Heads_and_Hearts242,Heads_and_Hearts242,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/RELEASES/Best_of_AvaTar_ArTs_Vol1,Best_of_AvaTar_ArTs_Vol1,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/RELEASES/Best_of_AvaTar_ArTs_Vol1,Best_of_AvaTar_ArTs_Vol1,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/RELEASES/Rebel_Hearts,Rebel_Hearts,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/RELEASES/Best_of_AvaTar_ArTs_Vol2,Best_of_AvaTar_ArTs_Vol2,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/RELEASES/Best_of_AvaTar_ArTs_Vol2,Best_of_AvaTar_ArTs_Vol2,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Blues_in_the_Alley/Sammy_Midnight_Reckoning248_Suno_Remix_Alt248,Sammy_Midnight_Reckoning248_Suno_Remix_Alt248,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Junkyard_Symphony/Junkyard_symphony_from_hearts0354,Junkyard_symphony_from_hearts0354,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Junkyard_Symphony/Junkyard_symphony_from_hearts,Junkyard_symphony_from_hearts,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Junkyard_Symphony/Junkyard_symphony_from_hearts/Junkyard_symphony_from_hearts354,Junkyard_symphony_from_hearts354,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Junkyard_Symphony/Junkyard_symphony_from_hearts/AUDIO_Junkyard_symphony_from_hearts354,AUDIO_Junkyard_symphony_from_hearts354,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/MoonLightAlley/MoonlyAlley_240_Suno_Remix0240,MoonlyAlley_240_Suno_Remix0240,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Heavenly_Hands/HeavenlyHands_jingle125,HeavenlyHands_jingle125,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Heavenly_Hands/HeavenlyHands_jingle44_2044,HeavenlyHands_jingle44_2044,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Heavenly_Hands/HeavenlyHands_jingle44_3044,HeavenlyHands_jingle44_3044,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Heavenly_Hands/HeavenlyHands_jingle44045,HeavenlyHands_jingle44045,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Heavenly_Hands/HeavenlyHands_jingle151,HeavenlyHands_jingle151,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Heavenly_Hands/HeavenlyHands_jingle21021,HeavenlyHands_jingle21021,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/Discography/Heavenly_Hands/HeavenlyHands_jingle52052,HeavenlyHands_jingle52052,directory,Music,0
/Users/steven/Music/nocTurneMeLoDieS/suno/suno-extracts,suno-extracts,directory,Music,0
