"Folder Name","Folder Size","Folder Path","File name","Download Link","File Size","Created At"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1-Ilsfh2gM-YLNusEcxZguPgv7qCiQXyrfMsQYbpzfuk/export?format=pdf","6.71 KB","May 5, 2025 at 2:31:24 PM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1eTLSN9lcBgURfC3Va-1icl6vOoSoEnUhoCWrD-oxj5E/export?format=pdf","6.18 KB","May 5, 2025 at 4:40:58 AM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1jcNpKdLZX_l7R0LB2LfTPD4GPD1YAvPvh2Fqe5x8EI4/export?format=pdf","75.28 KB","May 1, 2025 at 5:30:57 PM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1pdo4Ds37idBp-otBte9nt9VzCta-MZ-Oi-dHVmJ17Q8/export?format=pdf","76.07 KB","April 29, 2025 at 7:31:53 AM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1tvjwIQC5dPHAx_4V88qqMDUx8d8EnjGSjRa5X5Xtwv4/export?format=pdf","414.92 KB","April 5, 2025 at 8:01:29 AM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1odm-T8r2qLkmQ4Ywx722GzVcvZJBUjhaWGlHx0sh46c/export?format=pdf","414.92 KB","April 5, 2025 at 7:36:06 AM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1fBtgE3K5902fnlxCCgINeCHHQKED40YitYTm9TzKxXg/export?format=pdf","38.68 KB","March 28, 2025 at 4:17:36 PM"
"My Drive","24.57 MB","My Drive","dataset_suno-ai-scraper_2025-03-08_21-09-00-670.csv","https://drive.google.com/uc?id=1iulAbZ637IqvQNrd1BiwLpZSnk-LFtmz&export=download","50.41 KB","March 8, 2025 at 10:44:06 PM"
"My Drive","24.57 MB","My Drive","dataset_suno-ai-scraper_2025-03-08_05-48-24-634.csv","https://drive.google.com/uc?id=14PLAH2qlcdwWURvQ1ltdb1WOhEMEGzGx&export=download","34.43 KB","March 8, 2025 at 10:51:37 PM"
"My Drive","24.57 MB","My Drive","combined_output.csv","https://drive.google.com/uc?id=1aHZhO67OtYI9QhrvSDmU6bfNAu4PXLZE&export=download","610.52 KB","March 5, 2025 at 9:07:42 PM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1QavFC_MQ09yQug5FYZymNRiS8GcrBQbH7rH1eN_HZPA/export?format=pdf","1 KB","March 3, 2025 at 2:17:48 AM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1VywdAhcWYSwY8G0qoyuT2Mo3xCHpj8DbWf4F2oXXEUI/export?format=pdf","10.26 KB","March 3, 2025 at 1:53:18 AM"
"My Drive","24.57 MB","My Drive","oldMaiL","https://drive.google.com/uc?id=1l1lGTG1k71y-ErF4SMJazK-AGwTybfLbVe2pmSE7ZswcJEEngSybwzUs&export=download","0 Bytes","March 2, 2025 at 1:33:52 PM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1XNwNlWsUTsjS_JMsqfDuobNhnyACT93S6WRRq92C78g/export?format=pdf","1 KB","January 31, 2025 at 12:36:34 PM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1fqNVxaB82XAl4O_R9IFV-uYV-18cEgrMGGHI3zM7ztE/export?format=pdf","54.34 KB","January 30, 2025 at 3:53:19 PM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1Bvimb-7ixYNW1hpkX1R1RPYYsAqHwwjq1bsjF9bGHdc/export?format=pdf","10.27 KB","January 30, 2025 at 2:36:16 AM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1V54cuEYAT6YhHisL9GqvcCuBwAlyNu6SqujIKMg40AQ/export?format=pdf","3.01 KB","January 29, 2025 at 6:10:45 PM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1Ca7X8gme06CBu0k0cIn_hDZAhetAI9ELHfjcT6w7Cl8/export?format=pdf","19.91 KB","January 9, 2025 at 1:43:29 PM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1Uu8Zm0u1xk_gOS5NEOi3QRjupT7lIuHZwhaQRcTYsvQ/export?format=pdf","4.61 KB","January 7, 2025 at 10:52:47 AM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1_7ik_3yf9i_h5jqZZTy4R9NSuv1AI2AnuM9-6f-ybtI/export?format=pdf","152.5 KB","January 7, 2025 at 8:12:39 AM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1D1_WaCvf4G-F6XSijTuTm-qtFNBlZlom7sd58ZkYpFM/export?format=pdf","8.34 KB","January 6, 2025 at 11:13:53 PM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1GNFXEIVdiViqcLxeGPDx39b0dIkemTW9B4sloI0VgPQ/export?format=pdf","74.98 KB","January 3, 2025 at 4:02:03 AM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1QSPamMoa74rOQOhUHCtYEBga2uYh2SjXeuDOQvxQdKU/export?format=pdf","3.89 KB","January 3, 2025 at 1:59:55 AM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1EIy9agebwz0bjnILlCxZH8ehtJvp73wGWgpdVb77IAc/export?format=pdf","4.72 KB","December 31, 2024 at 10:24:16 PM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1sMJpr2jpUgr_cw1eWLSPunD1dSmArAxqp3VvmI7LTPM/export?format=pdf","1.99 KB","December 31, 2024 at 7:48:51 PM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1kbjKtPZGxD3o6xDTUwLwefauSgxfz_yVpODg61yEfUY/export?format=pdf","1 KB","December 31, 2024 at 8:21:28 PM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1vQsD102qBz6qmi7MVHFO2_zgMFUaVeOCuCckM0POgzY/export?format=pdf","32.6 KB","December 11, 2024 at 11:13:57 PM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/18ZVTxM6VE_YVBZeP2HiuXwPKFj6sF-OQGWTVhhQQGsA/export?format=pdf","17.37 KB","December 11, 2024 at 7:27:58 PM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/14UxpCciqO_pYRQkYJAdH6ThSxl4TCP7wFwMybc3MJWU/export?format=pdf","237.67 KB","December 11, 2024 at 9:42:33 AM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1MfvbdrJp6EZisZRL0k0O6JAnea40QaVtyD3850OMr6A/export?format=pdf","390.93 KB","December 11, 2024 at 6:34:55 AM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1YPA8xj0M3KI7by4iz26NqH_OArRa8GyV7pHuNWKHAyc/export?format=pdf","62.46 KB","December 10, 2024 at 10:37:29 AM"
"My Drive","24.57 MB","My Drive","extracted_song_details.csv","https://drive.google.com/uc?id=1UdJXw6EiLovgrdqWKYeqdn7dpA3bYqHJ&export=download","25.25 KB","December 10, 2024 at 2:36:25 AM"
"My Drive","24.57 MB","My Drive","2025-data.xlsx","https://drive.google.com/uc?id=1EsB4dKPtDDYmGkiDaIYnF38W0vQ8YbT3&export=download","69.92 KB","December 9, 2024 at 9:41:56 PM"
"My Drive","24.57 MB","My Drive","2025-data.xlsx","https://drive.google.com/uc?id=1EIIB9Rgfz6cbp9iNyrFFxK7gpI-3pwQO&export=download","69.92 KB","December 9, 2024 at 9:36:28 PM"
"My Drive","24.57 MB","My Drive","Extracted_Song_Details.csv","https://drive.google.com/uc?id=1WQ5IYYuaXxVPA03CTLt8OvD6MIhpQLhz&export=download","3.01 KB","December 9, 2024 at 5:49:35 PM"
"My Drive","24.57 MB","My Drive","2025-data","https://docs.google.com/spreadsheets/d/18qg8NTTowoVQq_IknRnOh67Ge9uh1VpAa4MsNH1ec7o/export?format=pdf","57.96 KB","December 9, 2024 at 4:43:37 PM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1fs7tnaJAA_azrdgCTHf1l6Eh_ednZsyf3meejidLXeg/export?format=pdf","24.97 KB","December 5, 2024 at 6:34:45 PM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1sP8J3_OZeUuePjWM773H4zgF9jrSP3o0K-n84D2I8U8/export?format=pdf","436.94 KB","December 5, 2024 at 12:00:42 AM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1LJ7QkI_V8O06zj0r5zaOHFA14-MMDLIpoHco7_2sGAE/export?format=pdf","4.99 KB","November 10, 2024 at 4:03:00 PM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1umVcatoBuFYkwXJsfOA_3igZp3H3Cf7Ph-J608zMUAg/export?format=pdf","30.37 KB","October 18, 2024 at 2:32:50 AM"
"My Drive","24.57 MB","My Drive","mydesigns-export.CSV","https://drive.google.com/uc?id=18G0MPsY6yXhz10jG88iO738OVFXRO-h9&export=download","79.87 KB","November 4, 2024 at 12:01:11 PM"
"My Drive","24.57 MB","My Drive","mydesigns-export (1).CSV","https://drive.google.com/uc?id=1oVJHMbEuXniDwRYVkGiIe6eVPorxxQNL&export=download","106.38 KB","October 18, 2024 at 3:38:10 AM"
"My Drive","24.57 MB","My Drive","mydesigns-export.CSV","https://drive.google.com/uc?id=1QZAGZ8dMwTUVPx6qfQAjE052gBm7wM_i&export=download","50.99 KB","October 18, 2024 at 2:33:06 AM"
"My Drive","24.57 MB","My Drive","Discography-Genre.csv","https://drive.google.com/uc?id=1sSeyMKfDqrAbFLh23ieP6LeGxfBiq7cl&export=download","21.76 KB","November 7, 2024 at 10:25:25 AM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1Jce1AhrguBgYsTzt920_3AAl1g632RDzKNcC5JD0Xog/export?format=pdf","2.2 KB","October 11, 2024 at 11:16:44 PM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1aFLXNMp4thq_lResjPXnY33oxz7YK-c1Vc3JugwpnvE/export?format=pdf","1 KB","October 9, 2024 at 9:12:57 PM"
"My Drive","24.57 MB","My Drive","Untitled spreadsheet","https://docs.google.com/spreadsheets/d/1hme_qM6Qh-nqN1Mz2J6YBUsulK8WcotY-BKhTCxEkuA/export?format=pdf","1.96 KB","October 9, 2024 at 1:19:15 AM"
"My Drive","24.57 MB","My Drive","TrashCaTs-and BeYond","https://drive.google.com/uc?id=1WA6vWk70Ety_JAjXMUWLW6RCVBOF2hgm&export=download","0 Bytes","October 7, 2024 at 2:09:43 AM"
"My Drive","24.57 MB","My Drive","glass wrap 3000","https://drive.google.com/uc?id=1GTqDEt7VfiVaoYWUH2idVi38KUj2QUrX&export=download","0 Bytes","May 13, 2024 at 5:16:47 PM"
"My Drive","24.57 MB","My Drive","This year we can get three glorious boxes and a whole bunch of purple boxes The boxes are divided into three categories – Zone Dungeon and Imperial City boxes With each variant the first box will be gold and the subsequent – purple Zone boxes are found by completing Daily Quests in event zones Killing Delphar and World Bosses Public Dungeon Bosses Random Enemies Treasure Chests Safe Boxes Resource Notes Thieves' Troves and Pickpocketing NPCs Dungeon boxes come from the final boss of Imperial City Prison White Gold Tower and Maelstrom Arena","https://docs.google.com/document/d/1PNNg-WgQRC0TvCWd0zWUwFPNnx-MDoGiECraSR_m0d0/export?format=pdf","2.4 KB","January 19, 2024 at 4:56:33 AM"
"My Drive","24.57 MB","My Drive","Seamless colorful 3D pattern of elegant roses, repeating textures, glamorous, elegant shiny, quilling art style, 8k, 3D art style, cute and quirky, digital print, soft lighting, highly detailed clean, 3D paper quilling art style, professional photography, joyful and overflowing design, focused on the character, isometric style, colorful, realistic floral look, vibrant hues --tile --v5","https://docs.google.com/document/d/1G3lOZxBR85XVOFy0k8aiJd4ir7OHxmlaY9qmAfWUphc/export?format=pdf","9.39 KB","September 18, 2023 at 10:32:11 PM"
"Google AI Studio","6.91 MB","My Drive > Google AI Studio","create
","https://drive.google.com/uc?id=1TtTR77aDcYPcFLV_G40qncFLS5TLml-X&export=download","6.91 MB","December 1, 2025 at 2:36:31 PM"
"MyDesign-Exports","0 Bytes","My Drive > MyDesign-Exports","Tumbler Mockups","https://drive.google.com/uc?id=1g7hrNtnKRtPfgmMk_oVOsUEv5Be7jmfu&export=download","0 Bytes","April 20, 2024 at 11:55:53 PM"
"GpT","119.24 KB","My Drive > Noteshelf3 Backup > GpT","Quick Note.pdf","https://drive.google.com/uc?id=1VCOh1GkIlfLzmK5cZ8Bkly83SCy90MRe&export=download","21.71 KB","September 12, 2025 at 9:14:11 PM"
"GpT","119.24 KB","My Drive > Noteshelf3 Backup > GpT","Quick Note.noteshelf","https://drive.google.com/uc?id=1C5Tam25QazTgTi5guOWELWENkLd8Fn9u&export=download","97.53 KB","September 12, 2025 at 9:14:08 PM"
"suNo","11.49 MB","My Drive > Noteshelf3 Backup > suNo","song_Concepts_and_promPts.pdf","https://drive.google.com/uc?id=1f5BkFKdtmdJbMJsHlNkaR8V_DGwJaPmM&export=download","5.27 MB","September 12, 2025 at 9:14:54 PM"
"suNo","11.49 MB","My Drive > Noteshelf3 Backup > suNo","song Concepts and promPts.noteshelf","https://drive.google.com/uc?id=1R0X1bODosB6SsAvD12-u5TfGBu_ZfqOS&export=download","6.23 MB","September 12, 2025 at 9:14:46 PM"
"RedBubble-Template","0 Bytes","My Drive > RedBubble-Template","Product Templates","https://drive.google.com/uc?id=1kfO3ouF0LrgLOBeHJ3v-azDgH84kjkcN&export=download","0 Bytes","May 16, 2024 at 6:38:06 PM"
