path,name,size,modified,directory
/Users/steven/AVATARARTS/Best Sellers.pdf,Best Sellers.pdf,250800,2025-04-08 00:50:47,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/hybrid-db.txt,hybrid-db.txt,341945,2026-01-16 19:53:55,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/AVATARARTS_COMPLETE_KNOWLEDGE_BASE.md,AVATARARTS_COMPLETE_KNOWLEDGE_BASE.md,11213,2026-01-16 16:22:25,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/CONFIGURATION_ECOSYSTEM_ENHANCEMENT.md,CONFIGURATION_ECOSYSTEM_ENHANCEMENT.md,5649,2026-01-16 14:53:58,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/START_HERE.md,START_HERE.md,1557,2026-01-13 07:07:09,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/HANDOFF_EXECUTIVE_SUMMARY_2026.md,HANDOFF_EXECUTIVE_SUMMARY_2026.md,0,2026-01-15 23:33:24,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/AVATARARTS-scan-videos-2026-01-17.csv,AVATARARTS-scan-videos-2026-01-17.csv,37718,2026-01-17 17:15:16,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/THREE_ADDITIONAL_PRODUCTS.md,THREE_ADDITIONAL_PRODUCTS.md,7377,2026-01-15 22:19:53,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/trending_keywords_strategy.md,trending_keywords_strategy.md,8946,2025-10-09 10:57:07,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/ai_agent_builder_toolkit.md,ai_agent_builder_toolkit.md,9925,2025-10-09 11:00:00,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/test_cpg.py,test_cpg.py,2600,2026-01-17 13:12:43,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/pyproject.toml,pyproject.toml,283,2026-01-17 13:12:43,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/.aider.chat.history.md,.aider.chat.history.md,177544,2026-01-17 15:46:17,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/gptjunkie_formatted_content.md,gptjunkie_formatted_content.md,6928,2025-10-09 18:35:48,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/THE_JOURNEY_TO_DIGITAL_SUPREMACY.md,THE_JOURNEY_TO_DIGITAL_SUPREMACY.md,15311,2026-01-16 15:22:16,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/🌟 Top 1-5% Ranking (Analytics-Driven).md,🌟 Top 1-5% Ranking (Analytics-Driven).md,12175,2026-01-15 03:13:24,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/INFRASTRUCTURE_MIGRATION_PLAN.csv,INFRASTRUCTURE_MIGRATION_PLAN.csv,41234,2026-01-17 16:31:17,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/optimize_infrastructure_plan.py,optimize_infrastructure_plan.py,3080,2026-01-17 17:01:23,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/CLEANED_SUMMARY.md,CLEANED_SUMMARY.md,660,2026-01-01 15:57:18,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/AVATARARTS_COMPLETE_HANDOFF.md,AVATARARTS_COMPLETE_HANDOFF.md,17349,2026-01-16 16:15:44,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/portfolio_generator.py,portfolio_generator.py,31002,2026-01-16 17:37:42,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/MASTER_EXECUTION_ALL_PATHS.md,MASTER_EXECUTION_ALL_PATHS.md,39958,2026-01-16 18:50:22,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/KEY_FINDINGS_NEXT_STEPS_SUMMARY.md,KEY_FINDINGS_NEXT_STEPS_SUMMARY.md,7406,2026-01-16 15:57:48,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/DETAILED_HANDOFF_IMPLEMENTATION_GUIDE_2026.md,DETAILED_HANDOFF_IMPLEMENTATION_GUIDE_2026.md,0,2026-01-15 23:33:24,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/🎯_ANALYSIS_COMPLETE_INDEX.md,🎯_ANALYSIS_COMPLETE_INDEX.md,10477,2026-01-16 13:45:06,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/cursor_ai_script_improvements.md,cursor_ai_script_improvements.md,476685,2026-01-13 20:12:59,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/example_usage.py,example_usage.py,949,2026-01-17 15:42:17,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/COMPLETE_PRODUCT_PORTFOLIO.md,COMPLETE_PRODUCT_PORTFOLIO.md,5352,2026-01-15 22:20:37,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/execute_migration.py,execute_migration.py,2967,2026-01-17 16:09:27,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/FINAL_REORGANIZATION_STATUS.md,FINAL_REORGANIZATION_STATUS.md,5827,2026-01-13 07:05:50,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/seo_revenue_comparison.md,seo_revenue_comparison.md,11907,2026-01-14 02:46:13,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/create_git_hub_repository_for_trend_pulse.zip,create_git_hub_repository_for_trend_pulse.zip,90420,2026-01-17 12:27:25,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/EVOLUTION_ROADMAP_2026.md,EVOLUTION_ROADMAP_2026.md,5326,2026-01-15 22:07:10,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/DOCUMENTATION_VARIATIONS.md,DOCUMENTATION_VARIATIONS.md,7798,2026-01-13 09:23:39,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/README.md,README.md,2286,2026-01-17 01:53:28,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/upWork-Ai.md,upWork-Ai.md,65062,2026-01-15 08:47:06,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/ORGANIZED_HANDOFF.md,ORGANIZED_HANDOFF.md,4418,2026-01-01 15:57:18,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/🎯_QUICK_REFERENCE_CARD.md,🎯_QUICK_REFERENCE_CARD.md,7273,2026-01-16 13:45:06,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/install_deps.sh,install_deps.sh,40,2026-01-17 13:12:43,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/Upwork a6963682d52e4ce6a5c2e9abfa4d616e.md,Upwork a6963682d52e4ce6a5c2e9abfa4d616e.md,65062,2026-01-15 08:47:06,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/Strategic Analysis of Top Leads.md,Strategic Analysis of Top Leads.md,200793,2026-01-17 12:06:41,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/🔥_HIDDEN_GOLDMINES_EXTENDED_RESEARCH.md,🔥_HIDDEN_GOLDMINES_EXTENDED_RESEARCH.md,20822,2026-01-16 13:47:46,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/QUICK_REORGANIZE.sh,QUICK_REORGANIZE.sh,10510,2026-01-15 21:53:41,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/.gitignore,.gitignore,0,2026-01-17 15:45:17,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/etsy_niche_master.tsx,etsy_niche_master.tsx,38315,2026-01-16 19:03:02,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/LINKED_TOC_OVERVIEW.md,LINKED_TOC_OVERVIEW.md,14962,2026-01-15 18:36:34,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/🎯_QUICK_ACTIVATION_SUMMARY.md,🎯_QUICK_ACTIVATION_SUMMARY.md,7881,2026-01-16 13:45:06,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/INTERACTIVE_DOC_PORTAL.md,INTERACTIVE_DOC_PORTAL.md,15556,2026-01-15 12:08:52,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/ai_agent_tutorial.md,ai_agent_tutorial.md,11366,2025-10-09 10:59:20,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/reorganize_workspace.sh,reorganize_workspace.sh,9710,2026-01-17 01:53:10,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/CREATIVE_DOC_PORTAL.md,CREATIVE_DOC_PORTAL.md,15308,2026-01-15 11:52:20,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/Intelligent_Organization_Systems_for_Creative_Automation_Developers_2025_Implementation_Guide.md.md,Intelligent_Organization_Systems_for_Creative_Automation_Developers_2025_Implementation_Guide.md.md,35093,2025-11-28 08:28:50,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/Passive Income Empire automation.md,Passive Income Empire automation.md,4643,2026-01-04 13:04:45,/Users/steven/AVATARARTS
"/Users/steven/AVATARARTS/Prioritized list of hot, rising SEO keyword themes.txt","Prioritized list of hot, rising SEO keyword themes.txt",9213,2026-01-17 02:52:04,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/QUICK_REFERENCE_IMMEDIATE_IMPLEMENTATION.md,QUICK_REFERENCE_IMMEDIATE_IMPLEMENTATION.md,8061,2026-01-16 15:59:30,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/trending_content_calendar.md,trending_content_calendar.md,9721,2025-10-09 10:57:50,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/Top_1-5%_Ranking_Analytics-Driven_Strategy.md,Top_1-5%_Ranking_Analytics-Driven_Strategy.md,14639,2026-01-16 14:09:41,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/IMPLEMENTATION_GUIDE.md,IMPLEMENTATION_GUIDE.md,14439,2026-01-16 14:14:30,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/ai_agent_builder_guide.md,ai_agent_builder_guide.md,8521,2025-10-09 10:58:28,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/sitemap.xml,sitemap.xml,1047,2026-01-12 17:55:07,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/🎯_STRATEGIC_PRIORITIES_MATRIX.md,🎯_STRATEGIC_PRIORITIES_MATRIX.md,12723,2026-01-16 13:45:06,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/00_CURRENT_FOCUS.md,00_CURRENT_FOCUS.md,1643,2026-01-17 01:32:46,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/GEMINI.md,GEMINI.md,0,2026-01-15 05:51:25,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/sorting.md,sorting.md,46502,2026-01-13 18:51:41,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/EMPIRE_UPWORK_LAUNCHER.md,EMPIRE_UPWORK_LAUNCHER.md,15631,2026-01-16 17:39:42,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/PRACTICAL_AIDER_HARBOR_IMPLEMENTATION.md,PRACTICAL_AIDER_HARBOR_IMPLEMENTATION.md,25863,2026-01-16 15:35:16,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/📋_RESEARCH_COMPLETE_SUMMARY.md,📋_RESEARCH_COMPLETE_SUMMARY.md,11999,2026-01-16 13:45:06,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/AVATARARTS_COMPLETE_SYSTEM_SUMMARY.md,AVATARARTS_COMPLETE_SYSTEM_SUMMARY.md,9673,2026-01-16 14:49:30,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/MANUAL_FILE_CATEGORIZATION.md,MANUAL_FILE_CATEGORIZATION.md,3993,2026-01-13 06:58:35,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/TECHNICAL_DOC_PORTAL.md,TECHNICAL_DOC_PORTAL.md,15713,2026-01-15 12:05:13,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/AVATARARTS-scan-docs-2026-01-17.csv,AVATARARTS-scan-docs-2026-01-17.csv,2175059,2026-01-17 17:15:00,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/✅_RESEARCH_ANALYSIS_COMPLETE.md,✅_RESEARCH_ANALYSIS_COMPLETE.md,8117,2026-01-16 13:45:06,/Users/steven/AVATARARTS
"/Users/steven/AVATARARTS/The Structural Metamorphosis of the AI-Enabled Freelance Economy A Comprehensive Market Analysis of Toolsets, Workfl.md","The Structural Metamorphosis of the AI-Enabled Freelance Economy A Comprehensive Market Analysis of Toolsets, Workfl.md",24719,2026-01-17 11:53:21,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/TECHNICAL_REFERENCE_GUIDE_2026.md,TECHNICAL_REFERENCE_GUIDE_2026.md,0,2026-01-15 23:33:24,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/AVATARARTS-scan-audio-2026-01-17.csv,AVATARARTS-scan-audio-2026-01-17.csv,6557,2026-01-17 17:14:55,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/TOP_1_5_RANKING_STRATEGY.md,TOP_1_5_RANKING_STRATEGY.md,11689,2026-01-16 15:55:30,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/refine_infrastructure_plan.py,refine_infrastructure_plan.py,3173,2026-01-17 17:10:52,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/AEO_SEO_Content_Optimization.md,AEO_SEO_Content_Optimization.md,96885,2026-01-13 19:22:35,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/TACTICAL_IMPLEMENTATION_GUIDE.md,TACTICAL_IMPLEMENTATION_GUIDE.md,11468,2026-01-16 15:06:17,/Users/steven/AVATARARTS
/Users/steven/AVATARARTS/AVATARARTS-scan-images-2026-01-17.csv,AVATARARTS-scan-images-2026-01-17.csv,35,2026-01-17 17:15:01,/Users/steven/AVATARARTS
