Filename,Status,Category,Before_Path,After_Path,Ability_DNA
schedule_checker_task.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/tasks/celery_tasks/schedule_checker_task.py,~/Documents/CsV/Infrastructure/Automations/Production/schedule_checker_task.py,c8dd4812a2a4
discord_indexer.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/tasks/connector_indexers/discord_indexer.py,~/Documents/CsV/Infrastructure/Automations/Production/discord_indexer.py,cfe374ab3300
teams_indexer.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/tasks/connector_indexers/teams_indexer.py,~/Documents/CsV/Infrastructure/Automations/Production/teams_indexer.py,c3ae19453a1f
slack_indexer.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/tasks/connector_indexers/slack_indexer.py,~/Documents/CsV/Infrastructure/Automations/Production/slack_indexer.py,3bf721414925
google_drive_indexer.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/tasks/connector_indexers/google_drive_indexer.py,~/Documents/CsV/Infrastructure/Automations/Production/google_drive_indexer.py,2ac229ca6af6
surfsense_docs_indexer.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/tasks/surfsense_docs_indexer.py,~/Documents/CsV/Infrastructure/Automations/Production/surfsense_docs_indexer.py,1e3584221d35
users.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/users.py,~/Documents/CsV/Infrastructure/Automations/Production/users.py,e7e57eaf7878
checkpointer.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/agents/new_chat/checkpointer.py,~/Documents/CsV/Infrastructure/Automations/Production/checkpointer.py,9b0367208d82
periodic_scheduler.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/utils/periodic_scheduler.py,~/Documents/CsV/Infrastructure/Automations/Production/periodic_scheduler.py,77c41a3f738a
rbac.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/utils/rbac.py,~/Documents/CsV/Infrastructure/Automations/Production/rbac.py,2722a8ac51f9
connector_naming.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/utils/connector_naming.py,~/Documents/CsV/Infrastructure/Automations/Production/connector_naming.py,70ef79348153
documents_hybrid_search.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/retriever/documents_hybrid_search.py,~/Documents/CsV/Infrastructure/Automations/Production/documents_hybrid_search.py,0aa0bcfad077
chunks_hybrid_search.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/retriever/chunks_hybrid_search.py,~/Documents/CsV/Infrastructure/Automations/Production/chunks_hybrid_search.py,bec8c7b6bbea
search_source_connector.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/schemas/search_source_connector.py,~/Documents/CsV/Infrastructure/Automations/Production/search_source_connector.py,48b3350813ca
logs.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/schemas/logs.py,~/Documents/CsV/Infrastructure/Automations/Production/logs.py,636bd8bffb20
new_chat.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/schemas/new_chat.py,~/Documents/CsV/Infrastructure/Automations/Production/new_chat.py,27b5bb3916af
logs_routes.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/routes/logs_routes.py,~/Documents/CsV/Infrastructure/Automations/Production/logs_routes.py,e95bc682370f
podcasts_routes.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/routes/podcasts_routes.py,~/Documents/CsV/Infrastructure/Automations/Production/podcasts_routes.py,deb9581e8a53
google_gmail_add_connector_route.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/routes/google_gmail_add_connector_route.py,~/Documents/CsV/Infrastructure/Automations/Production/google_gmail_add_connector_route.py,0c7b2d0d3080
linear_add_connector_route.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/routes/linear_add_connector_route.py,~/Documents/CsV/Infrastructure/Automations/Production/linear_add_connector_route.py,3c623b269ecb
airtable_add_connector_route.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/routes/airtable_add_connector_route.py,~/Documents/CsV/Infrastructure/Automations/Production/airtable_add_connector_route.py,acc630b4d0a7
surfsense_docs_routes.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/routes/surfsense_docs_routes.py,~/Documents/CsV/Infrastructure/Automations/Production/surfsense_docs_routes.py,abd9f74812c5
slack_add_connector_route.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/routes/slack_add_connector_route.py,~/Documents/CsV/Infrastructure/Automations/Production/slack_add_connector_route.py,033acdb0b1ad
confluence_add_connector_route.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/routes/confluence_add_connector_route.py,~/Documents/CsV/Infrastructure/Automations/Production/confluence_add_connector_route.py,d663094c9849
new_chat_routes.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/routes/new_chat_routes.py,~/Documents/CsV/Infrastructure/Automations/Production/new_chat_routes.py,fe15061285fc
notion_add_connector_route.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/routes/notion_add_connector_route.py,~/Documents/CsV/Infrastructure/Automations/Production/notion_add_connector_route.py,e6f4494806be
search_source_connectors_routes.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/routes/search_source_connectors_routes.py,~/Documents/CsV/Infrastructure/Automations/Production/search_source_connectors_routes.py,53775b7c5c88
teams_add_connector_route.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/routes/teams_add_connector_route.py,~/Documents/CsV/Infrastructure/Automations/Production/teams_add_connector_route.py,22dd8f4af300
discord_add_connector_route.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/routes/discord_add_connector_route.py,~/Documents/CsV/Infrastructure/Automations/Production/discord_add_connector_route.py,df63e61902c5
clickup_add_connector_route.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/routes/clickup_add_connector_route.py,~/Documents/CsV/Infrastructure/Automations/Production/clickup_add_connector_route.py,f275f4c9522a
jira_add_connector_route.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/routes/jira_add_connector_route.py,~/Documents/CsV/Archive/Duplicates/d663094c/jira_add_connector_route.py,d663094c9849
rbac_routes.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/routes/rbac_routes.py,~/Documents/CsV/Infrastructure/Automations/Production/rbac_routes.py,0d0cc307f157
google_drive_add_connector_route.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/routes/google_drive_add_connector_route.py,~/Documents/CsV/Infrastructure/Automations/Production/google_drive_add_connector_route.py,68c9efbb486f
documents_routes.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/routes/documents_routes.py,~/Documents/CsV/Infrastructure/Automations/Production/documents_routes.py,211bcfb6e2e7
editor_routes.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/routes/editor_routes.py,~/Documents/CsV/Infrastructure/Automations/Production/editor_routes.py,342731fc8e9d
search_spaces_routes.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/routes/search_spaces_routes.py,~/Documents/CsV/Infrastructure/Automations/Production/search_spaces_routes.py,74f930d3a815
luma_add_connector_route.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/routes/luma_add_connector_route.py,~/Documents/CsV/Infrastructure/Automations/Production/luma_add_connector_route.py,b1e5ca9219af
google_calendar_add_connector_route.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/routes/google_calendar_add_connector_route.py,~/Documents/CsV/Archive/Duplicates/0c7b2d0d/google_calendar_add_connector_route.py,0c7b2d0d3080
notes_routes.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/routes/notes_routes.py,~/Documents/CsV/Infrastructure/Automations/Production/notes_routes.py,bddb064977f5
page_limit_service.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/services/page_limit_service.py,~/Documents/CsV/Infrastructure/Automations/Production/page_limit_service.py,185a93dfab57
connector_service.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/services/connector_service.py,~/Documents/CsV/Infrastructure/Automations/Production/connector_service.py,be0d7d3f79c5
task_logging_service.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/app/services/task_logging_service.py,~/Documents/CsV/Infrastructure/Automations/Production/task_logging_service.py,6f14dad6b550
env.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/env.py,~/Documents/CsV/Infrastructure/Automations/Production/env.py,27876df6d111
39_add_rbac_tables.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/39_add_rbac_tables.py,~/Documents/CsV/Infrastructure/Automations/Production/39_add_rbac_tables.py,746e10fa1afe
45_add_updated_at_to_documents.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/45_add_updated_at_to_documents.py,~/Documents/CsV/Archive/Duplicates/746e10fa/45_add_updated_at_to_documents.py,746e10fa1afe
32_add_periodic_indexing_fields.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/32_add_periodic_indexing_fields.py,~/Documents/CsV/Archive/Duplicates/746e10fa/32_add_periodic_indexing_fields.py,746e10fa1afe
52_rename_llm_preference_columns.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/52_rename_llm_preference_columns.py,~/Documents/CsV/Infrastructure/Automations/Production/52_rename_llm_preference_columns.py,882455d99a5d
29_add_unique_identifier_hash_to_documents.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/29_add_unique_identifier_hash_to_documents.py,~/Documents/CsV/Archive/Duplicates/746e10fa/29_add_unique_identifier_hash_to_documents.py,746e10fa1afe
34_add_podcast_staleness_detection.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/34_add_podcast_staleness_detection.py,~/Documents/CsV/Infrastructure/Automations/Production/34_add_podcast_staleness_detection.py,15e28e64f090
60_add_surfsense_docs_tables.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/60_add_surfsense_docs_tables.py,~/Documents/CsV/Infrastructure/Automations/Production/60_add_surfsense_docs_tables.py,ab2eb4844d25
7_remove_is_generated_column.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/7_remove_is_generated_column.py,~/Documents/CsV/Archive/Duplicates/746e10fa/7_remove_is_generated_column.py,746e10fa1afe
4_add_linkup_api_enum.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/4_add_linkup_api_enum.py,~/Documents/CsV/Archive/Duplicates/15e28e64/4_add_linkup_api_enum.py,15e28e64f090
28_add_chinese_litellmprovider_enum.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/28_add_chinese_litellmprovider_enum.py,~/Documents/CsV/Archive/Duplicates/15e28e64/28_add_chinese_litellmprovider_enum.py,15e28e64f090
40_move_llm_preferences_to_searchspace.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/40_move_llm_preferences_to_searchspace.py,~/Documents/CsV/Infrastructure/Automations/Production/40_move_llm_preferences_to_searchspace.py,3eea8d211a80
18_add_google_gmail_connector_enums.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/18_add_google_gmail_connector_enums.py,~/Documents/CsV/Archive/Duplicates/15e28e64/18_add_google_gmail_connector_enums.py,15e28e64f090
51_add_new_llm_config_table.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/51_add_new_llm_config_table.py,~/Documents/CsV/Archive/Duplicates/15e28e64/51_add_new_llm_config_table.py,15e28e64f090
37_add_system_prompts_to_searchspaces.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/37_add_system_prompts_to_searchspaces.py,~/Documents/CsV/Infrastructure/Automations/Production/37_add_system_prompts_to_searchspaces.py,7e190d4c448c
8_add_content_hash_to_documents.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/8_add_content_hash_to_documents.py,~/Documents/CsV/Archive/Duplicates/746e10fa/8_add_content_hash_to_documents.py,746e10fa1afe
2_add_linear_connector_enum.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/2_add_linear_connector_enum.py,~/Documents/CsV/Archive/Duplicates/15e28e64/2_add_linear_connector_enum.py,15e28e64f090
15_add_clickup_connector_enums.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/15_add_clickup_connector_enums.py,~/Documents/CsV/Archive/Duplicates/15e28e64/15_add_clickup_connector_enums.py,15e28e64f090
22_add_cometapi_to_litellmprovider_enum.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/22_add_cometapi_to_litellmprovider_enum.py,~/Documents/CsV/Archive/Duplicates/15e28e64/22_add_cometapi_to_litellmprovider_enum.py,15e28e64f090
53_cleanup_old_llm_configs.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/53_cleanup_old_llm_configs.py,~/Documents/CsV/Archive/Duplicates/882455d9/53_cleanup_old_llm_configs.py,882455d99a5d
47_copy_created_at_to_updated_at.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/47_copy_created_at_to_updated_at.py,~/Documents/CsV/Archive/Duplicates/15e28e64/47_copy_created_at_to_updated_at.py,15e28e64f090
16_fix_connector_unique_constraint.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/16_fix_connector_unique_constraint.py,~/Documents/CsV/Archive/Duplicates/15e28e64/16_fix_connector_unique_constraint.py,15e28e64f090
55_rename_google_drive_connector_to_file.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/55_rename_google_drive_connector_to_file.py,~/Documents/CsV/Archive/Duplicates/746e10fa/55_rename_google_drive_connector_to_file.py,746e10fa1afe
13_add_jira_connector_enums.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/13_add_jira_connector_enums.py,~/Documents/CsV/Archive/Duplicates/15e28e64/13_add_jira_connector_enums.py,15e28e64f090
38_add_webcrawler_connector_enum.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/38_add_webcrawler_connector_enum.py,~/Documents/CsV/Archive/Duplicates/15e28e64/38_add_webcrawler_connector_enum.py,15e28e64f090
6_change_podcast_content_to_transcript.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/6_change_podcast_content_to_transcript.py,~/Documents/CsV/Infrastructure/Automations/Production/6_change_podcast_content_to_transcript.py,821a727dd98f
9_add_discord_connector_enum_and_documenttype.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/9_add_discord_connector_enum_and_documenttype.py,~/Documents/CsV/Archive/Duplicates/15e28e64/9_add_discord_connector_enum_and_documenttype.py,15e28e64f090
21_add_luma_connector_enums.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/21_add_luma_connector_enums.py,~/Documents/CsV/Archive/Duplicates/15e28e64/21_add_luma_connector_enums.py,15e28e64f090
33_add_page_limits_to_user.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/33_add_page_limits_to_user.py,~/Documents/CsV/Archive/Duplicates/746e10fa/33_add_page_limits_to_user.py,746e10fa1afe
36_remove_fk_constraints_for_global_llm_configs.py,KEEP (Master),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/36_remove_fk_constraints_for_global_llm_configs.py,~/Documents/CsV/Infrastructure/Automations/Production/36_remove_fk_constraints_for_global_llm_configs.py,56c7e2e76fe8
17_add_google_calendar_connector_enums.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/17_add_google_calendar_connector_enums.py,~/Documents/CsV/Archive/Duplicates/15e28e64/17_add_google_calendar_connector_enums.py,15e28e64f090
56_add_circleback_connector_enums.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/56_add_circleback_connector_enums.py,~/Documents/CsV/Archive/Duplicates/746e10fa/56_add_circleback_connector_enums.py,746e10fa1afe
24_fix_null_chat_types.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/24_fix_null_chat_types.py,~/Documents/CsV/Archive/Duplicates/15e28e64/24_fix_null_chat_types.py,15e28e64f090
20_add_openrouter_to_litellmprovider_enum.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/20_add_openrouter_to_litellmprovider_enum.py,~/Documents/CsV/Archive/Duplicates/15e28e64/20_add_openrouter_to_litellmprovider_enum.py,15e28e64f090
59_add_teams_connector_enums.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/59_add_teams_connector_enums.py,~/Documents/CsV/Archive/Duplicates/15e28e64/59_add_teams_connector_enums.py,15e28e64f090
12_add_logs_table.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/12_add_logs_table.py,~/Documents/CsV/Archive/Duplicates/746e10fa/12_add_logs_table.py,746e10fa1afe
27_add_searxng_connector_enum.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/27_add_searxng_connector_enum.py,~/Documents/CsV/Archive/Duplicates/15e28e64/27_add_searxng_connector_enum.py,15e28e64f090
35_update_litellmprovider_enum_comprehensive.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/35_update_litellmprovider_enum_comprehensive.py,~/Documents/CsV/Archive/Duplicates/15e28e64/35_update_litellmprovider_enum_comprehensive.py,15e28e64f090
41_backfill_rbac_for_existing_searchspaces.py,ARCHIVE (Duplicate),Infrastructure,./AVATARARTS/Automations/SurfSense-main/surfsense_backend/alembic/versions/41_backfill_rbac_for_existing_searchspaces.py,~/Documents/CsV/Archive/Duplicates/3eea8d21/41_backfill_rbac_for_existing_searchspaces.py,3eea8d211a80
