"Original Path","New Category","New Location","Content Type","Description"
"/Users/steven/Documents/As-a-Man-Thinketh/AS_A_MAN_THINKETH.pdf","PDF Content","/Users/steven/Documents/As-a-Man-Thinketh/AS_A_MAN_THINKETH.pdf","Documentation","As a Man Thinketh PDF content"
"/Users/steven/Documents/As-a-Man-Thinketh/AS_A_MAN_THINKETH.epub","EPUB Content","/Users/steven/Documents/As-a-Man-Thinketh/AS_A_MAN_THINKETH.epub","Documentation","As a Man Thinketh EPUB content"
"/Users/steven/Documents/As-a-Man-Thinketh/AS_A_MAN_THINKETH.mobi","MOBI Content","/Users/steven/Documents/As-a-Man-Thinketh/AS_A_MAN_THINKETH.mobi","Documentation","As a Man Thinketh MOBI content"
"/Users/steven/Documents/As-a-Man-Thinketh/AS_A_MAN_THINKETH_*","Various Formats","/Users/steven/Documents/As-a-Man-Thinketh/","Documentation","As a Man Thinketh in various ebook formats"
"/Users/steven/Documents/As-a-Man-Thinketh/AS_A_MAN_THINKETH_*","Various PDF Types","/Users/steven/Documents/As-a-Man-Thinketh/","Documentation","As a Man Thinketh in various PDF formats (reflow, print, text, image, etc.)"
"/Users/steven/Documents/README_CONSOLIDATION_PROJECT.md","Project Documentation","/Users/steven/Documents/README_CONSOLIDATION_PROJECT.md","Documentation","Main documentation index for consolidation project"
"/Users/steven/Documents/CONSOLIDATION_PLAN.md","Consolidation Plan","/Users/steven/Documents/CONSOLIDATION_PLAN.md","Documentation","Detailed consolidation and deduplication strategy"
"/Users/steven/Documents/ANALYSIS_REPORT.md","Analysis Report","/Users/steven/Documents/ANALYSIS_REPORT.md","Documentation","Deep analysis of Web-Tools projects"
"/Users/steven/Documents/HOME_DIRECTORY_ANALYSIS.md","Directory Analysis","/Users/steven/Documents/HOME_DIRECTORY_ANALYSIS.md","Analysis","Complete 113GB home directory inventory"
"/Users/steven/Documents/COMPLETE_FILE_CATALOG.json","File Catalog","/Users/steven/Documents/COMPLETE_FILE_CATALOG.json","Data","Complete file catalog in JSON format"
"/Users/steven/Documents/github_harbor_dedup_report.csv","Deduplication Report","/Users/steven/Documents/github_harbor_dedup_report.csv","Data","Duplicate file report for GitHub and .harbor"
"/Users/steven/Documents/pythons_dedup_report.csv","Deduplication Report","/Users/steven/Documents/pythons_dedup_report.csv","Data","Duplicate file report for pythons directory"
"/Users/steven/Documents/pythons_dedup_report.json","Deduplication Report","/Users/steven/Documents/pythons_dedup_report.json","Data","Duplicate file report in JSON format"
"/Users/steven/Documents/SESSION_SUMMARY.md","Session Summary","/Users/steven/Documents/SESSION_SUMMARY.md","Documentation","Summary of session accomplishments"
"/Users/steven/Documents/DEDUPLICATION_REPORT.md","Deduplication Report","/Users/steven/Documents/DEDUPLICATION_REPORT.md","Analysis","Comprehensive deduplication report"
"/Users/steven/Documents/QUICK_START.md","Quick Start Guide","/Users/steven/Documents/QUICK_START.md","Documentation","Quick start guide for consolidation project"
"/Users/steven/Documents/all.txt","Text Archive","/Users/steven/Documents/all.txt","Data","Text archive file"
"/Users/steven/Documents/DUPLICATE_ANALYSIS_20251126_021838.json","Duplicate Analysis","/Users/steven/Documents/DUPLICATE_ANALYSIS_20251126_021838.json","Data","JSON duplicate analysis report"
"/Users/steven/Documents/DUPLICATE_ANALYSIS_20251126_021909.json","Duplicate Analysis","/Users/steven/Documents/DUPLICATE_ANALYSIS_20251126_021909.json","Data","JSON duplicate analysis report"
"/Users/steven/Documents/FOLDER_DEPTH_ANALYSIS_20251126_021152.json","Folder Analysis","/Users/steven/Documents/FOLDER_DEPTH_ANALYSIS_20251126_021152.json","Analysis","JSON folder depth analysis"
"/Users/steven/Documents/FOLDER_DEPTH_ANALYSIS_20251126_021218.json","Folder Analysis","/Users/steven/Documents/FOLDER_DEPTH_ANALYSIS_20251126_021218.json","Analysis","JSON folder depth analysis"
"/Users/steven/Documents/MP3_SEARCH_20251126_073052.json","Search Results","/Users/steven/Documents/MP3_SEARCH_20251126_073052.json","Data","JSON MP3 search results"
"/Users/steven/Documents/MP3_SEARCH_20251126_081751.json","Search Results","/Users/steven/Documents/MP3_SEARCH_20251126_081751.json","Data","JSON MP3 search results"
"/Users/steven/Documents/ORGANIZATION_PLAN_20251126_021321.json","Organization Plan","/Users/steven/Documents/ORGANIZATION_PLAN_20251126_021321.json","Data","JSON organization plan"
"/Users/steven/Documents/github_harbor_dedup_report.json","Deduplication Report","/Users/steven/Documents/github_harbor_dedup_report.json","Data","JSON duplicate file report"
"/Users/steven/Documents/2025-12-04-would-obsidian-be-good-to-organize-my-docs-or-is-t.txt","Chat Transcript","/Users/steven/Documents/2025-12-04-would-obsidian-be-good-to-organize-my-docs-or-is-t.txt","Documentation","Chat transcript about Obsidian organization"
"/Users/steven/Documents/artificial_intelligence_101toknow.txt","AI Documentation","/Users/steven/Documents/artificial_intelligence_101toknow.txt","Documentation","AI 101 documentation"
"/Users/steven/Documents/as_a_man_thinketh_package.zip","Book Package","/Users/steven/Documents/as_a_man_thinketh_package.zip","Archive","As a Man Thinketh book package"
"/Users/steven/Documents/Claude-Convo-Export.zip","Chat Export","/Users/steven/Documents/Claude-Convo-Export.zip","Archive","Claude conversation export archive"
"/Users/steven/Documents/client_secret_442750818272-ch2otc888sn01mo52hfknkiodm2bq167.apps.googleusercontent.com.json","API Credentials","/Users/steven/Documents/client_secret_442750818272-ch2otc888sn01mo52hfknkiodm2bq167.apps.googleusercontent.com.json","Config","Google API client secret"
"/Users/steven/Documents/COMPLETE_FILE_CATALOG.json","File Catalog","/Users/steven/Documents/COMPLETE_FILE_CATALOG.json","Data","Complete file catalog in JSON format"
"/Users/steven/Documents/CONSOLIDATION_PLAN.md","Consolidation Plan","/Users/steven/Documents/CONSOLIDATION_PLAN.md","Documentation","Detailed consolidation and deduplication strategy"
"/Users/steven/Documents/extracting_info_from_html_code.md","HTML Guide","/Users/steven/Documents/extracting_info_from_html_code.md","Documentation","Guide for extracting info from HTML code"
"/Users/steven/Documents/HOME_DIRECTORY_ANALYSIS.md","Directory Analysis","/Users/steven/Documents/HOME_DIRECTORY_ANALYSIS.md","Analysis","Complete home directory analysis"
"/Users/steven/Documents/HOME_DIRECTORY_ANALYSIS_SHORT.md","Directory Analysis","/Users/steven/Documents/HOME_DIRECTORY_ANALYSIS_SHORT.md","Analysis","Short home directory analysis"
"/Users/steven/Documents/QUICK_START.md","Quick Start Guide","/Users/steven/Documents/QUICK_START.md","Documentation","Quick start guide for consolidation project"
"/Users/steven/Documents/SESSION_SUMMARY.md","Session Summary","/Users/steven/Documents/SESSION_SUMMARY.md","Documentation","Summary of session accomplishments"
"/Users/steven/Documents/Steven-Chaplinski--Professional-Portfolio-Website-node-readme.md","Portfolio Documentation","/Users/steven/Documents/Steven-Chaplinski--Professional-Portfolio-Website-node-readme.md","Documentation","Portfolio website documentation"
"/Users/steven/Documents/Steven-Chaplinski--Unified-Creative-Automation-WorkspaceREADME.md","Project Documentation","/Users/steven/Documents/Steven-Chaplinski--Unified-Creative-Automation-WorkspaceREADME.md","Documentation","Creative automation workspace documentation"
"/Users/steven/Documents/tools","Tools","/Users/steven/Documents/tools","Code","Scripts and tools for file management"
