MD5,Size (bytes),File Path,Filename,Source,Mod Time,Total Copies,Wasted Space (bytes),Keep/Delete?
0c85dd305b81693fc34c29bf8a0aa0b5,7253,/Users/steven/GitHub/AvaTarArTs-Suite/dedup_backup_20251101_032137/media/image/leodown_20250102105147.py,leodown_20250102105147.py,source1,2025-11-01T03:06:48.929167,,,DELETE
0c85dd305b81693fc34c29bf8a0aa0b5,7253,/Users/steven/GitHub/AvaTarArTs-Suite/dedup_backup_20251101_032137/media/image/leodown.py,leodown.py,source1,2025-11-01T03:06:48.928204,,,DELETE
0c98eccbcd2bf719dfa586e559061182,1209,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/MondayCom/__schema__/v1.0.0/boardItem/getAll.json,getAll.json,source1,2025-11-29T05:22:52.676897,2,1209,KEEP
0c98eccbcd2bf719dfa586e559061182,1209,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/MondayCom/__schema__/v1.0.0/boardItem/get.json,get.json,source1,2025-11-29T05:22:52.676759,,,DELETE
0d1afd8006dbc290b939f966e0a496f7,7193,/Users/steven/GitHub/02_media_processing/image_tools/converts.py.backup,converts.py.backup,source1,2025-11-01T03:04:34.026979,2,7193,KEEP
0d1afd8006dbc290b939f966e0a496f7,7193,/Users/steven/GitHub/02_media_processing/image_tools/converts copy.py.backup,converts copy.py.backup,source1,2025-11-01T03:04:34.026589,,,DELETE
0d4e8f166f7b49d1313ec8e191014aaf,191,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Linear/__schema__/v1.0.0/notification/send.json,send.json,source1,2025-11-29T05:22:52.451388,2,191,KEEP
0d4e8f166f7b49d1313ec8e191014aaf,191,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Line/__schema__/v1.0.0/notification/send.json,send.json,source1,2025-11-29T05:22:52.448683,,,DELETE
0e06ec4612f8bd3d6c0c1c6cfc3a3dcb,126,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Slack/__schema__/v2.3.0/reaction/remove.json,remove.json,source1,2025-11-29T05:22:52.972085,2,126,KEEP
0e06ec4612f8bd3d6c0c1c6cfc3a3dcb,126,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Slack/__schema__/v2.3.0/reaction/add.json,add.json,source1,2025-11-29T05:22:52.971855,,,DELETE
0e89f857b8abe30135c3ab7135df58c6,241,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Google/Drive/__schema__/v3.0.0/drive/update.json,update.json,source1,2025-11-29T05:22:52.252555,4,723,KEEP
0e89f857b8abe30135c3ab7135df58c6,241,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Google/Drive/__schema__/v3.0.0/drive/list.json,list.json,source1,2025-11-29T05:22:52.252449,,,DELETE
0e89f857b8abe30135c3ab7135df58c6,241,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Google/Drive/__schema__/v3.0.0/drive/get.json,get.json,source1,2025-11-29T05:22:52.252350,,,DELETE
0e89f857b8abe30135c3ab7135df58c6,241,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Google/Drive/__schema__/v3.0.0/drive/create.json,create.json,source1,2025-11-29T05:22:52.252244,,,DELETE
109dbc1a97997bb7d228089f28537458,1947,/Users/steven/GitHub/mkdocs-material/src/utilities/filter/config.py,config.py,source1,2025-11-29T07:58:56.029599,2,1947,KEEP
109dbc1a97997bb7d228089f28537458,1947,/Users/steven/GitHub/mkdocs-material/material/utilities/filter/config.py,config.py,source1,2025-11-29T07:58:55.944243,,,DELETE
116b89820cd3b16e653aa7266c921d48,3919,/Users/steven/GitHub/n8n/packages/@n8n/nodes-langchain/nodes/vector_store/VectorStoreZepLoad/zep.png,zep.png,source1,2025-11-29T05:22:50.231507,3,7838,KEEP
116b89820cd3b16e653aa7266c921d48,3919,/Users/steven/GitHub/n8n/packages/@n8n/nodes-langchain/nodes/vector_store/VectorStoreZepInsert/zep.png,zep.png,source1,2025-11-29T05:22:50.231092,,,DELETE
116b89820cd3b16e653aa7266c921d48,3919,/Users/steven/GitHub/n8n/packages/@n8n/nodes-langchain/nodes/vector_store/VectorStoreZep/zep.png,zep.png,source1,2025-11-29T05:22:50.230605,,,DELETE
117105d2f2ee718eb485a07574a219b6,238,/Users/steven/GitHub/whisper.cpp/examples/whisper.swiftui/whisper.swiftui.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist,IDEWorkspaceChecks.plist,source1,2025-11-27T05:23:44.125337,2,238,KEEP
117105d2f2ee718eb485a07574a219b6,238,/Users/steven/GitHub/whisper.cpp/examples/whisper.objc/whisper.objc.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist,IDEWorkspaceChecks.plist,source1,2025-11-27T05:23:44.118819,,,DELETE
12834efaf053c96ae0cbe1dcca1143cf,125,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/WhatsApp/__schema__/v1.0.0/media/mediaUpload.json,mediaUpload.json,source1,2025-11-29T05:22:53.198323,16,1875,KEEP
12834efaf053c96ae0cbe1dcca1143cf,125,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Slack/__schema__/v2.3.0/channel/open.json,open.json,source1,2025-11-29T05:22:52.970064,,,DELETE
12834efaf053c96ae0cbe1dcca1143cf,125,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Notion/__schema__/v1.0.0/page/get.json,get.json,source1,2025-11-29T05:22:52.714637,,,DELETE
12834efaf053c96ae0cbe1dcca1143cf,125,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/MondayCom/__schema__/v1.0.0/boardItem/move.json,move.json,source1,2025-11-29T05:22:52.677196,,,DELETE
12834efaf053c96ae0cbe1dcca1143cf,125,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/MondayCom/__schema__/v1.0.0/boardItem/delete.json,delete.json,source1,2025-11-29T05:22:52.676588,,,DELETE
12834efaf053c96ae0cbe1dcca1143cf,125,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/MondayCom/__schema__/v1.0.0/boardItem/create.json,create.json,source1,2025-11-29T05:22:52.676426,,,DELETE
12834efaf053c96ae0cbe1dcca1143cf,125,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/MondayCom/__schema__/v1.0.0/boardItem/changeMultipleColumnValues.json,changeMultipleColumnValues.json,source1,2025-11-29T05:22:52.676243,,,DELETE
12834efaf053c96ae0cbe1dcca1143cf,125,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/MondayCom/__schema__/v1.0.0/boardItem/changeColumnValue.json,changeColumnValue.json,source1,2025-11-29T05:22:52.676035,,,DELETE
12834efaf053c96ae0cbe1dcca1143cf,125,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/MondayCom/__schema__/v1.0.0/boardItem/addUpdate.json,addUpdate.json,source1,2025-11-29T05:22:52.675874,,,DELETE
12834efaf053c96ae0cbe1dcca1143cf,125,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/MondayCom/__schema__/v1.0.0/boardGroup/create.json,create.json,source1,2025-11-29T05:22:52.675454,,,DELETE
12834efaf053c96ae0cbe1dcca1143cf,125,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/MondayCom/__schema__/v1.0.0/boardColumn/create.json,create.json,source1,2025-11-29T05:22:52.674866,,,DELETE
12834efaf053c96ae0cbe1dcca1143cf,125,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/MondayCom/__schema__/v1.0.0/board/create.json,create.json,source1,2025-11-29T05:22:52.673680,,,DELETE
12834efaf053c96ae0cbe1dcca1143cf,125,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Microsoft/AzureCosmosDb/__schema__/v1.0.0/item/query.json,query.json,source1,2025-11-29T05:22:52.518430,,,DELETE
12834efaf053c96ae0cbe1dcca1143cf,125,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Lemlist/__schema__/v2.0.0/enrich/enrichPerson.json,enrichPerson.json,source1,2025-11-29T05:22:52.443559,,,DELETE
12834efaf053c96ae0cbe1dcca1143cf,125,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Google/Drive/__schema__/v3.0.0/file/createFromText.json,createFromText.json,source1,2025-11-29T05:22:52.252828,,,DELETE
12834efaf053c96ae0cbe1dcca1143cf,125,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Coda/__schema__/v1.1.0/table/getRow.json,getRow.json,source1,2025-11-29T05:22:52.036572,,,DELETE
12c21cd88ad52f9ff43507b3862a6219,80,/Users/steven/GitHub/n8n/packages/frontend/editor-ui/postcss.config.cjs,postcss.config.cjs,source1,2025-11-29T05:22:50.840212,2,80,KEEP
12c21cd88ad52f9ff43507b3862a6219,80,/Users/steven/GitHub/n8n/packages/frontend/@n8n/design-system/postcss.config.cjs,postcss.config.cjs,source1,2025-11-29T05:22:50.640913,,,DELETE
14166884d3c284bec7f7932101d4d7ae,2331,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Redis/redis.svg,redis.svg,source1,2025-11-29T05:22:52.859432,2,2331,KEEP
14166884d3c284bec7f7932101d4d7ae,2331,/Users/steven/GitHub/n8n/packages/@n8n/nodes-langchain/nodes/memory/MemoryRedisChat/redis.svg,redis.svg,source1,2025-11-29T05:22:50.198215,,,DELETE
14986135a21321c8866a220bb48a12d8,24558,/Users/steven/GitHub/02_media_processing/image_tools/main_20221230234008.py.backup,main_20221230234008.py.backup,source1,2025-11-01T03:04:34.128415,2,24558,KEEP
14986135a21321c8866a220bb48a12d8,24558,/Users/steven/GitHub/02_media_processing/image_tools/main_20221230225837.py.backup,main_20221230225837.py.backup,source1,2025-11-01T03:04:34.126816,,,DELETE
14c29e770b1aa6fac3e76eff2a2d915c,452,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Salesforce/__schema__/v1.0.0/attachment/getAll.json,getAll.json,source1,2025-11-29T05:22:52.884545,2,452,KEEP
14c29e770b1aa6fac3e76eff2a2d915c,452,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Salesforce/__schema__/v1.0.0/account/getAll.json,getAll.json,source1,2025-11-29T05:22:52.884001,,,DELETE
158df669e5b5623478a6e4bb9cf7d8f8,5477,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Spotify/__schema__/v1.0.0/track/search.json,search.json,source1,2025-11-29T05:22:53.008438,2,5477,KEEP
158df669e5b5623478a6e4bb9cf7d8f8,5477,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Spotify/__schema__/v1.0.0/artist/getTopTracks.json,getTopTracks.json,source1,2025-11-29T05:22:53.004918,,,DELETE
15b2ff2a54faca21a6de695b49464ff7,222,/Users/steven/GitHub/n8n/packages/@n8n/errors/eslint.config.mjs,eslint.config.mjs,source1,2025-11-29T05:22:50.090113,2,222,KEEP
15b2ff2a54faca21a6de695b49464ff7,222,/Users/steven/GitHub/n8n/packages/@n8n/constants/eslint.config.mjs,eslint.config.mjs,source1,2025-11-29T05:22:50.031208,,,DELETE
15d1f07f061bbb70fc6b8ce73160279a,7386,/Users/steven/GitHub/mkdocs-material/src/plugins/social/templates/default/variant.yml,variant.yml,source1,2025-11-29T07:58:55.966802,2,7386,KEEP
15d1f07f061bbb70fc6b8ce73160279a,7386,/Users/steven/GitHub/mkdocs-material/material/plugins/social/templates/default/variant.yml,variant.yml,source1,2025-11-29T07:58:53.695623,,,DELETE
164ca7f59755ab654101e8ddf42d11a9,1478,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Microsoft/SharePoint/test/list/get.workflow.json,get.workflow.json,source1,2025-11-29T05:22:52.617768,2,1478,KEEP
164ca7f59755ab654101e8ddf42d11a9,1478,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Microsoft/SharePoint/test/credentials/oauth2.workflow.json,oauth2.workflow.json,source1,2025-11-29T05:22:52.612761,,,DELETE
1671d767a92a59f32f402ae4e653733d,2072,/Users/steven/GitHub/n8n/packages/@n8n/nodes-langchain/nodes/vendors/OpenAi/v2/actions/audio/translate.operation.ts,translate.operation.ts,source1,2025-11-29T05:22:50.261221,2,2072,KEEP
1671d767a92a59f32f402ae4e653733d,2072,/Users/steven/GitHub/n8n/packages/@n8n/nodes-langchain/nodes/vendors/OpenAi/v1/actions/audio/translate.operation.ts,translate.operation.ts,source1,2025-11-29T05:22:50.258460,,,DELETE
16ccaec0173321e7f2a42b974958863e,717,/Users/steven/GitHub/whisper.cpp/ggml/cmake/GitVars.cmake,GitVars.cmake,source1,2025-11-27T05:23:44.127364,2,717,KEEP
16ccaec0173321e7f2a42b974958863e,717,/Users/steven/GitHub/whisper.cpp/cmake/git-vars.cmake,git-vars.cmake,source1,2025-11-27T05:23:44.008281,,,DELETE
17bdd2d747048bf2c1b1c30fd8cf48c1,20868,/Users/steven/GitHub/whisper.cpp/tests/librispeech/normalizers/english.py,english.py,source1,2025-11-27T05:23:44.332876,2,20868,KEEP
17bdd2d747048bf2c1b1c30fd8cf48c1,20868,/Users/steven/GitHub/whisper.cpp/tests/earnings21/normalizers/english.py,english.py,source1,2025-11-27T05:23:44.330684,,,DELETE
17c39bcfca59ec08cb73932387ed87e5,7568,/Users/steven/GitHub/02_media_processing/video_tools/NewUpload_20250607131239.py.backup,NewUpload_20250607131239.py.backup,source1,2025-11-01T03:04:34.237436,2,7568,KEEP
17c39bcfca59ec08cb73932387ed87e5,7568,/Users/steven/GitHub/02_media_processing/video_tools/NewUpload.py.backup,NewUpload.py.backup,source1,2025-11-01T03:04:34.228484,,,DELETE
17ea5208610abb1de3b2a2d0079a4c93,20648,/Users/steven/GitHub/02_media_processing/image_tools/youtube_dl_button.py.backup,youtube_dl_button.py.backup,source1,2025-11-01T03:04:34.212412,3,41296,KEEP
17ea5208610abb1de3b2a2d0079a4c93,20648,/Users/steven/GitHub/02_media_processing/image_tools/youtube_dl_button 3.py.backup,youtube_dl_button 3.py.backup,source1,2025-11-01T03:04:34.211576,,,DELETE
17ea5208610abb1de3b2a2d0079a4c93,20648,/Users/steven/GitHub/02_media_processing/image_tools/youtube_dl_button 2.py.backup,youtube_dl_button 2.py.backup,source1,2025-11-01T03:04:34.210889,,,DELETE
18da127397677b2c71182b26c7c573a2,1331,/Users/steven/GitHub/n8n/packages/@n8n/nodes-langchain/nodes/llms/LmChatAwsBedrock/bedrock.svg,bedrock.svg,source1,2025-11-29T05:22:50.180217,2,1331,KEEP
18da127397677b2c71182b26c7c573a2,1331,/Users/steven/GitHub/n8n/packages/@n8n/nodes-langchain/nodes/embeddings/EmbeddingsAwsBedrock/bedrock.svg,bedrock.svg,source1,2025-11-29T05:22:50.166279,,,DELETE
19f6a0042008c6a36a237320ac7e599b,133,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Supabase/__schema__/v1.0.0/row/getAll.json,getAll.json,source1,2025-11-29T05:22:53.036315,3,266,KEEP
19f6a0042008c6a36a237320ac7e599b,133,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Supabase/__schema__/v1.0.0/row/get.json,get.json,source1,2025-11-29T05:22:53.036190,,,DELETE
19f6a0042008c6a36a237320ac7e599b,133,/Users/steven/GitHub/n8n/packages/nodes-base/nodes/Supabase/__schema__/v1.0.0/row/create.json,create.json,source1,2025-11-29T05:22:53.035944,,,DELETE
1c0a969c9d290c3d733293a92a452cc3,5697,/Users/steven/GitHub/03_automation_platforms/youtube_automation/yt_plists_to_csv.py.backup,yt_plists_to_csv.py.backup,source1,2025-11-01T03:04:35.828931,2,5697,KEEP
1c0a969c9d290c3d733293a92a452cc3,5697,/Users/steven/GitHub/03_automation_platforms/youtube_automation/yt_plists_to_csv 2.py.backup,yt_plists_to_csv 2.py.backup,source1,2025-11-01T03:04:35.828323,,,DELETE
1c8923b00a376efc9a15adf60d84d790,4445,/Users/steven/GitHub/AvaTarArTs-Suite/devtools/development_utilities/datetime.py,datetime.py,source1,2025-11-01T03:07:13.129158,2,4445,KEEP
1c8923b00a376efc9a15adf60d84d790,4445,/Users/steven/GitHub/AvaTarArTs-Suite/dedup_backup_20251101_032137/devtools/development_utilities/datetime_local.py,datetime_local.py,source1,2025-11-01T03:07:13.062124,,,DELETE
1da7ae372104d58f880c5e7375696dcf,4423,/Users/steven/GitHub/06_development_tools/development_utilities/datetime_local.py.backup,datetime_local.py.backup,source1,2025-11-01T03:04:44.022754,2,4423,KEEP
1da7ae372104d58f880c5e7375696dcf,4423,/Users/steven/GitHub/06_development_tools/development_utilities/datetime.py.backup,datetime.py.backup,source1,2025-11-01T03:04:44.022204,,,DELETE
1e1ec9ea9dafff21a5e434eec4e1e8c0,7049,/Users/steven/GitHub/AvaTarArTs-Suite/media/image/leoimg.py,leoimg.py,source1,2025-11-01T03:06:48.934774,2,7049,KEEP
1e1ec9ea9dafff21a5e434eec4e1e8c0,7049,/Users/steven/GitHub/AvaTarArTs-Suite/dedup_backup_20251101_032137/media/image/leo-url-downloader.py,leo-url-downloader.py,source1,2025-11-01T03:06:48.924489,,,DELETE
1e564fe06b37dce83c9fe4eb81ca5415,2330,/Users/steven/GitHub/n8n/packages/@n8n/nodes-langchain/nodes/agents/Agent/utils.ts,utils.ts,source1,2025-11-29T05:22:50.156614,2,2330,KEEP
1e564fe06b37dce83c9fe4eb81ca5415,2330,/Users/steven/GitHub/n8n/packages/@n8n/nodes-langchain/nodes/agents/Agent/V2/utils.ts,utils.ts,source1,2025-11-29T05:22:50.147158,,,DELETE
1e6f7d3bf8a0e2721613d18cbb124712,30951,/Users/steven/GitHub/06_development_tools/quality_tools/focused_quality_analyzer.py.backup,focused_quality_analyzer.py.backup,source1,2025-11-01T03:04:44.080601,2,30951,KEEP
1e6f7d3bf8a0e2721613d18cbb124712,30951,/Users/steven/GitHub/00_shared_libraries/focused_quality_analyzer.py.backup,focused_quality_analyzer.py.backup,source1,2025-11-01T03:04:18.282053,,,DELETE
1f7037d2fba06000b68dba19b71b967f,2845,/Users/steven/GitHub/mkdocs-material/src/plugins/social/config.py,config.py,source1,2025-11-29T07:58:55.965386,2,2845,KEEP
1f7037d2fba06000b68dba19b71b967f,2845,/Users/steven/GitHub/mkdocs-material/material/plugins/social/config.py,config.py,source1,2025-11-29T07:58:53.693966,,,DELETE
1f88b5e5d49572d9854f7f8bf5adb5f7,5108,/Users/steven/GitHub/02_media_processing/image_tools/midj.py.backup,midj.py.backup,source1,2025-11-01T03:04:34.130796,3,10216,KEEP
1f88b5e5d49572d9854f7f8bf5adb5f7,5108,/Users/steven/GitHub/02_media_processing/image_tools/midj-.py.backup,midj-.py.backup,source1,2025-11-01T03:04:34.130281,,,DELETE
1f88b5e5d49572d9854f7f8bf5adb5f7,5108,/Users/steven/GitHub/02_media_processing/image_tools/midj--.py.backup,midj--.py.backup,source1,2025-11-01T03:04:34.129771,,,DELETE
1f913ac2546df6c65fe1fd229ec04075,5281,/Users/steven/GitHub/AvaTarArTs-Suite/media/video/undo-move-csv.py,undo-move-csv.py,source1,2025-11-01T03:06:49.199947,2,5281,KEEP
